,lly,unh,Ratio,Spread
0,261.3599853515625,476.07000732421875,1.8215106902605764,-36.118630467443865
1,262.32000732421875,478.9049987792969,1.8256518199444327,-37.331394958142056
2,261.4200134277344,480.8699951171875,1.8394536394212098,-40.81718395311603
3,261.5400085449219,481.3599853515625,1.840483175134884,-41.10440870895005
4,262.9800109863281,482.7300109863281,1.8356148407470574,-40.041145465171866
5,263.2850036621094,483.1205139160156,1.8349716360451556,-39.916277542230006
6,263.5899963378906,483.8699951171875,1.8356918010534984,-40.15038789077258
7,262.94000244140625,483.239990234375,1.8378336721209263,-40.618730395407766
8,264.6499938964844,484.1600036621094,1.8294351589952595,-38.6492326178811
9,263.70001220703125,485.8900146484375,1.842586242532915,-41.98450468800931
10,263.69720458984375,486.875,1.8463411500978495,-42.97423429797104
11,263.4700012207031,486.5,1.8465100305384272,-42.98315825212606
12,263.9700012207031,486.07000732421875,1.8413835097792786,-41.70827503707338
13,264.8699951171875,487.30999755859375,1.839808232499084,-41.42747261436497
14,263.2950134277344,487.4049987792969,1.8511744390216989,-44.183848092957504
15,264.7099914550781,490.1199951171875,1.8515356841011494,-44.50784133368873
16,265.9198913574219,493.3399963378906,1.8552203591073009,-45.68337659248047
17,265.3599853515625,493.95001220703125,1.8614336730257992,-47.23951103608479
18,266.1600036621094,493.6400146484375,1.8546739098903622,-45.57765767384106
19,265.0150146484375,493.260009765625,1.861253070585347,-47.13243356147083
20,266.42999267578125,494.1300048828125,1.8546335565310001,-45.61142558149888
21,271.3900146484375,494.57000732421875,1.8223588954254335,-37.67007674435362
22,272.6225891113281,494.3550109863281,1.81333106914502,-35.37229940117524
23,273.54998779296875,495.4599914550781,1.8112228607740164,-34.9101791254233
24,274.1400146484375,496.24200439453125,1.8101772009858599,-34.69517584867319
25,274.1199951171875,497.1449890136719,1.8136035235267687,-35.631989092921316
26,274.2699890136719,497.239990234375,1.8129580710691189,-35.47353346544824
27,273.1300048828125,495.3900146484375,1.8137517145396989,-35.54988149367611
28,278.79998779296875,498.239990234375,1.787087561152829,-28.818827242369963
29,277.3500061035156,497.5400085449219,1.7939066075204069,-30.568997175988414
30,278.0199890136719,497.5058898925781,1.7894608645140002,-29.40275407911551
31,277.70001220703125,497.7200012207031,1.7922937678866298,-30.15755616067443
32,277.614990234375,498.3500061035156,1.7951120207262088,-30.93122956414183
33,277.5199890136719,498.4410095214844,1.7960544438365804,-31.18276424729325
34,278.4200134277344,499.5400085449219,1.794195763425536,-30.76091904562125
35,277.55999755859375,502.7099914550781,1.8111759470993458,-35.384140498697974
36,277.4700012207031,503.7300109863281,1.8154395385815238,-36.55623413885368
37,276.7699890136719,502.1600036621094,1.8143585778633813,-36.1690941968254
38,276.30499267578125,502.57000732421875,1.8188958601770142,-37.364839872294084
39,276.5150146484375,503.6700134277344,1.8214924569940725,-38.109954820336924
40,276.1202087402344,502.94500732421875,1.8214711977035132,-38.052084270199856
41,276.3999938964844,503.1400146484375,1.8203329441348337,-37.77431593133022
42,278.0799865722656,504.4750061035156,1.8141363293413995,-36.27048755078252
43,277.7049865722656,502.5299987792969,1.8095821936151164,-34.95914813101737
44,277.3577880859375,504.8399963378906,1.8201760254212485,-37.85583512230713
45,277.6099853515625,505.1600036621094,1.8196751929595754,-37.749684279012484
46,278.8599853515625,505.6300048828125,1.8132038709152123,-36.10745915153703
47,279.0741882324219,506.8599853515625,1.8162195098080276,-36.97548364524144
48,278.3699951171875,505.57000732421875,1.8161799626119373,-36.8754378196609
49,277.2349853515625,506.7250061035156,1.8277816036130365,-39.94835462487234
50,276.8500061035156,506.7900085449219,1.83055805444133,-40.66388771525985
51,277.2799987792969,505.3399963378906,1.8224898967203178,-38.48728202078141
52,277.44000244140625,505.760009765625,1.822952729653463,-38.63692428778583
53,277.05499267578125,506.29998779296875,1.827434990083205,-39.827484532136936
54,277.8310852050781,505.8999938964844,1.820890536863647,-38.116064164448204
55,277.3399963378906,504.5299987792969,1.819175039450908,-37.575901722917166
56,277.8900146484375,504.92999267578125,1.8170138042368136,-37.04648508538733
57,278.1600036621094,503.9599914550781,1.8117629595204343,-35.620261537967025
58,278.2149963378906,503.4800109863281,1.809679627674902,-35.04735548622338
59,278.1499938964844,505.43499755859375,1.817131075496968,-37.1121819540364
60,277.4150085449219,505.835205078125,1.8233880269539022,-38.754353813644144
61,277.260009765625,505.42999267578125,1.8229458806664336,-38.6110554157535
62,276.1400146484375,502.0899963378906,1.818244259083991,-37.16360563494678
63,269.4800109863281,495.92999267578125,1.8403219996192663,-42.2575501440962
64,268.268798828125,495.1300048828125,1.845648868022231,-43.504245738160165
65,269.42999267578125,497.8699951171875,1.847864041314434,-44.28207258024523
66,269.6449890136719,496.9949951171875,1.8431456743740497,-43.04377583652163
67,270.0,498.8999938964844,1.8477777551721644,-44.34888376844637
68,270.32000732421875,500.1400146484375,1.8501775713869941,-45.048162198939536
69,271.7300109863281,502.2799987792969,1.8484524287770654,-44.805548820890266
70,263.9700012207031,498.739990234375,1.8893813233625083,-54.37825794722963
71,266.3324890136719,498.2550048828125,1.8708006925029532,-49.90118542481994
72,266.135009765625,494.760009765625,1.8590564623622474,-46.73988700438693
73,265.1000061035156,491.4100036621094,1.853677828548313,-45.13881050532635
74,266.5199890136719,492.7200012207031,1.848716875023688,-44.049347810483795
75,267.4599914550781,492.57000732421875,1.8416586519892622,-42.31095557472699
76,266.7699890136719,490.8800048828125,1.840087060383899,-41.786906202957454
77,265.7356872558594,494.19000244140625,1.8597050608621615,-46.84464730140641
