,meta,tmus,Ratio,Spread
0,344.7300109863281,119.22000122070312,0.345835864071119,159.52979778497524
1,345.7799987792969,119.33999633789062,0.34513273399038474,160.26129621473928
2,345.67999267578125,119.0199966430664,0.34430687099295665,160.50019539356748
3,346.6600036621094,118.68000030517578,0.3423527348163694,161.63493719077496
4,346.8800048828125,118.95999908447266,0.3429427969613333,161.53334964730828
5,346.05999755859375,118.43000030517578,0.34222389510686974,161.39835884320144
6,346.19000244140625,118.63999938964844,0.34270198027953924,161.29378795468335
7,349.5150146484375,120.0,0.3433328897778625,162.63022482368314
8,348.54998779296875,119.63999938964844,0.34325061993894557,162.20763144049573
9,348.04998779296875,118.95099639892578,0.3417641159915272,162.49115659964087
10,347.05999755859375,118.77999877929688,0.3422462963604539,161.85931603223526
11,346.6449890136719,118.9000015258789,0.34300222214142384,161.40275975589117
12,346.7099914550781,118.12999725341797,0.3407170262317739,162.2254781263294
13,346.2200012207031,118.20999908447266,0.3414303005825418,161.7481159398177
14,343.6650085449219,117.95999908447266,0.34324122663495904,159.92613016007346
15,343.6000061035156,117.76740264892578,0.3427456360796637,160.066012497643
16,343.260009765625,117.56639862060547,0.34249954925095644,159.99129457029898
17,342.1600036621094,117.05000305175781,0.34209142447679913,159.6156339599956
18,342.81500244140625,117.91000366210938,0.3439464516500047,159.28680831907445
19,343.1799011230469,117.87000274658203,0.34346417829498654,159.622725886956
20,342.8900146484375,117.6500015258789,0.34311294146755644,159.60764202940265
21,346.29998779296875,117.88999938964844,0.34042738534581624,162.13298119839703
22,344.8500061035156,117.54000091552734,0.34084384177231153,161.30710880998515
23,345.51611328125,117.16999816894531,0.3391158723575041,162.21729494461903
24,345.6199951171875,117.22000122070312,0.3391586218296137,162.25153545601364
25,347.20849609375,117.00499725341797,0.3369877136353984,163.75474328616934
26,345.94000244140625,116.80000305175781,0.33763080946830043,162.93104537678522
27,344.3999938964844,116.47000122070312,0.338182355646935,162.01216855702853
28,341.75,115.93000030517578,0.33922458026386476,160.4031419148758
29,341.1199951171875,115.72000122070312,0.3392354680966414,160.10223497181636
30,340.1600036621094,115.86000061035156,0.34060441957614335,159.18372507509196
31,340.44500732421875,115.83999633789062,0.34026052327321044,159.43485468136038
32,339.5400085449219,116.08000183105469,0.34187429731332253,158.4609353029772
33,339.7300109863281,116.33999633789062,0.3424483930640221,158.35502435201295
34,336.3500061035156,115.98999786376953,0.3448491028957266,155.9639887249258
35,340.2900085449219,115.5,0.3394163716233613,159.6491538813981
36,338.6199951171875,114.88500213623047,0.3392741237754486,158.90984489840162
37,338.2200012207031,114.44999694824219,0.3383892038766762,159.0204727708085
38,339.0,114.25,0.33702064896755163,159.85301414637541
39,338.94000244140625,114.45999908447266,0.3376998827521392,159.5943597019857
40,339.92999267578125,114.61000061035156,0.3371576591644398,160.2471963631413
41,338.57000732421875,114.41999816894531,0.33795078032229636,159.33431098189016
42,339.7699890136719,113.06999969482422,0.33278395194071847,161.65744140275552
43,334.19000244140625,112.94000244140625,0.33795146957218775,157.26231694506606
44,334.2936096191406,112.45999908447266,0.33641085515394054,157.82634112952684
45,334.8900146484375,112.16999816894531,0.33494578298101746,158.6000000810966
46,334.4901123046875,112.81999969482422,0.3372894909134304,157.6256954848447
47,337.7799987792969,113.96499633789062,0.3373941522581228,159.14865090949962
48,336.5,114.06999969482422,0.33898959790438105,158.0056252936638
49,333.25,116.375,0.34921230307576895,153.0650190832344
50,334.19500732421875,117.44000244140625,0.35141160061518223,152.76637568312628
51,332.2300109863281,118.08419799804688,0.3554290524431469,150.5286552181945
52,329.7650146484375,117.61499786376953,0.35666305593138464,148.99885261260323
53,328.4949951171875,116.7300033569336,0.35534788989796107,148.85391758825455
54,327.54010009765625,116.2699966430664,0.35497942575092467,148.53954677831445
55,324.239990234375,115.33999633789062,0.35572415436639315,146.79330430082877
56,334.20001220703125,114.98999786376953,0.34407538498991785,155.22043899882323
57,338.0799865722656,116.4749984741211,0.34451905791597104,156.88192557285453
58,338.1000061035156,116.33999633789062,0.3440993618387305,157.0331626613259
59,333.8999938964844,116.1449966430664,0.347843662072883,153.8221386715382
60,333.6300048828125,115.84500122070312,0.3472259674647479,153.9031849742746
61,333.67999267578125,115.91999816894531,0.3473987074843246,153.8687259098291
62,332.5,115.5999984741211,0.3476691683432213,153.2318038617471
63,332.9700012207031,110.23999786376953,0.33108087052772944,158.9729546237176
64,332.29998779296875,110.20999908447266,0.3316581496630576,158.45960221940345
65,332.7799987792969,109.125,0.32791934731742345,159.9338689316155
66,333.4599914550781,109.41999816894531,0.3281353115001377,160.19031467399884
67,332.4798889160156,110.03500366210938,0.33095235931669903,158.78048947630953
68,332.8949890136719,110.12999725341797,0.3308250375883398,159.02212365997144
69,331.7900085449219,109.7300033569336,0.330721240938384,158.5260273876474
70,318.614990234375,105.45999908447266,0.3309950953873692,152.11167594900007
71,319.8074951171875,105.625,0.3302768121844539,152.91374362152948
72,319.45001220703125,104.56999969482422,0.3273438588164893,153.6788411362329
73,323.75,105.37000274658203,0.3254671899508325,156.3659375366803
74,327.01141357421875,105.375,0.32223645911393856,159.0058020911655
75,326.7699890136719,104.9800033569336,0.3212657431418565,159.2050141196317
76,328.07000732421875,105.7699966430664,0.32240068973613323,159.469278044642
77,326.9599914550781,106.27999877929688,0.3250550573674668,158.0591022531401
78,331.0700988769531,107.43499755859375,0.3245083078267466,160.23721836378797
79,331.1700134277344,109.13999938964844,0.32955882164574124,158.6132428035209
80,332.2850036621094,109.16000366210938,0.3285131813324651,159.49744617598884
