,ba,hon,Ratio,Spread
0,193.15150451660156,197.6199951171875,1.023134640404532,31.396381229350055
1,193.86000061035156,196.33999633789062,1.0127927149475446,33.51643149285556
2,193.97500610351562,195.3000030517578,1.0068307612143346,34.692784790111745
3,192.74000549316406,195.05499267578125,1.01201093243042,33.47347644241941
4,193.8300018310547,195.7100067138672,1.009699246066412,34.110852086513006
5,193.73060607910156,197.16000366210938,1.0177018884750073,32.54300332555255
6,193.7899932861328,197.61000061035156,1.0197120979233354,32.163420754820265
7,193.6699981689453,197.27000427246094,1.018588352029493,32.36114097124687
8,193.02000427246094,197.2899932861328,1.022122002482419,31.57046551020423
9,193.77000427246094,197.3300018310547,1.0183722840486085,32.419718908593495
10,192.50999450683594,196.77099609375,1.0221339239961527,31.484753002203917
11,195.50999450683594,196.6999969482422,1.0060866578427767,35.11279992095629
12,194.28500366210938,196.0399932861328,1.0090330678690755,34.32035326423912
13,194.89999389648438,196.57000732421875,1.0085685658287982,34.51952244073678
14,193.47500610351562,197.5749969482422,1.0211913204051428,31.82494959808662
15,194.0800018310547,197.1300048828125,1.0157151845784338,32.987274565338055
16,193.77999877929688,196.63999938964844,1.0147590082999687,33.12157166276157
17,193.38499450683594,196.5449981689453,1.0163404801399814,32.74822319420494
18,193.36000061035156,196.33999633789062,1.0154116452116908,32.92359019731481
19,193.3350067138672,195.9600067138672,1.0135774686882493,33.27394499339343
20,191.5,194.57000732421875,1.0160313698392625,32.48820886789184
21,190.41000366210938,194.08999633789062,1.0193266771966012,31.675830172040435
22,190.10499572753906,194.63999938964844,1.02385525769459,30.76418452212087
23,189.5800018310547,194.02000427246094,1.023420204655146,30.761703515822802
24,189.47000122070312,194.05999755859375,1.0242254515665727,30.59128442098779
25,190.47999572753906,195.71499633789062,1.0274832041567223,30.133818545534268
26,190.02999877929688,195.22000122070312,1.027311490158109,30.095260115151177
27,190.75,196.02999877929688,1.0276802032990662,30.138955469502577
28,187.6999969482422,195.33999633789062,1.0407032472768507,27.212622389694076
29,190.1999969482422,195.14999389648438,1.0260252209656406,30.366831308804137
30,191.16000366210938,195.3800048828125,1.0220757540273033,31.2750835704297
31,191.71499633789062,195.63499450683594,1.0204470085482331,31.67813910025785
32,191.72000122070312,196.57479858398438,1.0253223311723878,30.744269225530587
33,191.3699951171875,196.1300048828125,1.0248733337883515,30.774066782991724
34,191.16000366210938,196.10000610351562,1.0258422386836636,30.555082349726575
35,186.71499633789062,194.97000122070312,1.0442117936144442,26.41471943098307
36,184.86500549316406,194.77999877929688,1.0536336948125071,24.411219934136852
37,183.2799072265625,194.49000549316406,1.061163814605952,22.82178980040669
38,183.95469665527344,195.05999755859375,1.0603697600835458,23.05188381324541
39,182.69000244140625,194.3699951171875,1.0639333982138806,22.242360342227812
40,183.08999633789062,193.97999572753906,1.0594789426373195,23.106625531476624
41,182.64999389648438,193.63999938964844,1.0601697556003893,22.92491863455851
42,179.10499572753906,193.0449981689453,1.0778314551460768,19.316677240927305
43,178.52999877929688,193.67999267578125,1.0848596538400987,17.99991886263561
44,177.98500061035156,193.47000122070312,1.0870017167584343,17.56371547662397
45,179.10000610351562,194.29229736328125,1.0848257439532685,18.063461936250746
46,177.9199981689453,193.6199951171875,1.0882418902305413,17.33664931698641
47,178.5399932861328,192.9600067138672,1.0807662930995214,18.731755137311495
48,178.8000030517578,193.61000061035156,1.0828299625604965,18.390050293439856
49,175.0,189.00999450683594,1.0800571114676338,18.484458932429618
50,175.7021942138672,188.97000122070312,1.0755130410647358,19.357031673502917
