,tsla,nvda,Ratio,Spread
0,302.0104064941406,278.4440002441406,0.921968231083265,-64.87488234298614
1,300.4700012207031,274.0061950683594,0.9119252968854439,-61.53000614361467
2,301.8435363769531,274.38800048828125,0.9090405041690726,-60.9372781739999
3,300.4049987792969,272.1618957519531,0.9059832454782367,-59.73182654191943
4,299.3999938964844,274.31500244140625,0.9162157916952026,-62.597991656190814
5,300.9299621582031,277.8399963378906,0.9232712965677583,-65.03746171355702
6,300.0333251953125,277.1600036621094,0.923764063480904,-64.99363961896081
7,298.1333312988281,276.1199035644531,0.9261624735534509,-65.30159929510394
8,299.3266906738281,278.93011474609375,0.9318584791693026,-67.26511314150547
9,302.9933166503906,282.75360107421875,0.933200785416909,-68.48710112075808
10,306.8133239746094,286.53009033203125,0.9338906362350264,-69.5532668249388
11,310.2205505371094,288.8500061035156,0.9311117706528687,-69.45573005743039
12,309.8899841308594,289.1807861328125,0.9331724190566228,-70.02104940585856
13,312.80999755859375,290.8599853515625,0.9298295694563927,-69.62847742146614
14,327.3399658203125,288.4432067871094,0.8811732049408387,-56.9025785148648
15,336.93499755859375,293.5495910644531,0.871235084486598,-55.201216547002915
16,334.80999755859375,292.6742858886719,0.874150377894412,-55.83361464575542
17,331.7799987792969,291.05999755859375,0.8772680650716668,-56.36913294220868
18,331.586669921875,289.5400085449219,0.8731955618515674,-54.98631218801766
19,334.0066833496094,292.1300048828125,0.8746232319460386,-55.85929103442088
20,336.2099914550781,294.1400146484375,0.8748699388005496,-56.3060373433767
21,343.7140197753906,296.69000244140625,0.8631885386440928,-53.53186133835523
22,348.8708801269531,299.3999938964844,0.858197146713803,-52.58302209302671
23,352.8516845703125,297.4100036621094,0.8428753968520297,-47.76862155534279
24,355.7222595214844,297.7799987792969,0.8371137616742592,-46.1019224355061
25,355.913330078125,296.6106872558594,0.8333789779403644,-44.79704493375611
26,353.0333251953125,297.4700012207031,0.842611674283527,-47.69974374212437
27,355.8199768066406,296.3800048828125,0.8329493120164837,-44.63259739981767
28,369.6303405761719,308.75,0.8352939845758525,-47.204036903911216
29,368.7561950683594,308.3699951171875,0.8362435648302056,-47.44424474794481
30,371.0932312011719,309.04998779296875,0.832809552447565,-46.46609293895186
31,370.8066711425781,308.04998779296875,0.8307563260492719,-45.66940942774828
32,369.1741943359375,310.5870056152344,0.8413020475981847,-49.36468166270684
33,364.8800048828125,308.44000244140625,0.8453190043682088,-50.26443778297043
34,364.6066589355469,309.5,0.8488599766761574,-51.51837632028081
35,363.1983337402344,305.5766906738281,0.8413493738448199,-48.5942841746177
36,362.0579833984375,302.8601989746094,0.8364963979852859,-46.68687950807792
37,365.5278015136719,301.8900146484375,0.8259016507042513,-43.25483347161172
38,363.8916931152344,301.5899963378906,0.828790549616601,-44.11564621509608
39,363.3433532714844,303.2986145019531,0.8347438084971193,-46.21331556879589
40,365.0133361816406,304.6449890136719,0.8346133108464623,-46.37482480895794
41,362.9499816894531,303.2200012207031,0.8354319231792768,-46.41380234511625
42,357.9283447265625,295.9949951171875,0.8269671834548653,-42.75168494393942
43,359.7133483886719,297.3399963378906,0.8266026203081389,-42.83021281574041
44,358.5610656738281,297.0447998046875,0.8284357345002425,-43.35256942247072
45,361.6666564941406,297.8478088378906,0.8235423517476405,-41.95213871489874
46,364.4673156738281,299.4100036621094,0.821500284898138,-41.5272450609679
47,361.8433532714844,299.3599853515625,0.8273192878769234,-43.33894755337023
48,361.8533630371094,299.9700012207031,0.8289822117528313,-43.94186141949437
49,360.8066711425781,303.0299987792969,0.839868059589037,-47.74449464717644
50,360.5299377441406,303.30828857421875,0.8412846114029767,-48.219128842567514
51,364.2266540527344,302.5899963378906,0.830773895789846,-44.87798894342096
52,363.183349609375,300.6449890136719,0.8278049897855537,-43.673213866538035
53,361.4525146484375,300.5199890136719,0.8314231519622131,-44.77625411984768
54,359.5066833496094,298.0599060058594,0.8290802919955875,-43.696752863062656
55,356.7766418457031,295.8800048828125,0.8293143950011534,-43.45383645298166
56,356.3385925292969,296.6622009277344,0.832528968647548,-44.546831739669656
57,358.4199523925781,296.7349853515625,0.8278975078556677,-43.142875889920234
58,356.0266418457031,295.2300109863281,0.8292357264495858,-43.3359731239798
59,355.9300231933594,295.5,0.8302193710685353,-43.67451378871978
60,354.4599914550781,294.1400146484375,0.8298257116155091,-43.35752686796913
61,354.5,295.4599914550781,0.8334555471229285,-44.64911731499184
62,352.413330078125,294.2099914550781,0.8348435383810708,-44.87962511455986
63,384.0016784667969,302.9599914550781,0.788954862553482,-31.21745744269457
64,388.6119689941406,304.1296081542969,0.7826048408686106,-29.116038789147172
65,389.0,302.3349914550781,0.777210774948787,-27.0461112107967
66,391.8866882324219,300.7900085449219,0.7675433169256518,-23.453001570955497
67,395.2320251464844,301.1117858886719,0.7618607975329711,-21.4012375407052
68,397.52001953125,300.25,0.755307871925672,-18.916102651550535
69,399.8833312988281,301.2300109863281,0.7532947422637691,-18.21932639518609
70,395.6666564941406,294.6355895996094,0.7446561006941271,-14.616667084077381
71,378.1084289550781,285.8299865722656,0.7559471428927711,-18.26875683586461
72,385.3966369628906,287.70001220703125,0.746503691558506,-14.967744786459821
73,386.9532775878906,286.6700134277344,0.7408388299867071,-12.833297928299533
74,380.3680114746094,287.1099853515625,0.7548215851235637,-17.94556504397251
75,383.8699951171875,291.5799865722656,0.7595800408501643,-19.93088287395624
76,383.2099914550781,292.989990234375,0.7645677220519987,-21.809164033744015
77,386.3466796875,288.5849914550781,0.7469586426587196,-15.178661668934684
