,abbv,lly,Ratio,Spread
0,131.02999877929688,263.2950134277344,2.009425443643794,5.021490673222621
1,131.69000244140625,264.7099914550781,2.010099373890265,4.968428180551717
2,132.27999877929688,265.9198913574219,2.0102804188945984,4.9759839138407695
3,132.25,265.3599853515625,2.00650272477552,5.473987530530001
4,132.14500427246094,266.1600036621094,2.0141510844657575,4.457310857887483
5,131.82000732421875,265.0150146484375,2.0104308900288412,4.9316696645727855
6,132.05999755859375,266.42999267578125,2.0174920309048834,4.011910750590465
7,133.10000610351562,271.3900146484375,2.0389932547213396,1.1979432240486338
8,133.3249969482422,272.6225891113281,2.0447972649657165,0.4296366799343381
9,133.32000732421875,273.54998779296875,2.051829978734752,-0.5080580755916864
10,133.13999938964844,274.1400146484375,2.059035721084371,-1.4695307525460017
11,133.75,274.1199951171875,2.0494952905957944,-0.1907768307282205
12,133.60000610351562,274.2699890136719,2.0529189856560537,-0.6502826730634816
13,133.1199951171875,273.1300048828125,2.0517579244378137,-0.5007997418559236
14,134.2353973388672,278.79998779296875,2.076948355798874,-3.8691535848957934
15,133.9600067138672,277.3500061035156,2.0703940893040063,-2.987439606400637
16,134.14999389648438,278.0199890136719,2.072456218135973,-3.2653845473006364
17,134.27999877929688,277.70001220703125,2.0680668359511984,-2.677143063279568
18,134.29220581054688,277.614990234375,2.0672457389375314,-2.56693191903832
19,134.3000030517578,277.5199890136719,2.066418337360116,-2.455841114985271
20,134.44000244140625,278.4200134277344,2.07096108577564,-3.066977217432106
21,134.72000122070312,277.55999755859375,2.0602731223546016,-1.6291847250601514
22,134.7696075439453,277.4700012207031,2.058846992859473,-1.4368258911409222
23,134.02999877929688,276.7699890136719,2.0649853878564945,-2.2629941039813226
24,133.77999877929688,276.30499267578125,2.0653684795708105,-2.3138720001518274
25,134.30499267578125,276.5150146484375,2.058858789531065,-1.4405706758654966
26,134.36000061035156,276.1202087402344,2.055077459704634,-0.9322560632073711
27,134.38999938964844,276.3999938964844,2.0567006112939565,-1.150138830287228
28,135.41000366210938,278.0799865722656,2.0536147924946726,-0.7253558148889803
29,135.468505859375,277.7049865722656,2.0499597660030386,-0.22963671006783182
30,135.42999267578125,277.3577880859375,2.0479790525421553,0.03808993990958731
31,135.6999969482422,277.6099853515625,2.0457626499243524,0.3430456632806389
32,135.5,278.8599853515625,2.058007271967251,-1.319647426675369
33,135.5850067138672,279.0741882324219,2.058296820542762,-1.3584392139095436
34,135.3800048828125,278.3699951171875,2.0562120333660046,-1.0772667489810552
35,136.24000549316406,277.2349853515625,2.0349014545912723,1.832351641272799
36,136.35000610351562,276.8500061035156,2.030436330845,2.444316811765139
37,136.22999572753906,277.2799987792969,2.0353813952535007,1.7666830928387234
38,136.63999938964844,277.44000244140625,2.0304449918083396,2.452720731341065
39,136.5283966064453,277.05499267578125,2.0292847463404686,2.6074384957500505
40,136.4156036376953,277.8310852050781,2.0366518037259627,1.5985980210076085
41,135.94000244140625,277.3399963378906,2.0401647149994098,1.1082852767784224
42,135.64999389648438,277.8900146484375,2.0485811069073665,-0.0401647776994829
43,135.65640258789062,278.1600036621094,2.0504745692477866,-0.29692947628921695
44,135.72000122070312,278.2149963378906,2.0499189053606557,-0.22068656811250742
45,135.80999755859375,278.1499938964844,2.04808187097183,0.03002304080428564
46,135.77999877929688,277.4150085449219,2.043121306812244,0.7031060031965857
47,135.80999755859375,277.260009765625,2.0415287147472645,0.9200071716636606
48,135.41000366210938,276.1400146484375,2.0392881410556183,1.2146161089391447
49,134.7899932861328,269.4800109863281,1.9992582862903978,6.595230259781038
50,133.92999267578125,268.268798828125,2.0030524415658872,6.031833793355309
51,134.2100067138672,269.42999267578125,2.007525364708461,5.448448055394868
52,134.25,269.6449890136719,2.0085287822247437,5.315977740909608
53,134.6750030517578,270.0,2.0048263885780986,5.837959249778299
54,134.93429565429688,270.32000732421875,2.0033454505649293,6.053001416489797
55,135.4199981689453,271.7300109863281,2.006572254175688,5.6452434052837415
56,134.88999938964844,263.9700012207031,1.956927885055357,12.311602313616282
57,135.9499969482422,266.3324890136719,1.9590474070776764,12.136416235232394
58,135.6199951171875,266.135009765625,1.962358201942576,11.652937715942874
59,135.11090087890625,265.1000061035156,1.9620919139686048,11.637426977099159
60,135.49000549316406,266.5199890136719,1.9670822806713868,10.999725276980035
61,135.47999572753906,267.4599914550781,1.9741659277356431,10.039067714874085
62,135.1300048828125,266.7699890136719,1.9741728659376594,10.00686512047344
63,136.5198974609375,265.7356872558594,1.9464978526803718,13.909205954955842
64,137.50999450683594,264.4800109863281,1.9233511857436676,17.207944445283264
65,138.00999450683594,264.260009765625,1.9147889303954404,18.45969413410865
66,137.36849975585938,264.1600036621094,1.9230027563203533,17.23597778436721
67,137.1750030517578,263.8999938964844,1.9238198507414042,17.09670769390522
68,136.8800048828125,261.739990234375,1.9121857166681084,18.647983538198222
69,135.8800048828125,260.5299987792969,1.9173534693642875,17.794478057031828
70,135.91000366210938,255.72000122070312,1.8815392122014623,22.666378004795778
71,135.9600067138672,259.625,1.9095688965828777,18.864560369604025
72,136.10499572753906,259.7449951171875,1.9084163202734776,19.043749637917532
73,136.125,258.6700134277344,1.9002388497905187,20.16001008230558
74,135.67999267578125,259.07000732421875,1.9094193787531248,18.841744935689466
75,135.5800018310547,260.4549865722656,1.9210428017018084,17.250434885896826
76,135.19000244140625,259.45001220703125,1.9191508804024284,17.450646705454407
77,135.24000549316406,258.2149963378906,1.9093092712935638,18.788843718700154
78,135.5800018310547,259.0450134277344,1.9106432359436651,18.660408030428076
