,goog,tsla,Ratio,Spread
0,140.16799926757812,347.4366760253906,2.47871609669009,-37.99856349490842
1,139.31600952148438,345.8752746582031,2.4826671094456274,-38.33154948914069
2,139.8175048828125,346.0,2.4746543738568256,-37.34120686366874
3,138.80699157714844,341.4966735839844,2.4602267486950162,-35.08474274097683
4,139.49649047851562,342.9666748046875,2.4586043249418457,-35.02165273558075
5,139.64950561523438,348.5733337402344,2.4960584873148917,-40.28808464089054
6,139.79299926757812,349.9633483886719,2.503439730331604,-41.35904314729084
7,137.04200744628906,354.9166564941406,2.589838423326098,-52.4291433403555
8,135.97683715820312,347.5601501464844,2.556024668687604,-47.441028326939325
9,136.6685028076172,348.1807861328125,2.5476300609141282,-46.52375535299462
10,136.82650756835938,344.8666687011719,2.5204667928023694,-42.85831653143527
11,136.8040008544922,347.2266845703125,2.538132528299597,-45.26837576611235
12,136.4185028076172,347.0566711425781,2.5440586430713967,-45.95551188882764
13,136.32199096679688,343.5066833496094,2.519818562753204,-42.62011683282038
14,137.52200317382812,341.3332824707031,2.4820266909525532,-37.77850548662605
15,136.61399841308594,334.7866516113281,2.4506028335326118,-33.250810595372066
16,137.77249145507812,341.6852111816406,2.4800684633989505,-37.573476984921804
17,137.97650146484375,336.9730529785156,2.442249581638914,-32.407705359950974
18,137.09689331054688,334.1100158691406,2.437035645383494,-31.500464758857454
19,136.7655029296875,333.88665771484375,2.4413075707146574,-32.01394851149002
20,135.6925048828125,331.8433532714844,2.445554038213627,-32.35644031526579
21,137.5225067138672,342.1300048828125,2.487810999509025,-38.57410828445564
22,137.4344940185547,344.6933288574219,2.5080554290168644,-41.33312726409168
23,136.96824645996094,345.489990234375,2.5224093843923883,-43.16648360872768
24,136.69400024414062,343.4666748046875,2.5126682531145703,-41.75295082906525
25,136.11898803710938,340.0406188964844,2.49811303918731,-39.60542657298158
26,134.71701049804688,334.63665771484375,2.4839970578154666,-37.318742967944736
27,133.4010009765625,332.0633850097656,2.4892120942039,-37.6715991469738
28,132.65798950195312,320.9477844238281,2.4193626454673716,-28.208074250143177
29,134.66000366210938,327.5,2.4320510254980183,-30.30883916065637
30,132.6487579345703,319.8466491699219,2.411229883718081,-27.127465258033233
31,132.42698669433594,318.8507995605469,2.4077479033522744,-26.62472091964606
32,132.34300231933594,317.85333251953125,2.4017388675569693,-25.813991969418687
33,131.40750122070312,315.2466735839844,2.399000594756896,-25.28740672721097
34,130.01651000976562,314.3233337402344,2.417564767094774,-27.456916512141852
35,127.04649353027344,291.8033752441406,2.2968235260629832,-11.540748387651156
36,127.3594970703125,293.58966064453125,2.3052043027654747,-12.631074766177683
37,125.15799713134766,287.1199951171875,2.2940603213382205,-11.056413761672964
38,125.69000244140625,294.7856750488281,2.3453390828459115,-17.53918727900055
39,126.89900207519531,294.5149841308594,2.3208613095029818,-14.580302475234596
40,127.70699310302734,299.5466613769531,2.3455775921001796,-17.815422898569246
41,130.53199768066406,310.0433349609375,2.3752286065477475,-22.030738059679955
42,128.6064910888672,308.60333251953125,2.399593752280249,-24.872072768813844
43,127.86500549316406,305.0,2.385328173440746,-22.917423167844625
44,127.06400299072266,303.3133239746094,2.387090889909672,-23.011765076117804
45,127.60099792480469,306.8133239746094,2.4044743298591955,-25.31776430212313
46,128.62649536132812,314.92333984375,2.448355130559147,-31.147600871189645
47,127.93550109863281,309.2066650390625,2.4168949383383223,-26.96734220773528
48,126.73500061035156,306.1333312988281,2.415538957860892,-26.563304621363336
49,129.46273803710938,316.135009765625,2.4418996118791156,-30.49989682366772
50,130.99899291992188,316.4700012207031,2.4158201079771464,-27.41904689419568
51,131.69876098632812,318.5,2.4183978468336846,-27.893121101626555
52,131.69850158691406,319.6066589355469,2.4268055830887594,-29.00035680816604
53,131.77499389648438,323.36334228515625,2.4539051964530825,-32.58696057036236
54,128.9449920654297,312.9765319824219,2.4272096726611165,-28.492620014036
55,129.2550048828125,312.7900085449219,2.4199450445149817,-27.61678738493982
56,131.3874969482422,290.4366760253906,2.210535117658898,-0.5218883904601701
57,131.28700256347656,288.5199890136719,2.197627970630025,1.171350753175083
58,130.65875244140625,286.9100036621094,2.195872823680708,1.3844306883084907
59,129.031494140625,284.9366760253906,2.2082723130746076,-0.2604278948174472
60,129.45199584960938,283.9933166503906,2.1938118048046116,1.6179111869309888
61,129.42599487304688,278.9333190917969,2.1551568474741165,6.620095935440581
62,129.06649780273438,276.4433288574219,2.1418674370473636,8.31074942945002
63,129.41400146484375,274.7266540527344,2.122851089859592,10.800093798020548
64,131.65249633789062,283.07000732421875,2.1501301927288177,7.434002771234979
65,131.40975952148438,280.3333435058594,2.133276436443271,9.630944651320412
66,131.49575805664062,278.1233215332031,2.11507447573635,12.032183171884121
67,130.92149353027344,272.7566833496094,2.083360615547354,16.12195216092538
68,131.88449096679688,276.1877746582031,2.0941641631519503,14.83207227088888
69,133.3144989013672,282.10333251953125,2.1160739067717276,12.096117181073332
70,133.40792846679688,300.8500061035156,2.2551133921428996,-6.4428170624501675
71,132.9949951171875,305.8299865722656,2.2995601173020526,-12.340949096046195
72,133.88424682617188,305.3333435058594,2.2805770711941027,-9.86706721151507
73,134.3564910888672,307.32666015625,2.287397189860931,-10.810355305981552
74,135.36349487304688,311.6485595703125,2.3023087566008678,-12.893195798973473
75,134.5500030517578,308.3216857910156,2.291502629490186,-11.375109780249893
76,135.67349243164062,312.27667236328125,2.301677850009076,-12.832033328051473
77,135.24200439453125,308.0,2.2773989588434,-9.514768619441504
78,135.92550659179688,312.0199890136719,2.2955219872802175,-12.014999995255444
