,pypl,msft,Ratio,Spread
0,185.13699340820312,319.07000732421875,1.7234265364821533,201.67078394509088
1,187.11000061035156,323.0849914550781,1.7267115087444662,203.23547890320845
2,185.85000610351562,321.75,1.731234809972458,201.00719649169207
3,186.55999755859375,323.0299987792969,1.7315073059959778,201.73505884485223
4,187.17999267578125,322.54998779296875,1.7232076098627964,203.96842064858834
5,186.8300018310547,323.2300109863281,1.7300755115263355,202.29862073493734
6,186.10000610351562,323.6600036621094,1.7391724505483244,199.80419469492062
7,183.69679260253906,319.2799987792969,1.7380815106016378,197.3878938657498
8,183.0399932861328,318.3900146484375,1.7394560004748365,196.42044462920137
9,182.17999267578125,319.4200134277344,1.7533210356210407,192.9583577070631
10,182.3000030517578,318.55999755859375,1.7474492168173448,194.15776381490502
11,183.02999877929688,319.0249938964844,1.7430202481789578,195.75720084124998
12,183.14999389648438,319.69000244140625,1.7455092170087307,195.4315393830601
13,182.72999572753906,320.1700134277344,1.7521480923423558,193.76377044120056
14,183.9550018310547,319.95001220703125,1.7392841130836723,197.44809806284752
15,185.85000610351562,322.04998779296875,1.7328489492413135,200.70720869872332
16,186.4199981689453,325.0299987792969,1.743536111853915,199.33913952634168
17,187.22999572753906,325.5315856933594,1.7386721845952484,201.1282317516592
18,188.17950439453125,326.4949951171875,1.735018891497707,202.85003992270333
19,188.08999633789062,326.7701110839844,1.7373072329533388,202.3217945038756
20,189.16000366210938,327.3699951171875,1.7306512411680766,204.74789916726434
21,189.27000427246094,329.0450134277344,1.7384953030067158,203.38396340354495
22,190.41000366210938,330.6600036621094,1.7365684433727524,204.99289994903233
23,190.5399932861328,331.010009765625,1.73722064358714,205.01050547215334
24,190.55029296875,330.54998779296875,1.7347125666565022,205.49965502410055
25,190.07000732421875,330.45001220703125,1.7385699977553757,204.24137922372347
26,191.2100067138672,331.81500244140625,1.7353432916193812,206.10031576921097
27,191.6999969482422,333.2699890136719,1.7384976229480729,206.0310252357474
28,191.5749969482422,335.55999755859375,1.7515855560694698,203.3875157581565
29,191.02000427246094,335.0299987792969,1.7539000695520226,202.3479911093483
30,191.3300018310547,334.42999267578125,1.7479223826647143,203.82467262156797
31,192.0800018310547,334.6199035644531,1.7420861119044053,205.75576732891
32,191.96499633789062,335.1099853515625,1.7456827637561207,204.94044914903623
33,191.77000427246094,335.4200134277344,1.749074443108318,204.07898205692481
34,191.97999572753906,334.489990234375,1.742316895918095,205.60286265206526
35,192.63189697265625,340.2200012207031,1.7661664893898477,201.71643325099308
36,191.7899932861328,340.114990234375,1.7733719283620555,199.44053433009333
37,191.8800048828125,340.6099853515625,1.7751197450697604,199.20009267992418
38,191.6999969482422,340.8299865722656,1.7779342305586348,198.47102767715364
39,191.5399932861328,341.2950134277344,1.7818472663194125,197.5535092713959
40,191.77999877929688,341.4700927734375,1.7805302687816058,198.0571672511262
41,192.0,342.45001220703125,1.7835938135782878,197.69941291118744
42,193.46200561523438,341.9200134277344,1.7673755233767179,202.36397447890556
43,191.1999969482422,341.7900085449219,1.787604675733569,196.09700197382142
44,190.77000427246094,341.6000061035156,1.7906379328672486,195.07098191979162
45,190.27000427246094,341.5580139160156,1.7951227531740357,193.69897037661565
46,190.19000244140625,341.04998779296875,1.793206706004641,193.9807507245181
47,189.97999572753906,341.3299865722656,1.796662776336652,193.10685139147074
48,190.1999969482422,341.25,1.794164066642241,193.80900305739135
49,188.3800048828125,341.92498779296875,1.8150811069660688,187.98706412378613
50,190.0,341.2799987792969,1.796210519891036,193.21341141621792
51,189.63999938964844,339.9014892578125,1.7923512463181654,193.57383652553688
52,189.75999450683594,340.6600036621094,1.7952150796981468,193.154669207972
53,191.0500030517578,341.0350036621094,1.7850562586472127,196.42782299821886
54,189.92999267578125,341.9984130859375,1.8006551164867555,192.29701587433738
55,189.9405975341797,341.9599914550781,1.8003522990578287,192.36542812387415
56,191.66000366210938,342.9100036621094,1.7891578686737846,196.27790927572232
57,192.07000732421875,342.20001220703125,1.781642105263158,198.14739414642736
58,191.33999633789062,341.55999755859375,1.7850946174130107,196.72293227865998
59,193.625,340.9049987792969,1.7606455714876532,203.83993846361875
60,193.3300018310547,340.5,1.7612372460305088,203.4106802200531
61,192.60499572753906,340.67999267578125,1.768801434193901,201.180364874004
62,191.8800048828125,339.32000732421875,1.7683969079084232,200.49007070726793
63,190.25999450683594,337.5299987792969,1.7740460870620367,197.69867782146048
64,190.27000427246094,336.6499938964844,1.7693277255326683,198.6069903961469
65,189.41000366210938,336.3900146484375,1.7759886391667434,196.43488150135238
66,189.24009704589844,337.8817138671875,1.785465760912379,194.46268510422476
67,189.52499389648438,337.2300109863281,1.7793432098487123,195.92007840425686
68,189.7550048828125,337.70001220703125,1.7796632685160823,196.10054996908252
69,188.66000366210938,336.2099914550781,1.7820946937816837,194.49389909869774
70,193.63999938964844,332.54998779296875,1.7173620576387283,212.2373678357883
71,193.41140747070312,331.989990234375,1.7164964289123588,212.15090574199996
72,193.4636993408203,332.6400146484375,1.7193924016847917,211.6487631267969
73,194.67999267578125,332.32000732421875,1.7070064712693012,215.4084570774778
74,195.13999938964844,333.7265930175781,1.7101906019339737,215.30277380320683
75,195.5800018310547,333.5799865722656,1.7055935343554074,216.6937104358293
76,194.89999389648438,334.739990234375,1.7174961555522812,213.61063926097654
77,191.63999938964844,333.5799865722656,1.7406595055034433,205.55135413378764
78,189.51499938964844,328.3900146484375,1.7327916824844978,204.73181020224285
79,189.3498992919922,327.7799987792969,1.7310809248112393,204.87492176334172
