,adbe,avgo,Ratio,Spread
0,567.7449951171875,666.780029296875,1.1744357678736486,120.24460855923554
1,568.7100219726562,664.0800170898438,1.1676952953745783,124.28472948886726
2,567.6300048828125,664.8300170898438,1.171238326675663,122.0349366961017
3,568.260009765625,665.0499877929688,1.1703269214162442,122.68983805892334
4,568.0402221679688,665.0050048828125,1.1707005576907394,122.42960741458695
5,569.3200073242188,666.75,1.1711339693359772,122.46181802097716
6,567.0999755859375,665.52001953125,1.17354972347446,120.6088957911535
7,560.8400268554688,668.9299926757812,1.1927286938244295,108.50588799251604
8,561.3499755859375,664.3200073242188,1.183432860455371,113.82402642594094
9,560.5900268554688,663.9149780273438,1.1843146438966425,113.17373387694285
10,561.3200073242188,663.0050048828125,1.1811533460981027,115.09741268982545
11,560.8400268554688,663.0449829101562,1.1822354881261465,114.39089775814104
12,562.4600219726562,663.8699951171875,1.1802972107935188,115.81553236125855
13,564.3699951171875,663.3200073242188,1.175328265257059,119.01785221774868
14,550.9000244140625,666.6099853515625,1.2100380392260268,97.02246186935328
15,547.1500244140625,659.7575073242188,1.2058073250215906,98.66740843653805
16,545.1400146484375,664.2750244140625,1.2185402035520279,91.35864092276928
17,544.114990234375,667.7761840820312,1.2272703308438346,86.43405541915742
18,542.0250244140625,667.3900146484375,1.2312900412114671,83.91794145010205
19,551.8900146484375,670.0499877929688,1.2141005816526704,94.95723417214926
20,554.0999755859375,670.8099975585938,1.210629899142732,97.26614203525857
21,535.1099853515625,659.8099975585938,1.233036227356334,81.89521628229319
22,531.2100219726562,658.739990234375,1.240074477111961,77.54944174274603
23,527.6900024414062,657.5900268554688,1.2461673024182154,73.81124180182327
24,525.030029296875,654.8599853515625,1.2472810102472747,72.8474449501763
25,519.97998046875,649.469970703125,1.2490287993734734,71.22458275920054
26,514.2999877929688,644.9600219726562,1.2540541265427458,67.84686734230833
27,514.280029296875,642.97998046875,1.2502526713857312,69.79919298053302
28,520.406982421875,637.6400146484375,1.22527182798544,83.64750577507404
29,523.7249755859375,639.7855224609375,1.2216059044065117,86.10961230562681
30,518.2750244140625,640.5991821289062,1.23602171039042,77.72774138862623
31,514.6799926757812,639.1199951171875,1.2417813091868062,74.21459749971304
32,517.530029296875,638.2996215820312,1.2333576516308355,78.9927457993896
33,515.885009765625,637.6799926757812,1.2360894009412866,77.32797711589014
34,514.0499877929688,636.9000244140625,1.238984611493797,75.55969613689139
35,509.5,627.5800170898438,1.2317566576836974,78.56124890771709
36,510.760009765625,624.52001953125,1.222726931612807,83.37099059820413
37,510.6382141113281,626.3049926757812,1.2265141451776183,81.41688286661635
38,510.42999267578125,624.364990234375,1.2232137593665344,83.06773339434541
39,511.243408203125,622.0800170898438,1.2167981182902248,86.48227639189646
40,512.0599975585938,621.5599975585938,1.2138421288951988,88.13627319211561
41,510.69000244140625,618.8800048828125,1.2118506372245252,88.91378782175879
42,499.9541015625,608.9000244140625,1.217911849329919,83.98509053582792
43,508.7149963378906,611.0700073242188,1.2012030542114067,93.98114366886888
44,505.2950134277344,604.1099853515625,1.1955589691129227,96.19192068209976
45,514.72998046875,610.6400146484375,1.1863307711207047,102.76399476966539
46,521.1099853515625,612.97998046875,1.1762967467514716,109.28378258754334
47,521.8400268554688,613.2899780273438,1.1752451833235924,109.98757545529988
48,525.989990234375,621.6799926757812,1.1819236187342042,107.36051143463887
49,531.6300048828125,619.3200073242188,1.1649455479111563,117.55264444420028
50,532.6027221679688,625.1699829101562,1.1738017041396087,113.05345708874064
51,531.5,624.0,1.174035747883349,112.69211723049365
52,531.7999877929688,624.8541259765625,1.1749795793899491,112.25457681914408
53,530.6099853515625,623.6900024414062,1.1754207792154012,111.76617364728988
54,530.3800048828125,623.9149780273438,1.1763546368328832,111.22182992102229
55,530.0399780273438,622.0399780273438,1.1735718130968111,112.62464310844838
56,535.35498046875,629.25,1.1753883366304667,112.79543244897742
57,532.4500122070312,622.97998046875,1.1700252909873503,115.03139501658372
58,534.7899780273438,624.510009765625,1.1677668532032472,116.75081788636852
59,534.3300170898438,623.030029296875,1.1660023007693332,117.59206207445835
60,534.7999877929688,622.030029296875,1.1631077851439193,119.24469866695871
61,533.4600219726562,621.0800170898438,1.16424847506507,118.33393376337268
62,532.5700073242188,621.969970703125,1.1678651860777454,116.20803900829391
63,524.1400146484375,621.47998046875,1.1857136702024218,104.99150869119138
64,521.10498046875,618.5700073242188,1.1870353009633412,103.68680557615438
65,517.3300170898438,609.739990234375,1.1786286704652642,107.27462518423751
66,521.77001953125,606.2899780273438,1.1619869968229013,116.89035803041703
67,521.219970703125,602.4400024414062,1.1558267838983904,119.97649452913198
68,520.114990234375,598.489990234375,1.1506878314825777,122.39204792179602
69,516.9600219726562,596.780029296875,1.154402669319835,119.72078313164174
70,515.7000122070312,597.4400024414062,1.1585029829348927,117.31106585521731
71,514.0800170898438,595.6099853515625,1.158593926142572,116.8914361349123
72,516.9400024414062,595.9600219726562,1.1528611041088983,120.51298983218
73,514.530029296875,593.6799926757812,1.153829628733366,119.44634953751235
74,516.75,594.6300048828125,1.1507111850659169,121.57915527105571
75,520.6649780273438,596.760009765625,1.146149702687099,124.88578271976952
76,520.5800170898438,596.469970703125,1.1457796133580438,125.05783864762533
77,517.6500244140625,585.8400268554688,1.1317299318561642,131.6189747520373
78,511.0400085449219,583.8300170898438,1.142435048778619,124.44982036014223
79,513.77001953125,580.010009765625,1.1289292635152408,132.06092584379658
80,512.375,578.7100219726562,1.129465766231093,131.42368481102645
81,513.5800170898438,578.1300048828125,1.1256863305522198,133.67707907564105
