,nke,tgt,Ratio,Spread
0,159.19000244140625,232.11000061035156,1.4580689556543307,13.535616020642724
1,158.97000122070312,231.98460388183594,1.459297993964058,13.319383476226225
2,158.2082061767578,232.71499633789062,1.4709413750503577,11.406036279490653
3,157.64999389648438,231.77000427246094,1.4701554915672563,11.484207448008394
4,157.4499969482422,230.9550018310547,1.4668466580343946,11.988644285286373
5,157.42999267578125,231.02999877929688,1.467509429763431,11.882583668240333
6,156.97000122070312,230.82000732421875,1.4704720999503655,11.37827660328708
7,150.4199981689453,223.8300018310547,1.4880335364693889,8.197098622451822
8,151.0800018310547,225.99000549316406,1.4958300420586275,7.061982779138877
9,149.3350067138672,226.27999877929688,1.5152508695624185,4.062270832129433
10,149.17999267578125,226.00999450683594,1.5150154551758985,4.09156128965643
11,149.87289428710938,227.60000610351562,1.518620209385598,3.57752314864661
12,149.5449981689453,226.60000610351562,1.515263023692167,4.068349099122519
13,150.47999572753906,227.4199981689453,1.5112972130908002,4.700269596336004
14,149.22500610351562,227.8699951171875,1.527022856739686,2.3014598577727314
15,148.86500549316406,228.14999389648438,1.532596550416015,1.4624335131902668
16,148.6999969482422,227.46690368652344,1.5297034859099394,1.8892899211336995
17,148.94500732421875,227.98899841308594,1.5306924515892415,1.7476599771673633
18,148.99000549316406,228.0399932861328,1.5305724201520061,1.7665405879516
19,150.07000732421875,227.6439971923828,1.516918678497625,3.8396193775584253
20,150.3000030517578,227.47999572753906,1.5135062615348271,4.360770102417836
21,152.47999572753906,228.6699981689453,1.4996721181547472,6.555973026892336
22,151.49000549316406,226.3350067138672,1.4940590039392432,7.353656448412612
23,151.89999389648438,226.41000366210938,1.4905201629988314,7.915310695510532
24,151.9499969482422,225.93099975585938,1.4868772905129894,8.471961926451801
25,151.9738006591797,225.47999572753906,1.483676757108985,8.959929588131391
26,151.97999572753906,225.07000732421875,1.480918631736977,9.379538013979815
27,152.22999572753906,224.4499969482422,1.4744137374211213,10.387761318775919
28,152.11000061035156,226.57000732421875,1.4895142095528988,8.081416319249744
29,152.05999755859375,226.52000427246094,1.4896751802536055,8.053772046316286
30,150.97999572753906,224.99000549316406,1.4901974556893263,7.906688129756337
31,150.9499969482422,225.71299743652344,1.4952832196075898,7.137112530509573
32,150.75,225.86000061035156,1.4982421267685013,6.679543752553177
33,150.25,226.22000122070312,1.5056239681910357,5.543117284562531
34,149.60000610351562,225.86000061035156,1.5097593007721395,4.893773757837981
35,147.5749969482422,221.7899932861328,1.5028968177036077,5.819242141836388
36,147.61000061035156,220.97000122070312,1.496985301178889,6.693589704013651
37,147.99000549316406,220.13999938964844,1.4875328820757232,8.113682769157808
38,146.97999572753906,219.00999450683594,1.4900666816783754,7.6752922549718265
39,147.00999450683594,219.9199981689453,1.4959526997242292,6.81187224874984
40,148.0800018310547,220.32000732421875,1.487844439491452,8.073425802249691
41,148.17999267578125,221.39999389648438,1.4941287949778008,7.1487101847298264
42,147.8000030517578,217.8699951171875,1.4740865400448742,10.08864142457401
43,147.33999633789062,218.32000732421875,1.4817429940988438,8.924307002874631
44,147.77000427246094,218.87840270996094,1.4812099640085892,9.033650175913156
45,147.52000427246094,219.35000610351562,1.4869170265097662,8.173833853538927
46,147.53500366210938,220.00999450683594,1.4912392926814284,7.537137278162338
47,146.84500122070312,220.55999755859375,1.501991867105503,5.915662751720707
48,146.99000549316406,220.0399932861328,1.4969724815498835,6.660837157395268
