,jpm,spgi,Ratio,Spread
0,134.25,402.7900085449219,3.0002980152321927,-26.392735059330132
1,133.05999755859375,404.4800109863281,3.0398317932345744,-31.444190967051636
2,133.75999450683594,405.82000732421875,3.033941566912063,-30.806874413635764
3,133.65379333496094,405.7699890136719,3.035978096010622,-31.05684733411871
4,133.25,406.1549987792969,3.0480675330528846,-32.582470310482535
5,133.17999267578125,405.4049987792969,3.0440383021061668,-32.03022315070737
6,134.34500122070312,407.4100036621094,3.032565409656089,-30.744375951748705
7,130.22999572753906,397.260009765625,3.050449380315986,-32.21822331609124
8,130.8699951171875,393.4800109863281,3.006648014573444,-26.630389450144346
9,129.5384979248047,392.29998779296875,3.0284432356216873,-29.211506315821477
10,130.05589294433594,392.94000244140625,3.021316401322814,-28.39001196113261
11,130.25,388.0799865722656,2.979500856600888,-22.981693153783592
12,129.9499969482422,386.1099853515625,2.971219656937324,-21.85912405855137
13,129.2100067138672,385.6300048828125,2.9845212045904614,-23.469427316816077
14,128.02999877929688,381.9949951171875,2.9836366379701795,-23.167639084126417
15,128.22000122070312,382.2799987792969,2.981438115269428,-22.915934296697937
16,131.3699951171875,391.20001220703125,2.97784902753528,-22.938018162458743
17,130.0,393.2200012207031,3.0247692401592547,-28.827894056415428
18,129.60000610351562,390.0299987792969,3.0094905895896917,-26.76777238084483
19,129.50999450683594,391.6300048828125,3.0239365415318664,-28.62203829353356
20,128.22999572753906,387.9800109863281,3.0256572090254257,-28.587714570349217
21,134.060302734375,397.2799987792969,2.9634425006965803,-21.418571699475674
22,134.01319885253906,393.7749938964844,2.9383299351713354,-18.046623272150068
23,134.5399932861328,396.9505920410156,2.9504282135409454,-19.734161465521336
24,134.75,397.75,2.9517625231910944,-19.94035400601953
25,133.6999969482422,396.9700012207031,2.969110024545309,-22.12634611477662
26,134.39930725097656,395.8949890136719,2.94566242275624,-19.07596061491537
27,133.47999572753906,392.0400085449219,2.937069381880702,-17.817800790861465
28,132.57000732421875,381.44500732421875,2.877309996606856,-9.79328477776269
29,131.8800048828125,378.0299987792969,2.866469402357175,-8.32735719076734
30,131.22999572753906,381.1199951171875,2.904214032807502,-13.253463650876338
31,130.80999755859375,380.1499938964844,2.906123392642093,-13.469850164957133
32,131.5,382.5199890136719,2.90889725485682,-13.89076432421805
33,131.7949981689453,382.39801025390625,2.901460719804541,-12.935490956765673
34,131.8800048828125,382.44000244140625,2.899908919333445,-12.737360852876716
35,131.94129943847656,381.760009765625,2.8934079881761163,-11.884226686427805
36,131.85000610351562,382.45001220703125,2.9006446302836664,-12.832109520829956
37,131.39999389648438,383.57501220703125,2.9191402589349273,-15.228279260130503
38,129.17999267578125,385.4200134277344,2.9835890639432834,-23.344217866254578
39,129.38499450683594,384.75,2.973683319820152,-22.095126537818228
40,129.02999877929688,381.45001220703125,2.9562893576360763,-19.79791115719271
41,128.86000061035156,379.8599853515625,2.9478502526178603,-18.688085782313546
42,131.49000549316406,379.1600036621094,2.8835651975223415,-10.559010906035521
43,132.89999389648438,381.3299865722656,2.8693002564716674,-8.74613610019875
44,132.0,378.4200134277344,2.8668182835434424,-8.378416229891823
45,130.16000366210938,375.8450012207031,2.8875613909506566,-11.000924509205813
46,129.6300048828125,373.8299865722656,2.883822976865685,-10.483021271485281
47,130.14999389648438,376.7300109863281,2.894583393418848,-11.914209310399169
48,130.1699981689453,377.1700134277344,2.897518773398246,-12.29770478285715
49,132.6199951171875,384.6499938964844,2.900392158487072,-12.857068580940133
50,132.6300048828125,385.2449951171875,2.9046594355295188,-13.423794766074902
51,132.42999267578125,385.6400146484375,2.912029268117321,-14.383797782431113
52,131.83999633789062,383.8900146484375,2.91178720655128,-14.300386997804562
53,131.51499938964844,384.7149963378906,2.925255659988024,-16.04340219727268
54,132.47999572753906,387.8609924316406,2.9276947836662304,-16.46352969435767
55,132.52000427246094,387.4599914550781,2.9237849302997376,-15.949514779898575
56,137.0399932861328,392.4700012207031,2.8639084971439317,-8.191708103265253
57,137.05999755859375,390.3599853515625,2.848095668356348,-6.025185265176358
58,137.55999755859375,388.6499938964844,2.8253125966430663,-2.902821301709505
59,137.09500122070312,388.1600036621094,2.831321348013469,-3.726327155610786
60,136.82000732421875,385.5899963378906,2.8182281515609646,-1.9331074701304622
61,138.14999389648438,390.42999267578125,2.82613108885354,-3.016230865632874
62,138.44000244140625,392.4700012207031,2.834946506063616,-4.237039218463817
63,139.1999969482422,396.9200134277344,2.8514369405864177,-6.540260729532033
64,138.52000427246094,396.510009765625,2.8624747151011665,-8.051062989780942
65,139.07000732421875,397.4599914550781,2.8579849753546487,-7.447426299568772
66,139.52999877929688,397.9599914550781,2.852146455505642,-6.64806772907664
67,139.66000366210938,398.29998779296875,2.851925944070629,-6.620833422085948
68,139.91000366210938,400.7900085449219,2.8646272464751883,-8.40466791984468
69,140.13999938964844,402.614990234375,2.8729484229191065,-9.57997032405174
70,139.60000610351562,407.4949951171875,2.919018462040922,-15.985318550961178
71,139.05999755859375,407.56500244140625,2.930857252961452,-17.580712321465253
72,139.625,408.9049987792969,2.928594440675358,-17.324720828526463
73,140.38999938964844,409.94000244140625,2.9200085777023865,-16.198796276888654
74,140.22999572753906,410.2799987792969,2.925764895382679,-16.990762161988894
75,140.3800048828125,411.20001220703125,2.929192177691516,-17.487037975893625
76,140.08999633789062,409.94000244140625,2.92626178283744,-17.046228402359556
77,139.40499877929688,402.1099853515625,2.88447321740718,-11.151154752658183
78,139.52999877929688,405.2950134277344,2.904715953368668,-13.98308970173289
