,pm,cost,Ratio,Spread
0,88.57137298583984,543.9705200195312,6.141606499726468,-72.97253644670886
1,88.01217651367188,544.9141845703125,6.191349949011489,-76.92380955530885
2,88.18276977539062,541.8049926757812,6.1441140265361005,-72.897090853317
3,89.25877380371094,546.016845703125,6.1172344458133745,-71.32171330090208
4,89.27798461914062,546.7122192382812,6.123706998657648,-71.91376248448475
5,89.86399841308594,559.72509765625,6.2285799379114115,-81.7747968022276
6,90.17143249511719,560.8873901367188,6.22023377711218,-81.28357138316889
7,90.5941390991211,563.9965209960938,6.225529891939393,-82.1191971992811
8,90.55570983886719,560.1621704101562,6.185829379581876,-78.49153635078451
9,91.2666244506836,563.927001953125,6.178896232300626,-78.43275137112406
10,91.96794128417969,562.9435424804688,6.121084528150749,-73.67729651733165
11,92.55397033691406,560.4800415039062,6.05571040835582,-68.06186937195585
12,92.17929077148438,546.26513671875,5.926115639932184,-55.862158751128355
13,93.58192443847656,546.14599609375,5.836020143535325,-48.19902736385611
14,95.24393463134766,532.616455078125,5.592129904541185,-25.73045270254024
15,96.3391342163086,515.3519897460938,5.34935251326821,-2.575514507764205
16,97.02123260498047,518.5606079101562,5.344815706696521,-2.115502676557889
17,97.45355224609375,522.3054809570312,5.359532504654974,-3.5351674700896405
18,98.08760833740234,513.4447631835938,5.2345527828290335,8.735787351095247
19,99.31730651855469,499.6470642089844,5.030815692888723,29.14735275234589
20,97.7321548461914,484.8262634277344,4.960765105309943,35.44249936278684
21,97.50157928466797,486.90234375,4.99378930394992,32.126280615875636
22,98.01074981689453,479.6111145019531,4.893454191483805,42.15605655785405
23,98.87538146972656,478.40911865234375,4.838505920695962,48.00842787985639
24,96.6273422241211,485.6507263183594,5.0260176378640615,28.675860399336536
25,98.12603759765625,474.147705078125,4.832027428053918,48.23953519400491
26,97.3958969116211,480.2568054199219,4.930975745885026,38.20341190941779
27,98.2317123413086,479.3131103515625,4.879413164316803,43.642495922809736
28,99.4518051147461,489.1572265625,4.918535425255653,40.36058396272663
29,98.80813598632812,501.7728576660156,5.0782544641409375,24.2830126013831
30,99.19241333007812,505.03106689453125,5.091428365735615,23.091618678689407
31,99.8168716430664,518.5506591796875,5.195020146834142,12.93064229978743
32,99.73040771484375,519.0878295898438,5.20491033260444,11.928430238962484
33,99.51905059814453,517.09814453125,5.195971438868318,12.781342258777933
34,99.50945281982422,513.2380981445312,5.15768184429494,16.58976750400368
35,99.76882934570312,518.4710083007812,5.196723382453028,12.75190023117225
36,100.0090103149414,526.1115112304688,5.260641111972562,6.403197901917088
37,100.94088745117188,515.8147583007812,5.110067598229669,21.71200256879886
38,103.71732330322266,507.050048828125,4.888769134021512,45.4096249700518
39,104.94701385498047,503.95599365234375,4.802004127041939,55.11750553818056
40,105.36011505126953,511.27813720703125,4.8526725408209455,50.01720485096903
41,107.18545532226562,509.7660217285156,4.7559253277027596,61.34681613501969
42,107.50248718261719,512.3626098632812,4.76605354249077,60.45536704127469
43,107.223876953125,510.0345764160156,4.756725749051092,61.28491015066695
44,104.32255554199219,499.5985107421875,4.7889788372859385,56.11637254208254
45,104.32255554199219,492.7140808105469,4.722987068814839,63.00080247372316
46,98.75049591064453,502.98101806640625,5.09345308525371,22.76483811197793
47,101.10420989990234,514.829833984375,5.092071185701163,23.575348010755626
48,97.09809112548828,516.5807495117188,5.320194697175835,0.27773519676143277
49,97.45355224609375,520.2418823242188,5.3383573028767835,-1.4715688372771405
50,98.51032257080078,525.2858276367188,5.332292230179109,-0.8317310244732647
51,98.45267486572266,530.309814453125,5.386443945544419,-6.1657729641877035
52,95.87799835205078,522.798583984375,5.452748210957958,-12.502303526749209
53,89.53736114501953,525.8031005859375,5.872443568381678,-49.609600948722424
54,90.27710723876953,520.6696166992188,5.767460130530379,-40.49743194342661
55,90.1233901977539,524.9376220703125,5.824654630928379,-45.59219626428406
56,88.27884674072266,529.9815673828125,6.003494460449654,-60.556920699599026
57,85.37753295898438,524.708740234375,6.145747271550311,-70.88865579928037
58,86.06922912597656,523.246337890625,6.079365915137538,-65.7060023187685
59,89.01858520507812,539.5321655273438,6.060893512117577,-66.12887475984698
60,90.08496856689453,540.5966796875,6.000964292795066,-61.45790258461877
61,89.66226196289062,549.9483032226562,6.133553751412926,-73.08303116303787
62,90.2098617553711,558.4642944335938,6.190723315240452,-78.65378594260298
63,90.4404296875,552.6743774414062,6.110921623781192,-71.6237715600636
64,89.96968078613281,556.5442504882812,6.185908915373882,-78.02554259772288
65,88.84992980957031,551.1720581054688,6.203404541644334,-78.67587143482908
66,90.14494323730469,555.2410278320312,6.159425120168646,-75.77968014625881
67,90.99205780029297,552.8533935546875,6.075842297885777,-68.83588513489107
68,89.64836120605469,562.3045043945312,6.272334450175697,-85.51399681806103
69,91.16732788085938,567.050048828125,6.219882297846501,-82.0898595788208
70,91.46917724609375,573.506591796875,6.2699437019519815,-86.92292175104254
71,91.46917724609375,572.8898315429688,6.263200881337701,-86.30616149713629
72,94.23448181152344,572.6112670898438,6.07645159268889,-71.15455314994435
73,93.74762725830078,572.1735229492188,6.103338715685268,-73.33533039413535
74,93.1439437866211,572.362548828125,6.1449250005917975,-76.77123579751074
75,96.41555786132812,581.7838745117188,6.034128593110281,-68.59635875324912
76,97.0484619140625,604.9242553710938,6.233218367816699,-88.33269874322767
77,97.43794250488281,596.9554443359375,6.126519392648535,-78.26908701393612
78,98.57716369628906,581.6644287109375,5.900600168442808,-56.85083065145752
79,97.8469009399414,578.3714599609375,5.910983939245484,-57.48554139294722
