,ibm,adbe,Ratio,Spread
0,130.97500610351562,574.719970703125,4.388012551409214,-183.44352831251214
1,131.08999633789062,574.2899780273438,4.380883317343944,-182.6673693147222
2,130.97999572753906,574.8200073242188,4.388609147002442,-183.52854418157605
3,131.15939331054688,574.780029296875,4.3823016772879155,-182.94850810648066
4,131.44000244140625,575.905029296875,4.381505010650041,-183.22876306113298
5,131.19000244140625,577.0,4.398201000550382,-185.07633315648073
6,131.6300048828125,577.75,4.3891968287500935,-184.5017508765653
7,132.11000061035156,574.947509765625,4.352036235783459,-180.25428267092863
8,132.85000610351562,571.2000122070312,4.2995858935976035,-174.2790743747478
9,132.63499450683594,570.9849853515625,4.304934662790929,-174.71131790720696
10,132.72000122070312,570.0999755859375,4.295509119517752,-173.5704041368168
11,132.32000732421875,570.719970703125,4.313179709132809,-175.39453990755206
12,132.66769409179688,569.8250122070312,4.295130145344591,-173.45290601160556
13,132.64999389648438,569.5599975585938,4.293705418509551,-173.2411759881057
14,133.7100067138672,565.8699951171875,4.232069154914646,-166.36011353825697
15,133.55270385742188,565.6699829101562,4.235556200449928,-166.6336454678483
16,133.89999389648438,565.510009765625,4.223375918917594,-165.42819123402327
17,133.83999633789062,566.3099975585938,4.231246361729533,-166.40879553152203
18,133.77000427246094,568.6500244140625,4.250953175241318,-168.95952633060196
19,133.88999938964844,569.677490234375,4.2548173338659305,-169.62575914185445
20,133.36000061035156,569.280029296875,4.2687464508956126,-170.82380524106495
21,134.16000366210938,573.7899780273438,4.276907888825576,-172.9254267294166
22,134.25,578.3499755859375,4.308007266934357,-177.2144995312153
23,133.69000244140625,574.97998046875,4.3008450143514105,-175.5303197030033
24,133.88999938964844,574.3099975585938,4.289416686658047,-174.2582664660732
25,134.02999877929688,571.7650146484375,4.265948070252135,-171.29182973367304
26,134.05999755859375,572.3319702148438,4.269222591658589,-171.7684770478143
27,133.9199981689453,570.1799926757812,4.257616490977523,-170.0379533309957
28,134.71499633789062,567.7449951171875,4.214415696476552,-165.2096952173362
29,134.3800048828125,568.7100219726562,4.232103001250862,-167.18317953477137
30,134.60000610351562,567.6300048828125,4.217161806413815,-165.44087130496987
31,134.47500610351562,568.260009765625,4.225766751988039,-166.44717588389372
32,134.39999389648438,568.0402221679688,4.2264899402114295,-166.45320485192153
33,134.16000366210938,569.3200073242188,4.243589682347415,-168.4554560262916
34,133.64999389648438,567.0999755859375,4.243172476499866,-167.77075644655852
35,134.62100219726562,560.8400268554688,4.16606634701506,-158.5876866880449
36,135.32000732421875,561.3499755859375,4.148314699990934,-156.99335208369163
37,135.32000732421875,560.5900268554688,4.142698762292616,-156.23340335322288
38,135.8249969482422,561.3200073242188,4.132670862772901,-155.4431642854976
39,135.85000610351562,560.8400268554688,4.128376898475199,-154.88789631651238
40,136.22500610351562,562.4600219726562,4.1289043624285116,-155.3789923453658
41,136.02999877929688,564.3699951171875,4.148864222463567,-157.8760150646411
42,139.22000122070312,550.9000244140625,3.957046542046282,-134.80286876715044
43,139.3800048828125,547.1500244140625,3.9255991192861104,-130.57119413172276
44,139.05999755859375,545.1400146484375,3.9201785144483376,-129.52453363695318
45,138.80999755859375,544.114990234375,3.9198544759335223,-129.25210861511343
46,138.69000244140625,542.0250244140625,3.9081766159969407,-127.52337580386096
47,138.7100067138672,551.8900146484375,3.978732520624005,-137.3281452250521
48,138.05999755859375,554.0999755859375,4.0134722974391845,-141.49489214334412
49,139.91000366210938,535.1099853515625,3.8246727992651874,-116.93564803251228
50,140.12989807128906,531.2100219726562,3.7908399940632997,-112.37371505879877
51,141.8350067138672,527.6900024414062,3.7204496595537164,-103.7206406152366
52,141.32969665527344,525.030029296875,3.714930702621617,-102.58185164263209
53,140.6750030517578,519.97998046875,3.696321088953071,-99.50269084689903
54,139.1199951171875,514.2999877929688,3.6968085526437013,-98.50389027695444
55,138.22000122070312,514.280029296875,3.7207352391474595,-101.19327121885395
56,134.1269989013672,520.406982421875,3.8799569563512417,-119.64178857544799
57,132.85000610351562,523.7249755859375,3.9422277118892666,-126.80403775365407
58,134.76010131835938,518.2750244140625,3.8459085392766323,-115.60394059066316
59,135.32000732421875,514.6799926757812,3.8034286492657245,-110.3233691735354
60,135.50999450683594,517.530029296875,3.819128110663215,-112.60146884195795
61,135.56500244140625,515.885009765625,3.8054438865119353,-110.79085355820773
62,135.33999633789062,514.0499877929688,3.7982119233222718,-109.63318941256055
63,134.41000366210938,509.5,3.790640474058924,-107.88284930985013
64,134.17999267578125,510.760009765625,3.8065288243067132,-109.83528358953554
65,134.77499389648438,510.6382141113281,3.7888201612795487,-107.92229770694676
