,ctva,lin,Ratio,Spread
0,46.27000045776367,335.6099853515625,7.253295483710121,-90.71722665479282
1,46.869998931884766,338.1484069824219,7.214602404276693,-90.00989436350554
2,46.4900016784668,336.6700134277344,7.241772451552157,-90.5871353293775
3,46.63999938964844,337.19000244140625,7.229631364794662,-90.2956961805128
4,46.43000030517578,335.95001220703125,7.2356237346305,-90.19171775528912
5,46.29999923706055,334.8299865722656,7.231749289193358,-89.77494637018867
6,46.06999969482422,333.79998779296875,7.245495767400013,-89.98915394891469
7,44.40999984741211,327.32000732421875,7.370412259600415,-92.4891146765039
8,43.95000076293945,328.3399963378906,7.470762016795256,-95.99751640622156
9,44.2599983215332,328.9599914550781,7.432444734075685,-94.94054760590004
10,44.27000045776367,329.2699890136719,7.437767915268397,-95.1964375720579
11,44.720001220703125,330.19000244140625,7.383497169685782,-93.68212524018222
12,44.84000015258789,330.19000244140625,7.363737763554617,-93.03297858295292
13,44.77000045776367,330.29998779296875,7.377707938702749,-93.52163453756586
14,45.790000915527344,330.510009765625,7.217951586752412,-88.21385833377266
15,45.849998474121094,330.6700134277344,7.211996170825893,-88.04929898526748
16,45.91999816894531,333.2799987792969,7.257839984076629,-90.28061373377955
17,45.95500183105469,333.0899963378906,7.248177196520113,-89.9012553548479
18,45.65999984741211,332.0150146484375,7.271463332412938,-90.42211746625034
19,45.7400016784668,332.4599914550781,7.268473529846669,-90.43431607740465
20,45.81999969482422,332.8599853515625,7.264513041652465,-90.40155241440289
21,45.900001525878906,332.760009765625,7.249673174368227,-89.8687986329791
22,46.11000061035156,334.44000244140625,7.25309039285342,-90.41277949960903
23,46.08000183105469,334.69000244140625,7.2632376115889965,-90.82506100491631
24,45.875,334.739990234375,7.296784528269755,-91.9840274468186
25,45.7599983215332,334.4049987792969,7.307801814798942,-92.271149488752
26,45.7599983215332,334.739990234375,7.315122432529832,-92.60614094383013
27,45.93000030517578,335.29998779296875,7.300239180603365,-92.24649515501554
28,46.569698333740234,338.05999755859375,7.259226700072174,-91.54599214476389
29,46.41999816894531,339.44000244140625,7.312365700791636,-93.7358155821
30,46.48500061035156,339.70001220703125,7.3077338441808,-93.64418790489233
31,46.439998626708984,339.5899963378906,7.3124463044790575,-93.7776149297128
32,46.52000045776367,340.42999267578125,7.3179275435490085,-94.1848330721171
33,46.56999969482422,340.04998779296875,7.30191088729515,-93.53435213512574
