,intc,adi,Ratio,Spread
0,46.154998779296875,157.99000549316406,3.4230313004369854,56.01998312784731
1,46.720001220703125,159.7899932861328,3.4201624381663063,56.897797778129515
2,46.7400016784668,159.8300018310547,3.4195549014001996,56.95258046018428
3,47.180599212646484,160.83999633789062,3.4090282663213487,58.03077720183249
4,47.47999954223633,161.5800018310547,3.4031171733125127,58.709765460430575
5,47.380001068115234,161.11000061035156,3.4003798433590977,58.7058286258284
6,47.3650016784668,160.9499969482422,3.3980785652840737,58.79474338759975
7,47.540000915527344,161.13999938964844,3.3895666025748326,59.43414158276677
8,47.72999954223633,162.13999938964844,3.3970249517008813,59.33463111967801
9,47.290000915527344,159.6999969482422,3.377035184108144,59.68928080633181
10,47.775001525878906,160.47999572753906,3.359078819507934,61.20791956237933
11,47.39500045776367,158.92999267578125,3.3533071239742394,60.95692546073671
12,47.189998626708984,159.27999877929688,3.3752914476489573,59.6353228403939
13,46.974998474121094,157.63999938964844,3.355827663868762,60.256339139515816
14,47.205501556396484,158.66000366210938,3.361048997065692,60.3287933622034
15,47.709999084472656,160.33999633789062,3.3607210105789687,61.03984294445918
16,47.06999969482422,159.10000610351562,3.380072384428125,59.24658623389321
17,46.78499984741211,159.32000732421875,3.405365135061157,57.67584166803424
18,46.43000030517578,158.6699981689453,3.417402479561422,56.643347223522525
19,46.23500061035156,157.56500244140625,3.407916088707242,56.82415108751168
20,46.670501708984375,158.0500030517578,3.3865074782629168,58.40318740955793
21,46.59000015258789,156.2949981689453,3.3546897973183145,59.77665895975777
22,46.849998474121094,157.0800018310547,3.3528283233098124,60.22390508918896
23,48.060001373291016,158.8000030517578,3.304203048566905,64.23865558331643
24,48.23500061035156,159.75,3.3119103965703394,64.11805927164748
25,48.42499923706055,160.35000610351562,3.3113063217313754,64.41854270504312
26,48.65999984741211,161.2449951171875,3.3137072672178194,64.63732800887443
27,48.70000076293945,160.89999389648438,3.303901260283527,65.17191168353084
28,48.915000915527344,160.3249969482422,3.277624326842226,66.76589172229957
29,48.86000061035156,159.7949981689453,3.270466561048116,67.03521914730514
30,48.099998474121094,158.52999877929688,3.2958420750177293,64.69822423015275
31,47.970001220703125,158.67999267578125,3.3079005344552166,63.93211447768702
32,48.0099983215332,158.24000549316406,3.2959802338129025,64.56166603467959
33,48.54499816894531,160.7100067138672,3.3105368786824854,64.62727137697352
34,48.230201721191406,160.33999633789062,3.324472853436986,63.50531882474739
35,48.03499984741211,159.3800048828125,3.317997405831138,63.54016019864643
36,47.93000030517578,159.27000427246094,3.322971067355949,63.15252042705406
37,47.939998626708984,156.61000061035156,3.2667919294244383,65.85991066286279
38,47.80500030517578,156.99000549316406,3.2839662062750152,64.84008759743033
39,47.834999084472656,158.6300048828125,3.316191239027412,63.34226600845791
40,47.816001892089844,157.86000061035156,3.301405269445294,64.02223398293226
41,47.67490005493164,156.69009399414062,3.2866370734621415,64.52339509186889
42,47.78969955444336,156.3249969482422,3.271102317145819,65.4325789553594
43,48.099998474121094,156.85000610351562,3.2609149912531605,66.378216905934
44,47.900001525878906,152.91000366210938,3.1922755488743935,69.3703432367296
45,48.150001525878906,151.08999633789062,3.1379022128729352,72.37521377878956
46,48.0099983215332,149.05999755859375,3.1047698973098714,73.7416739692499
47,47.79999923706055,148.43499755859375,3.1053347265225133,73.371393205362
48,47.935001373291016,148.75,3.103160440981697,73.69622702615364
49,47.97999954223633,148.0399932861328,3.0854521612868013,74.61950044103484
50,47.65999984741211,146.27999877929688,3.0692404374239572,74.86287147540027
51,46.91999816894531,144.77000427246094,3.0854648320996545,72.86566290241201
52,47.2599983215332,145.4949951171875,3.0786077080941245,73.75208675713257
53,48.31999969482422,149.83999633789062,3.1009933212797742,74.43091208872416
54,48.16999816894531,150.72999572753906,3.1291260422906366,72.82998753653986
55,47.86000061035156,150.0,3.134141205329545,72.09076444488569
56,47.92499923706055,149.94000244140625,3.128638598401003,72.4588199314701
57,47.4900016784668,148.47000122070312,3.126342303079414,71.86717072405942
58,47.369998931884766,152.92999267578125,3.2284145265801136,66.83843190712143
59,47.189998626708984,152.5399932861328,3.23246445698765,66.37532833355796
60,47.557098388671875,153.7899932861328,3.2337968147099083,66.86518035447033
61,47.63999938964844,154.60000610351562,3.2451722939591017,66.44807292420488
62,47.665000915527344,154.17999267578125,3.234658338704775,66.98657990555454
63,47.830299377441406,154.6999969482422,3.2343514249715235,67.24999990304438
64,47.63999938964844,153.58999633789062,3.2239714169951013,67.45808268982988
65,46.369998931884766,150.38999938964844,3.2432607904641944,64.63897232188945
66,46.25,148.9600067138672,3.220756901921453,65.50023571538877
67,46.459999084472656,149.0800018310547,3.2087818503827426,66.37552136208917
68,46.380001068115234,148.52000427246094,3.2022423642108038,66.55637209235424
69,46.62900161743164,150.33999633789062,3.224173607047336,65.91650639535361
70,46.57500076293945,150.3699951171875,3.2285559345999957,65.63057311117758
71,46.650001525878906,150.52999877929688,3.226795152317218,65.82603203033615
72,46.54499816894531,151.41000366210938,3.2529811927918324,64.44836868600179
73,46.369998931884766,151.4199981689453,3.265473402131706,63.60897354259258
74,46.41999816894531,150.33999633789062,3.238690268593486,64.92594440129993
75,46.505001068115234,150.2100067138672,3.229975341659635,65.4588012598686
76,46.44499969482422,149.60000610351562,3.221014255280249,65.78442818929021
77,46.150001525878906,148.625,3.220476599912084,65.36130437395063
78,45.83000183105469,147.66000366210938,3.2219069989662112,64.80967723937077
79,45.349998474121094,147.0,3.2414554563631426,63.19472761319649
80,45.06999969482422,146.42999267578125,3.2489459433610133,62.437693918898034
