,t,meta,Ratio,Spread
0,18.56117820739746,341.75,18.412085492708503,-171.30894255381412
1,18.625377655029297,341.1199951171875,18.314796157976264,-170.05584612141402
2,18.610271453857422,340.1600036621094,18.278078560299726,-169.24246879844716
3,18.61782455444336,340.44500732421875,18.28597139954075,-169.4541653945009
4,18.66314125061035,339.5400085449219,18.19307928850497,-168.10934273075554
5,18.648263931274414,339.7300109863281,18.217782214921233,-168.44373787802897
6,18.580060958862305,336.3500061035156,18.102739643762234,-165.72568099219063
7,19.131420135498047,340.2900085449219,17.786970655331498,-164.3144342185033
8,19.104984283447266,338.6199951171875,17.72417030515806,-162.90099552196367
9,19.142749786376953,338.2200012207031,17.668308105944075,-162.13446629520107
10,19.219560623168945,339.0,17.63828042933196,-162.16897293885987
11,19.214502334594727,338.94000244140625,17.63980125736393,-162.15806890026096
12,19.271148681640625,339.92999267578125,17.639321780524075,-162.59827465110402
13,19.20694923400879,338.57000732421875,17.62747447287098,-161.86138084912912
14,19.44486427307129,339.7699890136719,17.473507875506794,-160.75226400537096
15,19.452417373657227,334.19000244140625,17.179870039904227,-155.0989703670497
16,19.4675235748291,334.2936096191406,17.171861039961538,-155.05596341267278
17,19.463747024536133,334.8900146484375,17.205834736049173,-155.68902197499747
18,19.52794647216797,334.4901123046875,17.12879092440245,-154.6660280816599
19,19.45158576965332,337.7799987792969,17.36516512223245,-158.6970378869606
20,19.365558624267578,336.5,17.37620930688369,-158.25198067339798
21,19.924470901489258,333.25,16.725663715119843,-149.57742439224873
22,20.135196685791016,334.19500732421875,16.597553653898654,-148.47722010917116
23,20.231494903564453,332.2300109863281,16.421426719574473,-145.57759570284185
24,20.151058197021484,329.7650146484375,16.36465000618081,-143.89328259467308
25,20.094409942626953,328.4949951171875,16.34758104642525,-143.1730660588404
26,19.9433536529541,327.54010009765625,16.423521630181767,-143.68425682476587
27,19.796072006225586,324.239990234375,16.37900640755429,-141.81359772579893
28,19.743202209472656,334.20001220703125,16.92734586118377,-152.2867506489593
29,19.833837509155273,338.0799865722656,17.04561643283648,-155.28705873341133
30,19.8187313079834,338.1000061035156,17.05961904672081,-155.45369239677262
31,19.822507858276367,333.8999938964844,16.844487906562904,-151.21702665671356
32,19.7620849609375,333.6300048828125,16.882328233193938,-151.53347565960144
33,19.76593589782715,333.67999267578125,16.881568087674633,-151.54608795601303
34,19.72809600830078,332.5,16.854135333693506,-150.73335257403934
35,19.966917037963867,332.9700012207031,16.676084775011308,-148.8854621159816
36,19.966012954711914,332.29998779296875,16.643282188923305,-148.22422332191147
37,19.987991333007812,332.7799987792969,16.648996551732036,-148.49092185314888
38,19.848941802978516,333.4599914550781,16.7998876093757,-150.5204679959979
39,19.845165252685547,332.4798889160156,16.753697169189497,-149.57701898996325
40,19.882930755615234,332.8949890136719,16.742752520005503,-149.62558375734127
41,19.860271453857422,331.7900085449219,16.706217199286012,-148.7405244867582
42,19.837614059448242,318.614990234375,16.061154798130843,-135.7854088624929
43,19.89055824279785,319.8074951171875,16.078356937668463,-136.46406083127192
44,20.064199447631836,319.45001220703125,15.921393377333862,-134.42129290102133
45,19.939577102661133,323.75,16.23655297868842,-139.93081026013746
46,19.99501609802246,327.01141357421875,16.35464617638196,-142.65415737426193
47,19.981117248535156,326.7699890136719,16.35393981973795,-142.54762892238867
48,19.992446899414062,328.07000732421875,16.409697571027877,-143.73768663385206
49,19.830060958862305,326.9599914550781,16.488098152262893,-144.20371714925164
50,19.792295455932617,331.0700988769531,16.727220933725345,-148.68035990140487
51,19.822507858276367,331.1700134277344,16.706766661185256,-148.48704618796356
52,19.845165252685547,332.2850036621094,16.7438768803975,-149.382133736057
53,19.886707305908203,333.1600036621094,16.752899237528872,-149.85394487275096
54,19.8975830078125,334.2749938964844,16.799778835712665,-150.86338033675997
55,19.89426040649414,334.45001220703125,16.81138204553992,-151.0706463516172
56,19.89803695678711,334.1300048828125,16.792108970771743,-150.7139854943706
57,19.95090675354004,332.0,16.640847661778118,-148.07084966105398
58,19.96978759765625,333.25,16.687708788605836,-149.13760050780024
59,19.9768123626709,333.010009765625,16.669827183634897,-148.82943099961642
60,19.981117248535156,333.2699890136719,16.679246954426652,-149.04762892238867
61,19.962310791015625,331.9200134277344,16.62733422510988,-147.88018052617556
62,19.984893798828125,333.260009765625,16.675595733471784,-149.00099614131398
63,20.143505096435547,331.8800048828125,16.475782307694786,-146.08157989510372
64,20.313444137573242,331.2349853515625,16.30619520295359,-143.78720691325785
65,20.319108963012695,328.7124938964844,16.1775053470527,-141.209735158638
66,20.381420135498047,329.4800109863281,16.165704293219353,-141.37248746540806
67,20.336103439331055,329.1449890136719,16.185253482586482,-141.4772893772003
68,20.256797790527344,328.65008544921875,16.224187497340022,-141.75209149444606
69,20.256797790527344,326.55999755859375,16.121007917218908,-139.66200360382106
70,20.1812686920166,330.42999267578125,16.37310308476762,-144.2650508696796
71,20.298337936401367,329.6499938964844,16.24024562648143,-142.34882959029102
72,20.377643585205078,330.6400146484375,16.22562556195135,-142.56914466054528
73,20.411630630493164,328.7200012207031,16.104543883408542,-140.31926794744587
74,20.441843032836914,330.05218505859375,16.14591133140059,-141.35822352111393
75,20.441843032836914,331.1099853515625,16.197658147539897,-142.41602381408268
76,20.536252975463867,331.94000244140625,16.16361090009939,-142.32973960200164
77,20.385196685791016,321.406005859375,15.76663746803105,-133.26182880542711
78,20.569561004638672,319.3999938964844,15.527798275542002,-129.4664580029056
79,20.460725784301758,319.95001220703125,15.637275802430674,-131.07278300441232
80,20.504606246948242,320.0,15.606249451760455,-130.69688636261438
81,20.630664825439453,319.9713134765625,15.509500841776523,-129.44473082334773
82,20.672204971313477,319.9490051269531,15.477255840436072,-129.01925212231768
83,20.634441375732422,318.2900085449219,15.425181750704125,-127.72677235867926
84,20.385196685791016,321.6900939941406,15.780573469686782,-133.54591694019274
85,20.61178207397461,322.84600830078125,15.66317784372568,-132.50269331270556
86,20.653324127197266,324.94000244140625,15.733060714110907,-134.19349859002455
87,20.623111724853516,325.0700988769531,15.762417583433912,-134.61682328979398
88,20.599472045898438,323.0299987792969,15.681469799786223,-132.8061594993836
89,20.645771026611328,321.9103088378906,15.59207008655501,-131.23711205256456
90,20.626888275146484,319.6099853515625,15.494823120589805,-129.12005623137554
91,20.581571578979492,326.94000244140625,15.885084440068649,-136.88989720566778
92,20.632326126098633,325.1499938964844,15.759250406825894,-134.60728739111443
93,20.649547576904297,324.7300109863281,15.725768798417928,-134.02016066797424
94,20.626888275146484,323.1199951171875,15.664989833028647,-132.63006599700054
95,20.600452423095703,322.4013977050781,15.650209572272574,-132.1680433160859
96,20.495315551757812,319.268798828125,15.57764739078352,-130.05585658436488
97,20.40030288696289,316.55999755859375,15.51741654585413,-128.2692063725346
98,20.2379150390625,311.25,15.379548703472485,-124.53527371036643
99,20.347431182861328,314.0199890136719,15.432905814576309,-126.24234729000221
100,20.336103439331055,310.010009765625,15.244317117607197,-122.34231012915342
101,20.173715591430664,308.04998779296875,15.269868676240355,-121.95835305292275
102,20.120845794677734,307.739990234375,15.29458519660127,-122.16148644483314
103,20.0,305.94000244140625,15.297000122070312,-121.53437468498393
104,20.10573959350586,303.0400085449219,15.072313412574168,-117.60811888749129
105,19.848941802978516,295.8299865722656,14.904068413756628,-112.8904631131854
106,19.792295455932617,294.7799987792969,14.89367412868417,-112.39025980374862
107,19.560422897338867,291.04998779296875,14.879534523385237,-110.91070169778723
108,19.581268310546875,296.8500061035156,15.15989676437997,-116.50840361315176
109,19.592145919799805,301.70001220703125,15.399028439357094,-121.25283643441605
110,19.724319458007812,303.7799987792969,15.40129176198098,-122.05000488636404
111,19.901813507080078,309.0199890136719,15.527227652079942,-125.56731609220216
112,19.611026763916016,302.0799865722656,15.40357831381313,-121.44956164639669
113,19.743202209472656,301.1499938964844,15.253351037046798,-119.23673233841242
114,19.830060958862305,301.29998779296875,15.194102953995912,-118.54371348714227
115,19.860271453857422,302.125,15.212531243691478,-119.07551594183633
116,19.988670349121094,304.8299865722656,15.250138265733572,-120.53431941492676
117,19.962236404418945,302.2521057128906,15.14119458308702,-118.21299477486116
118,20.0,300.260009765625,15.01300048828125,-115.85438200920268
119,19.607250213623047,299.9549865722656,15.298166918064727,-119.3612151794245
