,abt,unh,Ratio,Spread
820,108.23999786376953,547.5850219726562,5.0589895859185505,-41.02306433785476
821,108.26000213623047,545.6599731445312,5.0402730683294505,-39.00352274937235
822,107.73999786376953,544.405029296875,5.05295192213797,-40.204886133005814
823,107.18000030517578,542.280029296875,5.059526289912578,-40.72510680815283
824,107.27999877929688,544.2050170898438,5.072753759155202,-42.17773891462083
825,107.48999786376953,544.6099853515625,5.066610811936095,-41.590749423159494
826,106.62000274658203,537.7000122070312,5.043143860022725,-38.79031039345604
827,106.05500030517578,535.5,5.049266875291933,-39.259160070875524
828,105.62999725341797,533.344970703125,5.0491809577877,-39.111687489664476
829,105.95500183105469,536.27001953125,5.061299705193086,-40.501535288626215
830,106.1449966430664,535.843017578125,5.048217386826092,-39.17706834267854
831,106.16999816894531,537.3200073242188,5.060940158152746,-40.53596015753989
832,106.01000213623047,535.8800048828125,5.054994756005836,-39.85171960684899
833,105.62470245361328,538.6400146484375,5.099564800052238,-44.431742104575804
834,105.91999816894531,539.4600219726562,5.093089419357831,-43.85688204144351
835,105.9000015258789,537.8499755859375,5.078847666064504,-42.341292376653385
836,105.45999908447266,535.9500122070312,5.082021779440177,-42.51973726446478
837,105.60669708251953,537.6799926757812,5.091343707640491,-43.55677082392698
838,105.52999877929688,538.416015625,5.102018590477116,-44.65508809804017
839,105.4800033569336,536.9500122070312,5.090538444429576,-43.42524450410737
840,105.36000061035156,534.6199951171875,5.07422164028216,-41.66207586112178
841,104.98999786376953,533.5399780273438,5.081817210051209,-42.32981445360231
842,104.9000015258789,533.9099731445312,5.089704150412384,-43.124918877111796
843,104.91000366210938,534.655029296875,5.096320757159384,-43.82272864927678
844,105.26000213623047,536.8400268554688,5.100133155618553,-44.35446328590372
845,105.55500030517578,539.3250122070312,5.109421729408929,-45.445986748839076
846,105.95999908447266,542.0,5.115137832040851,-46.20791058650123
847,104.93000030517578,538.0,5.127227660681352,-47.07324263047322
848,104.22000122070312,538.0,5.162156915165409,-50.42701485458561
849,103.80000305175781,534.5850219726562,5.150144568937017,-48.99595233360209
850,103.83999633789062,536.219970703125,5.163905909224896,-50.441987620213595
851,102.9800033569336,532.8499755859375,5.1743052846779785,-51.134280237675185
852,102.14009857177734,531.469970703125,5.203343037011491,-53.72167390643729
853,101.91999816894531,529.25,5.1927983664471915,-52.541375836245734
854,101.77999877929688,528.489990234375,5.192473929778386,-52.44267123940752
855,101.55000305175781,527.6699829101562,5.196159202882686,-52.70907839029748
856,101.89800262451172,529.5599975585938,5.196961509736279,-52.95527218511809
857,102.04000091552734,530.4500122070312,5.19845166060081,-53.17453959641888
858,102.12999725341797,531.1719970703125,5.20094008964184,-53.471415153378146
859,102.27999877929688,531.6699829101562,5.198181357602586,-53.260849444256465
860,101.8499984741211,529.9000244140625,5.202749458545195,-53.522052834701654
