,googl,tmus,Ratio,Spread
0,131.3834991455078,122.7655029296875,0.9344057947012369,46.64502616522425
1,132.7344970703125,123.66000366210938,0.9316342502627922,47.50591069817149
2,133.71774291992188,124.18000030517578,0.9286725724913121,48.263469886206124
3,134.65750122070312,125.5,0.9319941248152673,48.16452156674815
4,134.52099609375,125.71499633789062,0.9345381017716943,47.772160716224775
5,133.677001953125,125.43499755859375,0.9383438865765303,46.955536879520835
6,133.9510040283203,125.6050033569336,0.9376936311009495,47.14154880455975
7,133.8939971923828,125.1500015258789,0.9346946401641869,47.52248023328984
8,134.46701049804688,125.5,0.9333144206535541,47.91701222450497
9,133.47850036621094,122.48999786376953,0.9176758618631959,49.6426185165718
10,135.60000610351562,123.19999694824219,0.9085545088706899,51.68914469633968
11,134.41299438476562,122.42500305175781,0.9108122589792812,50.921824690887135
12,133.8385009765625,122.08000183105469,0.9121441210136765,50.520372312146534
13,133.2104949951172,121.23999786376953,0.9101384832194608,50.54439246024698
14,133.97454833984375,122.5999984741211,0.9150991736365505,50.17714539796832
15,135.07350158691406,123.2699966430664,0.9126142077818824,50.9350445646282
16,135.62399291992188,122.25,0.9013891817223045,52.67030831279767
17,135.2740020751953,122.5,0.9055694229546445,51.9655564878192
18,134.56300354003906,122.66000366210938,0.9115432952238766,50.88173471363335
19,133.3905029296875,122.5999984741211,0.919105901705354,49.418280644387764
20,134.06356811523438,123.45999908447266,0.9209064089533451,49.432810399812084
21,133.93174743652344,122.79499816894531,0.9168475773613246,49.926533423026186
22,134.09950256347656,123.19000244140625,0.9186462297508803,49.74949756682777
23,134.19924926757812,125.56999969482422,0.9356982276737766,47.499103691353056
24,134.64524841308594,125.5199966430664,0.9322274504479828,48.12860454545192
25,134.0437469482422,125.5999984741211,0.9370075168267159,47.26705687402348
26,134.64999389648438,125.4000015258789,0.9313034326780836,48.25476558745818
27,134.56149291992188,125.43000030517578,0.9321388874588342,48.10977528420982
28,134.82150268554688,125.5,0.9308604154391601,48.37761275630514
29,134.4969940185547,125.56999969482422,0.9336268115962582,47.88597086495055
30,134.6739959716797,125.7750015258789,0.9339219544085398,47.91095208179884
31,134.38650512695312,125.44999694824219,0.9335014466648364,47.862412641716574
32,133.74899291992188,125.5999984741211,0.9390724799649165,46.884075620890584
33,135.093505859375,125.83499908447266,0.9314659374926583,48.396034172859956
34,135.15591430664062,125.91000366210938,0.9315907802336033,48.40211844573385
35,134.25,125.00499725341797,0.9311359199509718,48.13004782390804
36,133.9665069580078,123.91000366210938,0.924932705015212,48.856691842200306
37,131.13600158691406,124.16999816894531,0.9468795499811558,44.91895118139867
38,131.07550048828125,124.16000366210938,0.9472403553645774,44.8503351033264
39,132.11978149414062,124.0199966430664,0.9386936251371757,46.34720245274728
40,132.07901000976562,124.19000244140625,0.9402705428532809,46.124221248890464
41,131.40499877929688,124.44499969482422,0.9470339853953165,44.99346440995784
42,131.40174865722656,123.44000244140625,0.9394091304173642,45.99423869878929
43,131.87350463867188,123.19999694824219,0.9342285797727545,46.84720849298925
44,127.88525390625,122.66500091552734,0.9591801804252622,42.200170977204735
45,128.80767822265625,122.9800033569336,0.9547567742378761,43.08369743337009
46,128.18850708007812,122.45500183105469,0.9552728604176521,42.80419446633461
47,127.37850189208984,122.79000091552734,0.9639774301910875,41.41673545889596
48,127.4000015258789,123.13999938964844,0.9665619930517416,41.09467199464514
49,126.91075134277344,122.83000183105469,0.9678455176685776,40.76897460009776
50,126.32450103759766,122.30999755859375,0.9682207058327578,40.527249243941796
51,126.4020004272461,118.68000030517578,0.9389091937155306,44.25794338531658
52,126.67924499511719,117.69000244140625,0.92903934220592,45.608172023988985
53,129.46200561523438,121.16999816894531,0.935950262728563,45.74388650585625
54,129.65451049804688,120.9000015258789,0.9324781765128036,46.264009539641975
55,128.74725341796875,120.55999755859375,0.9364083066471666,45.42519177742584
56,128.1020050048828,119.7698974609375,0.9349572433028841,45.37690453485162
57,127.10400390625,119.25,0.9382080527373238,44.6000743019879
58,131.0439910888672,121.69499969482422,0.9286576109567437,47.274398122859864
59,131.04574584960938,121.80000305175781,0.9294464483535226,47.17167477028046
60,132.02700805664062,122.05999755859375,0.9245077909076683,48.18665869831908
61,133.21450805664062,122.27999877929688,0.9179180298237893,49.50960581554709
62,133.03900146484375,122.13999938964844,0.9180766395178076,49.42156511752482
63,133.4084930419922,122.06999969482422,0.9150092090194062,49.971654424846506
64,133.3780059814453,121.94999694824219,0.9143186393505319,50.052044574039726
65,131.9134979248047,121.54000091552734,0.9213613680747773,48.55916879885528
66,131.2060089111328,121.5199966430664,0.9261770680439885,47.659914967948154
67,131.52951049804688,121.77999877929688,0.9258758610000698,47.82024650401003
68,131.7209930419922,121.83999633789062,0.924985406836771,48.009046985772684
69,132.75900268554688,123.26000213623047,0.9284492926493599,47.93775298051007
70,132.47799682617188,122.95999908447266,0.9281541239320817,47.87263811759708
71,132.3979949951172,123.55000305175781,0.933171254264948,47.17868577788475
72,132.42098999023438,124.75,0.9420711928614935,46.00856679974514
73,132.05799865722656,125.54000091552734,0.9506429159310712,44.74692220089331
74,131.1999969482422,125.51000213623047,0.9566311360947943,43.66209798160533
75,131.6532440185547,126.09500122070312,0.9577811937769782,43.66601410876284
76,131.66400146484375,125.63999938964844,0.954247159374054,44.13499335781508
77,130.38800048828125,125.0,0.9586771752914065,43.11705288558089
78,129.87100219726562,124.5999984741211,0.9594135439477227,42.84530565033491
79,129.34201049804688,125.52999877929688,0.9705276599298913,41.227973249926336
