,nem,nue,Ratio,Spread
0,62.915000915527344,95.37000274658203,1.515854746225472,56.249285332817564
1,62.849998474121094,95.3499984741211,1.5171042289425367,56.11010970147966
2,63.06999969482422,95.4800033569336,1.513873534468545,56.51885032405956
3,61.64500045776367,92.8499984741211,1.5062048468591975,55.659274868634114
4,61.689998626708984,93.02999877929688,1.5080240047050202,55.58946741235572
5,61.63999938964844,95.7300033569336,1.5530500373919551,52.767023222096256
6,61.435001373291016,96.12999725341797,1.5647431448615654,51.865024111395584
7,61.119998931884766,97.0999984741211,1.58867801326918,50.123635582236304
8,60.709999084472656,95.77999877929688,1.5776643094002913,50.4396155070843
9,60.165000915527344,95.98999786376953,1.595445797441956,48.89500876439966
10,60.650001525878906,97.4800033569336,1.6072547552260092,48.59268713091775
11,60.65999984741211,96.7300033569336,1.5946258424044542,49.36717131682484
12,59.380001068115234,97.62999725341797,1.6441562057472159,45.33267849778902
13,59.18000030517578,99.80000305175781,1.686380576835338,42.672904907414605
14,59.27000045776367,99.19000244140625,1.6735279513299468,43.50330055710454
15,59.32500076293945,99.01000213623047,1.6689422817181383,43.81798723862842
16,59.130001068115234,97.9800033569336,1.657026916743411,44.37046498961608
17,59.529998779296875,99.7300033569336,1.6752898606075115,43.59999123214159
18,59.86000061035156,99.79499816894531,1.6671399457301008,44.34311467821847
19,60.2599983215332,102.77999877929688,1.7056090547976277,42.337640310392416
20,60.349998474121094,102.2300033569336,1.69395204542998,43.10803077209407
21,60.775001525878906,100.79989624023438,1.6585749684812805,45.57889794994564
22,60.720001220703125,101.16000366210938,1.6660079319566583,45.08410415172254
23,60.959999084472656,101.93000030517578,1.672080082611726,44.9018213858627
24,61.13999938964844,101.26000213623047,1.6561989392720655,46.01260963348476
25,61.16999816894531,101.38999938964844,1.657511891852924,45.9560742793317
26,61.07500076293945,106.63999938964844,1.7460499067952202,40.473441817811604
27,61.17499923706055,105.69999694824219,1.7278299675761641,41.65832348446331
28,61.16999816894531,105.77999877929688,1.7292790901700419,41.566074889683264
29,61.14500045776367,105.75060272216797,1.7295053059197525,41.534255811272644
30,61.165000915527344,106.16999816894531,1.7357965597936091,41.1638380778531
31,61.345001220703125,106.83000183105469,1.7414622170551197,40.944624494420495
32,61.29999923706055,107.45999908447266,1.7530179514179316,40.20442505056151
33,61.7400016784668,108.30000305175781,1.7541302252592885,40.44191209406115
34,62.154998779296875,110.0197982788086,1.7700876910877672,39.73837405916832
35,62.459999084472656,110.69000244140625,1.7721742565462735,39.81506367757608
36,62.5099983215332,110.47000122070312,1.7672373090217928,40.157504510901944
37,62.53499984741211,111.50499725341797,1.7830814348044233,39.18373295527029
38,62.31999969482422,112.18000030517578,1.8000641985640529,37.982231161845434
39,62.099998474121094,111.95999908447266,1.8028985802814423,37.66348687715616
40,61.47999954223633,113.83999633789062,1.8516590303434102,34.265217875820284
41,62.119998931884766,114.63999938964844,1.8454604211334968,35.03246428533821
42,61.7400016784668,114.01000213623047,1.8466148208090185,34.731913009588496
43,61.7599983215332,112.58999633789062,1.823024601647942,36.20088717974251
44,62.209999084472656,113.10990142822266,1.818194873699241,36.78295728610236
45,61.95000076293945,112.54499816894531,1.8167069698613056,36.71116895481531
46,61.810001373291016,112.23999786376953,1.815887321954826,36.673334608029975
47,61.20000076293945,111.19999694824219,1.816993391535723,36.219547961546525
48,61.369998931884766,110.75499725341797,1.8047091279298564,37.08084420759674
49,61.439998626708984,111.70999908447266,1.818196640322034,36.297259702522624
50,61.37929916381836,112.12999725341797,1.8268373666852804,35.72861889101584
51,61.11000061035156,111.90499877929688,1.8312059836625338,35.29415109115344
52,61.35649871826172,112.37000274658203,1.8314278861081266,35.432778991454754
53,60.93000030517578,111.2699966430664,1.8261939288651936,35.488363148707165
54,61.81999969482422,110.80999755859375,1.792461955768517,38.12781909911284
55,62.599998474121094,112.08999633789062,1.7905750650174337,38.757904433052815
56,62.665000915527344,110.82009887695312,1.768452840626924,40.18698179778916
57,63.13999938964844,112.0,1.7738359373244146,40.17027100697369
58,63.3218994140625,112.26499938964844,1.772925329601163,40.350713784739796
59,63.119998931884766,112.07499694824219,1.7755861667422816,40.046296345373705
60,63.369998931884766,111.13999938964844,1.7538267518216428,41.59350130862474
61,63.209999084472656,116.0250015258789,1.8355482234832068,36.31668680707536
62,63.20000076293945,114.87000274658203,1.8175633126565074,37.44720140046515
63,63.400001525878906,115.0250015258789,1.8142744283519847,37.78197041320284
64,63.29499816894531,114.79000091552734,1.8135714390753745,37.75983569303993
65,63.290000915527344,114.05999755859375,1.8021803746033866,38.4776016277918
66,63.244998931884766,115.12000274658203,1.820223016693651,37.3073942493625
67,63.560001373291016,115.56999969482422,1.818281894238421,37.62878460957647
68,63.22999954223633,118.58999633789062,1.875533721278536,33.80066970842147
69,62.9900016784668,118.68499755859375,1.884187877378107,33.117954610511745
70,63.33000183105469,117.80999755859375,1.8602557106010391,34.82555705450743
71,63.15999984741211,118.70999908447266,1.879512339633684,33.509249635858865
72,63.185001373291016,119.55000305175781,1.8920629968094436,32.730470145656895
73,63.02000045776367,120.16999816894531,1.9068549237711265,31.706415899425092
74,63.150001525878906,120.06999969482422,1.901345950809193,32.12476483960022
75,62.40999984741211,122.33000183105469,1.960102581800074,28.052624675304894
76,62.26089859008789,123.11000061035156,1.9773245070052847,26.907502320897617
77,61.82870101928711,122.33999633789062,1.9786926511641796,26.619128380882
78,61.43000030517578,121.93000030517578,1.984860812297645,26.05277429591241
79,61.18000030517578,121.94000244140625,1.993135041404866,25.43056475502463
