,spgi,blk,Ratio,Spread
0,418.0400085449219,763.469970703125,1.8263083798140431,38.223816880752906
1,416.5,764.6300048828125,1.8358463502588536,34.11044029829554
2,415.9100036621094,764.4299926757812,1.8379697192780533,33.17899047031608
3,416.6000061035156,768.9500122070312,1.8457753263113603,29.982219095668484
4,418.010009765625,771.6300048828125,1.84596059150703,30.00625271707861
5,418.05999755859375,775.3250122070312,1.854578330227265,26.407109191201926
6,417.5,773.22998046875,1.8520478574101797,27.428208878459145
7,415.739990234375,778.8200073242188,1.8733343570945773,18.46293356268211
8,417.70001220703125,776.9000244140625,1.859947334713017,24.14173717632991
9,417.760009765625,778.8350219726562,1.864312054209316,22.32179958570964
10,418.2300109863281,776.6300048828125,1.8569447062186086,25.428158774617145
11,418.0,777.405029296875,1.859820644250897,24.212032133384696
12,417.8800048828125,776.2650146484375,1.8576266047142602,25.12192684587535
13,418.760009765625,777.72998046875,1.8572212301361732,25.344585255716993
14,420.2099914550781,780.719970703125,1.857928146828909,25.135288947244135
15,419.2300109863281,782.260009765625,1.8659446825507346,21.715898057905747
16,418.4200134277344,776.9099731445312,1.8567705850874936,25.512566586450248
17,417.9200134277344,773.7000122070312,1.8513112254692665,27.763655440899697
18,415.9949951171875,772.5599975585938,1.8571377219116794,25.21197745464815
19,414.3999938964844,773.0900268554688,1.8655647640974238,21.623143871845514
20,410.1700134277344,765.47998046875,1.866250470315319,21.121169891897352
21,408.6000061035156,767.3800048828125,1.8780714474301863,16.21027309107842
22,410.1499938964844,772.1300048828125,1.8825552026649215,14.432753138572139
23,409.45001220703125,770.6300048828125,1.8821101035726844,14.590367337245766
24,407.3800048828125,769.2899780273438,1.8883842329194305,11.960649722907533
25,408.239990234375,773.22998046875,1.8940574146712827,9.669879172392598
26,406.7799987792969,767.6699829101562,1.8871871409947674,12.429986635452906
27,407.7300109863281,769.3200073242188,1.886836844467687,12.601842589149328
28,416.7099914550781,786.1950073242188,1.886671842398028,12.948147744796529
29,414.4800109863281,778.72998046875,1.8788119084817263,16.13664256580057
30,416.2149963378906,783.0050048828125,1.8812513046674448,15.188876187967935
31,416.2900085449219,781.4149780273438,1.8770928006623566,16.92275726585717
32,416.4800109863281,780.9249877929688,1.8750599481198253,17.777123573784024
33,414.5299987792969,781.0549926757812,1.8841941354686582,13.907494157111387
34,414.29998779296875,782.239990234375,1.888100442390722,12.281394371347687
35,415.45001220703125,777.4199829101562,1.8712720184558436,19.306854306508626
36,413.94500732421875,778.1199951171875,1.8797665906083316,15.720627765510017
37,411.9101867675781,772.969970703125,1.8765497808367537,16.968386928012364
38,414.7349853515625,775.75,1.8704715719664025,19.60559863598405
39,413.3699951171875,772.2899780273438,1.8682777829784307,20.44791854988273
40,413.06500244140625,766.635009765625,1.8559669912349281,25.517988886918374
41,411.8800048828125,764.2999877929688,1.8556375127033085,25.58048870473749
42,408.8599853515625,749.030029296875,1.8319964196369418,35.05882236326511
43,408.2099914550781,756.469970703125,1.8531392825703814,26.372358954030915
44,409.7799987792969,752.0499877929688,1.8352530382968126,33.80321425094371
45,411.5899963378906,748.7999877929688,1.819286169380679,40.52432650959406
46,410.0899963378906,740.5050048828125,1.8057134080214892,45.94269317059866
47,410.3399963378906,742.7100219726562,1.809986909882113,44.21711212228024
48,411.05999755859375,745.3800048828125,1.8133119479147657,42.92790735271308
49,414.7900085449219,738.530029296875,1.7804913669151026,56.93108974717427
50,413.94000244140625,737.260009765625,1.7810793965726595,56.57101503225692
51,410.114990234375,739.3099975585938,1.8026895265059402,47.1856323939885
52,413.04998779296875,744.2100219726562,1.801743236815379,47.91418242544012
53,413.9100036621094,744.3300170898438,1.7982895085992388,49.44347772405138
54,414.7099914550781,750.35498046875,1.8093486916869457,44.952686268063076
55,414.9800109863281,748.8599853515625,1.8045688118125631,46.96550976603862
56,413.07000732421875,742.0900268554688,1.7965236248029068,50.07256988189033
57,412.7200012207031,742.27001953125,1.7984832751885924,49.221355042992286
58,415.114990234375,742.6599731445312,1.7890463862199326,53.42437763855651
59,415.5899963378906,738.3800048828125,1.776703027958549,58.61528608415472
60,413.8800048828125,736.3200073242188,1.7790663927644996,57.395957505689694
61,414.739990234375,738.9400024414062,1.7816946034642611,56.42519427939351
62,413.06500244140625,736.0999755859375,1.7820439185969383,56.053023066605874
63,402.6499938964844,730.3699951171875,1.813907875793872,41.809681658438876
64,405.3900146484375,728.9600219726562,1.7981696530064395,48.47431361502424
65,406.4100036621094,732.6699829101562,1.8027853062379353,46.720430657980614
66,406.8699951171875,732.0800170898438,1.7992971363715051,48.19254240772557
67,407.489990234375,732.7899780273438,1.7983017879920602,48.67157348922308
68,406.989990234375,734.5999755859375,1.8049583361077268,45.90270384757878
69,405.7799987792969,728.1300048828125,1.794395995547433,50.052220496695554
70,405.9200134277344,733.0999755859375,1.8060207709281886,45.35076206878023
71,405.07501220703125,729.3599853515625,1.8005553622714976,47.470256141803475
72,403.625,724.7000122070312,1.795478506551951,49.34947683552514
73,402.82000732421875,725.8200073242188,1.8018469642199926,46.685711710604096
74,398.67999267578125,716.885009765625,1.7981464405930643,47.681220329583766
75,396.7449951171875,712.2000122070312,1.7951077416784227,48.655387608764386
76,397.510009765625,715.8800048828125,1.8009106369545282,46.44249731200614
77,394.1199951171875,714.10498046875,1.8118973645486276,41.71634091103033
78,394.7300109863281,718.5750122070312,1.82042153423171,38.41616354702262
79,393.75,714.030029296875,1.8134095982142857,41.08173610543304
80,397.1000061035156,714.030029296875,1.7981113531152713,47.50619076685325
