,aapl,msft,Ratio,Spread
0,170.15248107910156,320.7940979003906,1.8853330604756673,-27.058459742498258
1,168.77049255371094,316.9402160644531,1.877936191740315,-25.604420219501264
2,171.99179077148438,324.251708984375,1.8852743350709664,-27.3220839407129
3,174.62649536132812,330.1068420410156,1.890359428894084,-28.602015799486537
4,175.2628173828125,331.5830078125,1.8919187353256444,-28.97319952245323
5,179.28944396972656,339.2709655761719,1.8923086494342554,-29.668864163462388
6,178.25543212890625,338.0821228027344,1.8966161017648466,-30.275597346041366
7,178.3449249267578,338.775634765625,1.8995529864657064,-30.813703819637567
8,177.17173767089844,336.1700134277344,1.8974245996964807,-30.245338483433443
9,176.54537963867188,333.1979064941406,1.8873215893618003,-28.360910992302934
10,180.95974731445312,331.6424560546875,1.832686334814524,-19.139849631643074
11,178.6630859375,325.95574951171875,1.8244157588643954,-17.441327541472504
12,173.91064453125,313.4430236816406,1.8023222473039484,-13.181282371869202
13,171.0075225830078,310.9661865234375,1.8184357145604113,-15.745756891017834
14,171.17652893066406,311.1247253417969,1.8175665045049463,-15.610813833942416
15,171.19642639160156,311.3525695800781,1.8186861498374842,-15.80410585431406
16,174.0697479248047,312.0559997558594,1.7927066792252868,-11.5179731883091
17,174.51712036132812,315.3154296875,1.8067879474211854,-14.000534656075331
18,171.19642639160156,301.9704895019531,1.7638831362706937,-6.422025776189059
19,172.07135009765625,307.32037353515625,1.7860054759885458,-10.25259261405489
20,168.82020568847656,299.8404235839844,1.776093225104103,-8.41830018845775
21,165.2707977294922,300.51409912109375,1.8183133575295118,-15.255572057491008
22,163.56072998046875,298.8001708984375,1.8268454227009019,-16.511200286789688
23,161.4728546142578,293.2818908691406,1.8162922280017972,-14.618544896136541
24,160.68739318847656,293.6187744140625,1.8272670219353517,-16.31939314130051
25,158.85801696777344,285.8119201660156,1.799165856539658,-11.689276167168202
26,158.76853942871094,293.9555969238281,1.8514725775116037,-19.988331917175515
27,158.30125427246094,297.0565185546875,1.8765266258939888,-23.9007007269185
28,169.34715270996094,305.39837646484375,1.8033865440176386,-13.06120223090386
29,173.77145385742188,308.0931396484375,1.772979006674051,-8.073104881435654
30,173.6024627685547,305.89373779296875,1.762035704532508,-6.167158404302086
31,174.82534790039062,310.5500793457031,1.7763446952935207,-8.699942901874806
32,171.90231323242188,298.45343017578125,1.7361804187722298,-1.6791841243139634
33,171.61363220214844,303.09991455078125,1.7661762102543899,-6.826967127099351
34,170.8869171142578,298.15625,1.7447576153571067,-3.145253443008017
35,174.04263305664062,301.7326965332031,1.7336711771937334,-1.2417553116845856
36,175.48609924316406,308.32098388671875,1.7569538853302034,-5.323443537874823
37,171.34483337402344,299.5729675292969,1.7483630036008622,-3.766793012590313
38,167.88050842285156,292.30108642578125,1.7411258112796721,-2.5107604134955186
39,168.11944580078125,292.261474609375,1.7384156438137441,-2.056230514077925
40,172.01181030273438,297.6806640625,1.7305827055630258,-0.7162748241312902
41,171.7729034423828,297.33319091796875,1.7309667878886508,-0.7836667684121044
42,168.11944580078125,288.6266784667969,1.7167953242530594,1.5785656285002
43,166.5465545654297,285.8468933105469,1.716318263421347,1.6270032584145038
44,163.57998657226562,285.6384582519531,1.7461699578130547,-3.316048300579894
45,159.34912109375,278.2423400878906,1.7461178209084196,-3.2668869376465755
46,162.00709533691406,292.4587097167969,1.8052216114892519,-12.86764729175934
47,164.1075897216797,295.1590881347656,1.7985706123363603,-11.92048796969533
48,164.37635803222656,296.62835693359375,1.8045682510829126,-12.923036855747284
49,162.4650115966797,292.816162109375,1.802333679305011,-12.429921724622886
50,165.80987548828125,298.01824951171875,1.797349214780524,-11.823606415501729
51,165.4813690185547,293.7791442871094,1.7753004222135076,-8.154957248696235
52,162.4351348876953,287.762939453125,1.7715560100472048,-7.428580389436604
53,158.58258056640625,276.8921813964844,1.746044114098245,-3.247836542948733
54,156.73094177246094,273.85430908203125,1.7472893736554447,-3.4253607707614724
55,162.2161407470703,286.4128112792969,1.7656246163929874,-6.4587385894112685
56,157.8061065673828,283.5238342285156,1.7966594601169736,-11.22784728354361
57,154.0331573486328,278.0437927246094,1.8050905240830426,-12.29958462105202
58,149.941650390625,274.4400634765625,1.8303124099381107,-15.800814163268853
59,154.3915252685547,285.07257080078125,1.846426287355571,-18.706051815455965
60,158.87127685546875,292.26019287109375,1.839603726084319,-18.114522892673108
61,159.89662170410156,293.0841979980469,1.832960539594245,-17.158002416196155
62,163.2415008544922,298.2564697265625,1.8270872796766184,-16.521844936147204
63,164.63519287109375,296.9956970214844,1.8039623961447078,-12.84090664271696
64,168.05970764160156,301.8602294921875,1.7961487243326901,-11.758721541918192
65,169.44345092773438,297.3232727050781,1.7547050126586656,-4.8188752754115285
66,173.2860565185547,301.89996337890625,1.7422057460611677,-2.722827848041675
67,173.93313598632812,301.48297119140625,1.7333268297715512,-1.1821731567891338
68,174.80917358398438,308.45220947265625,1.7645081384957475,-6.630159954429303
69,178.154052734375,313.1281433105469,1.757625709348393,-5.497664583755352
70,176.9694061279297,311.5893249511719,1.7606959969449554,-6.0160015478844
71,173.82362365722656,306.0794677734375,1.7608623116557178,-5.968839422821418
72,173.5249786376953,307.18145751953125,1.7702434538885536,-7.589430402754999
73,177.63638305664062,312.6912841796875,1.7602885107156436,-5.959746054737877
74,174.2716064453125,308.63092041015625,1.7709765044657835,-7.7423637116808095
75,171.05613708496094,297.33319091796875,1.7382199550682473,-2.0283415261472446
76,171.36474609375,299.189697265625,1.74592326651565,-3.3489440339092202
