,v,adbe,Ratio,Spread
0,200.55999755859375,455.6549987792969,2.271913663372363,-98.69702165591261
1,198.57000732421875,453.20001220703125,2.282318555123286,-99.80158056995728
2,199.22500610351562,456.6099853515625,2.2919310897865492,-102.03994095573685
3,200.16000366210938,452.42999267578125,2.260341648671877,-96.18749467595646
4,199.47999572753906,448.70001220703125,2.249348414965332,-93.67386146979251
5,199.83999633789062,449.6300048828125,2.249950025632384,-93.95991201685857
6,200.2100067138672,451.8999938964844,2.257129907309395,-95.56805418276988
7,192.86000061035156,441.30999755859375,2.2882401543190025,-98.12519826707299
8,192.10000610351562,446.3999938964844,2.3237895872628753,-104.57461585723834
9,190.58999633789062,450.8800048828125,2.3657065614475505,-111.75561921662856
10,192.2100067138672,446.3500061035156,2.3221996280764565,-104.32786721122383
11,192.8300018310547,448.30999755859375,2.3248975434402284,-105.17885783665102
12,192.3000030517578,443.6499938964844,2.3070722145390468,-101.46687629545855
13,190.74000549316406,437.739990234375,2.294956367976319,-98.34727942652196
14,187.97999572753906,424.55999755859375,2.258538180700659,-90.1041855021501
15,189.9499969482422,427.3999938964844,2.250065810808846,-89.4203912042631
16,193.3800048828125,439.3399963378906,2.2718998099318948,-95.22505235071927
17,194.27000427246094,439.3900146484375,2.261749137721741,-93.68310641163404
18,193.02499389648438,434.8900146484375,2.253024366790866,-91.41008772423768
19,192.27999877929688,433.4649963378906,2.25434262060419,-91.31766088117647
20,191.55999755859375,431.5199890136719,2.252662322579535,-90.6605378143881
21,197.6300048828125,444.3299865722656,2.248292139828349,-92.61296089871345
22,196.00999450683594,440.9100036621094,2.249426131414602,-92.09073121466506
23,197.6699981689453,448.3800048828125,2.2683260435890196,-96.59144221441599
24,199.44500732421875,452.6700134277344,2.2696482579374466,-97.70644732581727
25,199.43499755859375,450.010009765625,2.256424475515701,-95.06434838275325
26,200.02999877929688,452.0899963378906,2.2601109788372504,-96.08004133542326
27,199.85000610351562,450.8900146484375,2.2561421109734243,-95.2020170634382
28,198.75,438.19000244140625,2.2047295720322326,-84.46961338686421
29,197.38499450683594,434.4800109863281,2.20118055109443,-83.20124152270179
30,199.0,436.64300537109375,2.194185956638662,-82.47543504088222
31,196.8800048828125,436.9493103027344,2.2193686482424493,-86.57382845619057
32,198.32000732421875,438.0050048828125,2.2085769902516716,-85.05375452140797
33,198.6381072998047,437.75,2.2037563987624162,-84.2297562271037
34,197.97500610351562,438.95001220703125,2.21719913460953,-86.6158741895529
35,198.64990234375,427.1199951171875,2.150114296950852,-73.57865325309902
36,198.50999450683594,425.1099853515625,2.1415041918049287,-71.81890014742359
37,197.72999572753906,422.0799865722656,2.1346280063337906,-70.18410476471311
38,198.8800048828125,424.55499267578125,2.1347293958784084,-70.60206062388178
39,199.3699951171875,423.8800048828125,2.126097282761433,-69.05061499861947
40,197.5399932861328,420.2099914550781,2.127214770360006,-68.65397178403904
41,196.7899932861328,416.260009765625,2.115249880416341,-66.04553392159428
42,202.34800720214844,419.19000244140625,2.071629012993588,-59.033767584765634
43,203.4499969482422,414.3999938964844,2.0368640949250443,-52.2726023181123
44,201.52499389648438,412.7900085449219,2.0483315769604054,-54.10591824796044
45,200.85000610351562,410.2099914550781,2.042369823198616,-52.73326876740098
46,200.30990600585938,408.3999938964844,2.038840724554771,-51.88936181144377
47,201.4199981689453,411.4200134277344,2.042597642576916,-52.92373162429599
48,200.42999267578125,411.5,2.0530859404143618,-54.77456587397311
49,202.9250030517578,416.7200012207031,2.0535665637733906,-55.5316794037253
50,202.9199981689453,418.1499938964844,2.0606642897184773,-56.97062443902926
51,202.52999877929688,420.385009765625,2.075667863029671,-59.90324200646305
52,203.63999938964844,417.4599914550781,2.0499901429301355,-54.99273774019262
53,202.97999572753906,414.0199890136719,2.039708334457809,-52.7333004170607
54,205.50999450683594,420.5199890136719,2.0462264622350714,-54.707828090788134
55,206.38999938964844,421.55999755859375,2.042540814987459,-54.173749811344216
56,212.64999389648438,438.07000732421875,2.0600518217624133,-59.48635025996638
57,212.8000030517578,436.4200134277344,2.050845898350796,-57.56803122181291
58,210.89999389648438,436.3500061035156,2.068990131491841,-60.89661796894948
59,210.11000061035156,435.2200012207031,2.071391175843255,-61.17969390798968
60,207.86500549316406,426.9750061035156,2.0540975865105744,-56.950377912304624
61,210.99000549316406,441.7900085449219,2.0938906917049946,-66.17561440784263
62,211.8699951171875,442.3599853515625,2.0878840588394247,-65.17153168389652
63,211.27000427246094,441.6400146484375,2.090405669130785,-65.52477966611079
64,209.9199981689453,439.6600036621094,2.0944169564457953,-65.95955848590935
65,210.36500549316406,437.94000244140625,2.0818101443000576,-63.44356149350066
66,211.27999877929688,440.8800048828125,2.0867096148715705,-64.74689247521948
67,211.3699951171875,440.0,2.0816578046285885,-63.705908883672954
68,212.1199951171875,441.010009765625,2.0790591170907073,-63.37437482228959
69,213.4499969482422,444.2699890136719,2.0813773500376267,-64.25534640852143
70,214.1649932861328,442.2799987792969,2.0651367527109974,-60.98642427623876
71,214.47500610351562,450.7300109863281,2.101550288655942,-68.8819087746655
72,215.6699981689453,446.6000061035156,2.070756293852569,-62.61439158691807
73,217.25999450683594,447.05999755859375,2.0577189029825154,-60.230316679245426
74,217.30499267578125,446.80499267578125,2.05611931495018,-59.89482244206588
75,218.1999969482422,446.0,2.0439963622263146,-57.48891315712982
76,219.08999633789062,453.3299865722656,2.0691496378187866,-63.22693547976335
77,215.0500030517578,447.8500061035156,2.0825389432602237,-64.97339241656906
78,217.47999572753906,456.9200134277344,2.1009749052973494,-69.69681084229458
79,217.02999877929688,455.5733947753906,2.0991263757904473,-69.15511302740006
80,215.74000549316406,447.05950927734375,2.0722142296019794,-62.948670902544826
81,216.72000122070312,454.0849914550781,2.095261115251875,-68.22121012191306
82,216.32000732421875,451.8900146484375,2.0889885324899615,-66.74171243883191
83,217.1199951171875,453.5899963378906,2.0891212534021646,-67.01073588116603
84,219.07000732421875,460.44000244140625,2.1017938880148264,-70.37270619943664
85,218.47000122070312,470.9750061035156,2.155787995935087,-81.98095584066434
86,217.5399932861328,467.1400146484375,2.147375328976879,-79.8094929238417
87,217.63490295410156,466.75,2.144646808322082,-79.24971096982168
88,217.77000427246094,466.2699890136719,2.1411120901219363,-78.52804086393925
89,217.98500061035156,465.42498779296875,2.1351239144427026,-77.29847029666738
90,218.5,466.8599853515625,2.136658971860698,-77.81227551913318
91,215.86000061035156,430.8550109863281,1.9959928183455518,-46.529534333217136
92,216.5800018310547,421.69000244140625,1.9470403494148532,-36.076641530864926
93,215.88999938964844,420.1499938964844,1.946129950828236,-35.770857673795355
94,214.72999572753906,421.6499938964844,1.963628753718677,-39.345785343408615
95,214.97000122070312,417.67999267578125,1.9429687412382808,-34.94648027230236
96,215.2550048828125,420.32000732421875,1.9526607873905009,-37.07670171596974
97,214.58999633789062,422.8999938964844,1.9707348949789418,-40.84620576603235
98,214.48399353027344,424.1549987792969,1.9775601516829708,-42.290820531784085
99,216.22500610351562,430.385009765625,1.9904497519569144,-45.40663862427616
100,215.72500610351562,427.94970703125,1.9837742260899434,-43.86569844124009
101,215.64500427246094,426.5,1.9777875283451045,-42.559092693457764
102,216.39999389648438,426.4100036621094,1.9704714218526456,-41.11862746281512
103,217.4600067138672,429.5249938964844,1.9751907506452497,-42.33754616157726
104,217.19000244140625,432.17999267578125,1.9898705641037746,-45.47550836085524
105,218.29249572753906,432.5,1.981286615275237,-43.82345826863449
106,216.02999877929688,428.0199890136719,1.9812988540121723,-43.39043236835912
107,217.72000122070312,430.8399963378906,1.9788719177029004,-43.18748990204771
108,217.5800018310547,428.885009765625,1.9711600613858036,-41.48292375240582
109,217.6199951171875,430.8800048828125,1.9799651436017418,-43.40638187474898
110,217.25,428.5150146484375,1.9724511606372268,-41.70321119435548
111,218.30999755859375,431.6600036621094,1.9772800535452029,-42.952155966193494
112,218.72000122070312,437.1199951171875,1.9985369087306477,-47.678763578666725
113,219.0399932861328,439.2099914550781,2.0051588975413104,-49.19638207646555
114,217.73500061035156,437.32000732421875,2.0084965949357234,-49.64067110358682
115,218.86500549316406,441.0,2.0149406663084566,-51.29939567933284
116,218.86000061035156,443.1000061035156,2.024581946759613,-53.40835414237112
