,nem,dow,Ratio,Spread
0,72.2699966430664,58.58000183105469,0.8105715310929776,15.56842322595754
1,72.83999633789062,58.2599983215332,0.7998352725235784,16.481447384348453
2,73.31999969482422,58.32979965209961,0.7955510078407325,16.91103562323796
3,73.51000213623047,58.525001525878906,0.7961501812694686,16.913509944924453
4,74.38500213623047,58.55500030517578,0.7871882587021609,17.793850368389382
5,74.5250015258789,58.70000076293945,0.7876551433891055,17.79450354806536
6,74.30000305175781,58.79999923706055,0.7913862290974621,17.460419437882532
7,76.36000061035156,58.779998779296875,0.7697747290395975,19.623615935853632
8,76.52999877929688,58.869998931884766,0.7692408189063039,19.71047978050991
9,75.55000305175781,57.77000045776367,0.7646591412866864,19.79090279255342
10,77.04000091552734,58.10499954223633,0.7542185728417523,21.006079099418766
11,77.29000091552734,57.94499969482422,0.749708875772354,21.426175861905673
12,77.62000274658203,58.20500183105469,0.7498711642807526,21.509503558580644
13,77.81999969482422,57.970001220703125,0.7449242026218961,21.95257852598088
14,80.1500015258789,58.060001373291016,0.724391768782993,24.286683526896848
15,78.98999786376953,58.20000076293945,0.736802156436494,22.939830641287923
16,78.20999908447266,58.970001220703125,0.7539956771641323,21.35832907849534
17,77.49500274658203,58.66999816894531,0.7570810515460366,20.91445876315262
18,77.68000030517578,58.349998474121094,0.7511585767879208,21.42692763512326
19,77.7699966430664,58.20500183105469,0.748424898334414,21.66555535760318
20,77.5999984741211,57.83000183105469,0.745231997012738,21.863691360359024
21,74.29000091552734,59.439998626708984,0.8001076577492064,16.810013949123285
22,75.56999969482422,60.060001373291016,0.7947598467094412,17.52170613771977
23,75.23999786376953,60.810001373291016,0.808213757307574,16.428376304814332
24,74.51000213623047,60.38999938964844,0.8104952041101046,16.088899741454124
25,74.91999816894531,60.06999969482422,0.8017885900019084,16.8354542494865
26,75.72000122070312,60.22999954223633,0.7954305146758032,17.50776770532492
27,75.95999908447266,59.79999923706055,0.7872564502082063,18.187458826464702
28,77.58499908447266,60.459999084472656,0.7792743416629455,19.218088927038803
29,77.37000274658203,59.91999816894531,0.7744603340031857,19.53441030561522
30,76.87999725341797,60.20500183105469,0.7831035897751423,18.739610974939122
31,76.81999969482422,60.189998626708984,0.7835199019242421,18.692193459675817
32,77.01000213623047,60.369998931884766,0.7839241300771608,18.70986934996581
33,77.30999755859375,60.46500015258789,0.7821110084340783,18.926979664835695
34,77.27999877929688,60.65999984741211,0.7849378986230364,18.700769610206972
35,76.13500213623047,61.78499984741211,0.8115189875066726,16.384529231676662
36,76.76000213623047,61.81999969482422,0.8053673524540639,16.99977167195156
37,77.0,61.5,0.7987012987012987,17.569462182739766
38,77.23999786376953,61.54999923706055,0.7968669204991189,17.769153761643206
39,77.54000091552734,61.76499938964844,0.7965565986636457,17.86627308215625
40,77.27999877929688,61.23500061035156,0.7923783848034464,18.12576884726752
41,76.88999938964844,60.91999816894531,0.7923006717717163,18.035020736159307
42,74.1500015258789,60.970001220703125,0.822252191045797,15.134357717689491
43,74.12000274658203,61.040000915527344,0.8235293936000582,15.033147663060754
44,73.87000274658203,61.099998474121094,0.8271286882678259,14.713053189392207
45,73.5199966430664,60.80500030517578,0.8270539048087706,14.64390932721046
46,72.99500274658203,60.06999969482422,0.8229330424627866,14.832712765927278
47,72.8499984741211,60.334999084472656,0.8282086526865995,14.416852720519822
48,73.73999786376953,60.279998779296875,0.8174667822836225,15.39779740835966
49,73.18000030517578,58.31999969482422,0.7969390468928358,16.7751819430737
50,73.54000091552734,58.08000183105469,0.7897742875713181,17.389719999553176
51,74.08000183105469,58.810001373291016,0.7938714891963945,17.22153074638177
52,73.3499984741211,58.459999084472656,0.7970006857614068,16.812046550669418
53,73.48999786376953,58.150001525878906,0.7912641613308139,17.267697746702833
54,73.19999694824219,59.08000183105469,0.8071038837997304,16.035984067536926
55,73.43000030517578,58.880001068115234,0.8018521152581968,16.475277484857482
56,71.54000091552734,59.939998626708984,0.8378529194804547,13.448947883300457
57,72.36000061035156,59.97999954223633,0.8289109872347873,14.262064531717352
58,72.41000366210938,59.81999969482422,0.8261289417131567,14.474086937155585
59,72.48999786376953,59.720001220703125,0.823837811844538,14.657310391579395
60,71.7300033569336,58.959999084472656,0.8219712299619382,14.626623621002574
61,72.38999938964844,59.334999084472656,0.8196574055083828,14.938275349285528
62,72.62000274658203,59.650001525878906,0.8213990535642939,14.86256556226038
63,73.52999877929688,60.779998779296875,0.8266013843102376,14.679316952200177
64,73.80000305175781,61.599998474121094,0.8346882916917965,14.140226370672375
65,74.31999969482422,62.02000045776367,0.8344994713728835,14.2612224778731
66,74.06500244140625,62.279998779296875,0.8408829639689456,13.735928160473657
67,73.62000274658203,62.350101470947266,0.8469179454607125,13.202853277491238
68,73.52999877929688,62.57500076293945,0.8510132163983944,12.884314968557598
69,73.31999969482422,62.849998474121094,0.8572012920856269,12.390836801216475
70,74.08499908447266,62.54999923706055,0.8443004658168416,13.48673196340368
71,73.93000030517578,62.040000915527344,0.8391721988290587,13.83547146759498
72,73.98999786376953,62.13999938964844,0.8398432380557799,13.797893713082894
73,74.0999984741211,62.45000076293945,0.8427800546412924,13.602335617427025
74,74.08999633789062,62.18000030517578,0.8392496069456018,13.861929976079887
75,73.68000030517578,62.345001220703125,0.8461590792952751,13.270374247344387
76,73.94999694824219,62.38999938964844,0.8436781874827578,13.50627725416758
77,76.77999877929688,63.09000015258789,0.8216983739989276,15.75057547488158
78,75.93000030517578,62.88999938964844,0.8282628623321832,15.066248314072292
79,76.16999816894531,63.439998626708984,0.8328738368353227,14.765939892975746
