,nvda,asml,Ratio,Spread
0,284.3450012207031,701.5349731445312,2.467196434376609,208.67987641246634
1,282.8736877441406,701.1400146484375,2.4786328493112406,204.36502334524357
2,282.8399963378906,700.72998046875,2.4774783960597753,204.6672081935219
3,282.8299865722656,702.8400268554688,2.485026553844165,202.52511961413802
4,284.260009765625,704.27001953125,2.477555742406141,205.67276445692994
5,287.4200134277344,712.2899780273438,2.4782198342163597,207.76827219220468
6,286.5899963378906,709.1699829101562,2.474510596922728,208.2313052480987
7,283.82000732421875,701.75,2.472517729161931,206.78429516548238
8,278.8800048828125,692.4500122070312,2.4829675849224255,200.27087474057384
9,280.2749938964844,692.8800048828125,2.472143501816355,204.30637190903803
10,280.385009765625,692.0900268554688,2.4683560202950567,205.44852098686204
11,278.20001220703125,688.0750122070312,2.473310503289909,202.46915481080907
12,276.1700134277344,682.0999755859375,2.469855315281806,201.9459761456618
13,276.9200134277344,684.5599975585938,2.4720495607560626,201.88677407220212
14,279.3900146484375,681.640380859375,2.439744962671976,212.71309488035956
15,280.92999267578125,679.4400024414062,2.4185384976873645,219.84308648815818
16,277.8796081542969,675.3009033203125,2.4301923692987986,214.21762046341053
17,276.6700134277344,675.1400146484375,2.4402355943239313,210.50648368262614
18,278.4642028808594,674.5499877929688,2.422393904905523,216.8398781940832
19,277.2300109863281,671.3699951171875,2.4217074938192633,216.06910759010736
20,272.739990234375,667.5800170898438,2.4476792586087903,205.4861107253247
21,267.36981201171875,671.4000244140625,2.51112875968449,184.47566241552545
22,266.75,670.1799926757812,2.512389850705834,183.71161813847948
23,266.09991455078125,665.9849853515625,2.5027628681348904,185.8256413524814
24,263.3100891113281,665.5349731445312,2.527571105956147,177.3451623190807
25,264.5299987792969,666.3599853515625,2.5190337142348875,180.42519465349176
26,263.9731140136719,662.3300170898438,2.5090813493056716,182.6725228793813
27,267.1499938964844,668.22998046875,2.5013288255124446,186.94204808715983
28,272.2267150878906,676.5,2.4850610263639497,194.92308623457814
29,273.135009765625,679.2899780273438,2.487011747817452,195.04064412275318
30,274.2300109863281,679.9450073242188,2.4794697155087,197.89081578628964
31,272.5058898925781,677.9500122070312,2.4878361802538627,194.3667385961444
32,271.9599914550781,675.3900146484375,2.483416810814238,195.17926437915094
33,273.85009765625,678.4349975585938,2.4773954925157575,198.18468757481924
34,273.7132873535156,680.760009765625,2.487128105280422,195.42173283816157
35,264.8800048828125,655.6599731445312,2.4753094271294906,192.24560901807047
36,263.19000244140625,651.3099975585938,2.474676057285247,191.18572928264928
37,261.3999938964844,647.0499877929688,2.4753251832484877,189.71575486910046
38,262.3800048828125,649.7550048828125,2.476389179019241,190.1478442824672
39,261.010009765625,649.3599853515625,2.487873878609705,186.15738176152252
40,259.2294006347656,647.5900268554688,2.498134954097562,182.2274444788718
41,259.32000732421875,646.4600219726562,2.492904533834946,183.6474898190702
42,244.71780395507812,623.0999755859375,2.5461979697248243,160.26452231145754
43,244.2899932861328,624.8699951171875,2.5579025432502576,157.12504095741747
44,241.19500732421875,625.510009765625,2.5933787631217546,146.57768779551668
45,242.64500427246094,629.5,2.5943249970774085,147.2292729306273
46,241.89999389648438,627.6099853515625,2.5945018651804266,146.73443993139483
47,244.65960693359375,630.75,2.578071664159912,152.42820380772343
48,243.88999938964844,628.2000122070312,2.5757514198169056,152.5146061259245
49,245.07000732421875,626.9967041015625,2.558439161721118,157.49522960542834
50,240.69000244140625,617.94873046875,2.567405061284936,152.52239939659478
51,237.32000732421875,616.4600219726562,2.597589764652539,143.22343944263628
52,239.39999389648438,623.1452026367188,2.6029457749533793,143.19648964891655
53,240.50999450683594,623.4600219726562,2.5922416374049515,146.43488571758223
54,243.59959411621094,626.989990234375,2.573854823154036,152.7950137528469
55,242.02000427246094,624.6099853515625,2.5808196608755942,150.11860432973435
56,233.77000427246094,617.8599853515625,2.6430250847385937,130.4595854385716
57,232.9250030517578,617.0800170898438,2.649264823462184,128.534626039611
58,234.68829345703125,621.5900268554688,2.6485770453193687,129.6690731980433
59,232.43150329589844,616.4099731445312,2.652006997346683,127.624931272769
60,231.2220001220703,612.77001953125,2.650137180751602,127.39315250222626
61,231.89999389648438,613.4849853515625,2.6454721927479232,128.84850794210672
62,231.11000061035156,610.9299926757812,2.6434597856533313,128.8746584824488
63,218.6300048828125,600.8900146484375,2.7484334319551404,98.9650070637066
64,218.42999267578125,599.7473754882812,2.745718974493099,99.46738850823237
65,217.0,600.39501953125,2.766797325028802,94.24220463630229
66,219.6508026123047,602.6500244140625,2.743673217883805,100.472665967441
67,218.4600067138672,603.9896850585938,2.764760901292485,95.32115667110918
68,219.6699981689453,602.1901245117188,2.7413398713127055,100.99401263559673
69,219.24000549316406,597.739990234375,2.726418423908554,104.06770028290794
70,221.5,612.77001953125,2.7664560701185104,96.2721240314819
71,219.9398956298828,610.6900024414062,2.776622225324149,93.35810163252438
72,217.33990478515625,605.0999755859375,2.7841181589919617,90.62531547766184
73,217.1125946044922,606.1300048828125,2.7917772618718053,88.8676451074158
74,213.602294921875,594.8800048828125,2.7849888274860986,88.88084866718793
75,213.5399932861328,592.4199829101562,2.7742811723157796,91.14143729738771
76,215.02000427246094,594.2100219726562,2.763510418406036,94.08905133756264
77,220.74000549316406,609.4284057617188,2.7608425776749006,97.18092455395742
78,222.1199951171875,615.4000244140625,2.7705746350722986,95.62678130166739
79,220.5,615.4949951171875,2.7913605220734126,90.3460552466156
80,220.68499755859375,612.6749877929688,2.7762421305068474,93.75825699746724
81,220.76499938964844,611.3400268554688,2.7691890858861123,95.3493112522583
