,abbv,unh,Ratio,Spread
0,131.02999877929688,487.4049987792969,3.7197970183932285,-38.514398593514755
1,131.69000244140625,490.1199951171875,3.7217707193472034,-38.95092501838204
2,132.27999877929688,493.3399963378906,3.7295131606480116,-40.1341361697977
3,132.25,493.95001220703125,3.73497173691517,-40.847714064392704
4,132.14500427246094,493.6400146484375,3.73559346693602,-40.900183594889285
5,131.82000732421875,493.260009765625,3.741920667265813,-41.642135772174896
6,132.05999755859375,494.1300048828125,3.7417084205500744,-41.683634685727355
7,133.10000610351562,494.57000732421875,3.71577749545389,-38.53331132300346
8,133.3249969482422,494.3550109863281,3.7078944106650957,-37.54159979420493
9,133.32000732421875,495.4599914550781,3.716321363905847,-38.663805482855054
10,133.13999938964844,496.24200439453125,3.727219518322409,-40.06724325154792
11,133.75,497.1449890136719,3.716971880476051,-38.864378892260305
12,133.60000610351562,497.239990234375,3.7218560442961715,-39.47719024023533
13,133.1199951171875,495.3900146484375,3.721379453269498,-39.28431241459489
14,134.2353973388672,498.239990234375,3.711688571804988,-38.28368754341645
15,133.9600067138672,497.5400085449219,3.7140936369736526,-38.53441156881618
16,134.14999389648438,497.5058898925781,3.708579295773014,-37.84441764743249
17,134.27999877929688,497.7200012207031,3.7065833016483536,-37.60972508091285
18,134.29220581054688,498.3500061035156,3.7109376757617962,-38.19758875296057
19,134.3000030517578,498.4410095214844,3.7113998376410344,-38.261674472553324
20,134.44000244140625,499.5400085449219,3.7157096063178012,-38.87736648503258
21,134.72000122070312,502.7099914550781,3.7315171236639215,-41.08073537327229
22,134.7696075439453,503.7300109863281,3.737712234726759,-41.92950355927698
23,134.02999877929688,502.1600036621094,3.7466239516199726,-42.912779518781264
24,133.77999877929688,502.57000732421875,3.756690177231441,-44.1858351773528
25,134.30499267578125,503.6700134277344,3.7501957551467813,-43.473453158903254
26,134.36000061035156,502.94500732421875,3.743264401901693,-42.55854822437894
27,134.38999938964844,503.1400146484375,3.74387987896064,-42.64999352314331
28,135.41000366210938,504.4750061035156,3.7255372015374855,-40.46371808323201
29,135.468505859375,502.5299987792969,3.709570690186509,-38.31674900642318
30,135.42999267578125,504.8399963378906,3.727682372002154,-40.75970208497975
31,135.6999969482422,505.1600036621094,3.7226235447505887,-40.14759850359556
32,135.5,505.6300048828125,3.7315867519026753,-41.308030786165745
33,135.5850067138672,506.8599853515625,3.7383188424455973,-42.244550398452674
34,135.3800048828125,505.57000732421875,3.7344510938808853,-41.662281329389515
35,136.24000549316406,506.7250061035156,3.719355443867337,-39.84837913379599
36,136.35000610351562,506.7900085449219,3.7168315794586158,-39.533636589698375
37,136.22999572753906,505.3399963378906,3.7094620288220086,-38.49792516099811
38,136.63999938964844,505.760009765625,3.7014052402282163,-37.5025206721713
39,136.5283966064453,506.29998779296875,3.708385950304693,-38.42777471893183
40,136.4156036376953,505.8999938964844,3.708519996290883,-38.41716560991378
41,135.94000244140625,504.5299987792969,3.7114167258954014,-38.68904474063456
42,135.64999389648438,504.92999267578125,3.7223001503494166,-40.090208451862594
43,135.65640258789062,503.9599914550781,3.7149738740017577,-39.098083095507974
44,135.72000122070312,503.4800109863281,3.7096964814168145,-38.39854691867359
45,135.80999755859375,505.43499755859375,3.721633212904884,-40.04284741457607
46,135.77999877929688,505.835205078125,3.725402928455855,-40.5466169595617
47,135.80999755859375,505.42999267578125,3.721596360810764,-40.03784253176357
48,135.41000366210938,502.0899963378906,3.7079239550924417,-38.07870831760701
49,134.7899932861328,495.92999267578125,3.6792790071813326,-34.059109426753
50,133.92999267578125,495.1300048828125,3.6969314713652452,-36.22802260867465
51,134.2100067138672,497.8699951171875,3.70963393347141,-38.001346144619646
52,134.25,496.9949951171875,3.7020111368133146,-36.98828100285161
53,134.6750030517578,498.8999938964844,3.704473603796756,-37.42608085286011
54,134.93429565429688,500.1400146484375,3.706544820375404,-37.7709696116564
55,135.4199981689453,502.2799987792969,3.709053356747721,-38.23420764269966
56,134.88999938964844,498.739990234375,3.697382997190885,-36.523865116156486
57,135.9499969482422,498.2550048828125,3.6649872458070316,-32.379547727836524
58,135.6199951171875,494.760009765625,3.648134696790906,-30.023787567160724
59,135.11090087890625,491.4100036621094,3.637086278497527,-28.431280658589145
60,135.49000549316406,492.7200012207031,3.636578206837275,-28.432530240370028
61,135.47999572753906,492.57000732421875,3.6357397612767555,-28.317092136712716
