,ba,lmt,Ratio,Spread
0,201.27000427246094,343.7099914550781,1.7077059877724996,186.63853333905652
1,200.72999572753906,343.4200134277344,1.7108554811801804,185.4984782657572
2,201.94000244140625,343.0899963378906,1.6989699524116806,189.0327958599212
3,202.60000610351562,343.17999267578125,1.6938794784657523,190.6905997971143
4,201.25,342.94000244140625,1.704049701572205,187.3555476877116
5,201.58999633789062,342.5899963378906,1.6994394690283439,188.6059210573625
6,201.74000549316406,343.03851318359375,1.700399047501848,188.55465358754023
7,203.27999877929688,347.4100036621094,1.7090220668453264,188.26132334305683
8,204.02000427246094,347.8450012207031,1.704955366808881,189.7859843117839
9,204.07000732421875,347.6167907714844,1.703419308547404,190.1466112196296
10,204.9499969482422,347.260009765625,1.6943645520195914,192.83375218443737
11,204.60499572753906,347.6050109863281,1.6989077404992305,191.57512992938737
12,204.0800018310547,346.94000244140625,1.7000195968668042,190.8498666783012
13,204.1999969482422,346.8999938964844,1.6988246771835742,191.2076423976637
14,201.40499877929688,349.00390625,1.7328462965928895,181.70210661538047
15,202.16000366210938,349.1099853515625,1.726899381813752,183.59540693794386
16,201.97999572753906,350.7178039550781,1.7363987096433993,181.51089716493723
17,202.32839965820312,350.0,1.7298609616408822,183.15133310043316
18,202.9600067138672,349.97918701171875,1.724375125317763,184.84474739232886
19,202.8101043701172,349.69000244140625,1.7242237684728046,184.73696544157
20,203.19000244140625,350.2799987792969,1.723903708698989,185.15300284503874
21,208.35809326171875,355.1382141113281,1.7044608565564034,193.98075787343126
22,206.6199951171875,354.57000732421875,1.7160488612107423,189.9461895707399
23,206.35960388183594,353.4599914550781,1.7128351906387342,190.36664582240465
24,206.8616943359375,353.3900146484375,1.7083395540333446,191.7662422723529
25,205.7100067138672,352.8500061035156,1.7152787642183744,189.25638903888446
26,206.3000946044922,353.54998779296875,1.7137655146051989,190.11905894785085
27,206.19000244140625,353.760009765625,1.7156991395164964,189.6174944823678
28,203.12620544433594,353.1099853515625,1.7383773038005559,182.15407113590427
29,204.47999572753906,353.69000244140625,1.7297046646689254,185.1591175316568
30,204.01499938964844,353.8299865722656,1.7343331991805435,183.7877451920098
31,204.3800048828125,353.94000244140625,1.731774116770124,184.64432502223283
32,204.18499755859375,354.4200134277344,1.7357789145406168,183.64790196960863
33,203.72000122070312,355.3999938964844,1.7445513045695324,181.436533292071
34,203.66000366210938,354.2699890136719,1.739516756571596,182.40765458766307
35,203.97000122070312,355.760009765625,1.7441781028411107,181.73855930823507
36,203.76499938964844,354.3500061035156,1.7390131139544327,182.605683775455
37,202.92999267578125,354.1400146484375,1.7451339251474898,180.60443755417
38,203.66000366210938,354.48150634765625,1.740555337197055,182.1961372536787
39,204.0399932861328,355.25,1.7410802376464491,182.43391978967387
40,203.6999969482422,354.9549865722656,1.7425380063331841,181.82856595127296
41,202.72000122070312,353.6000061035156,1.7442778412306148,180.58835354382066
42,201.22000122070312,353.2799987792969,1.7556902725182402,176.93610955621082
43,200.92999267578125,352.260009765625,1.7531479749468186,177.18810735454443
44,200.36000061035156,352.5899963378906,1.7597823680565219,175.34868629585552
45,200.52999877929688,354.3999938964844,1.7673165913023152,173.98887237032935
46,201.3874053955078,355.7449951171875,1.7664709191646542,174.91442752030255
47,202.01499938964844,356.5899963378906,1.7651659402285098,175.7314003439466
48,201.32000732421875,355.3399963378906,1.7650505832022354,175.14094491487097
49,210.0399932861328,356.3399963378906,1.696534030318962,197.2329286990977
50,208.55999755859375,354.1401062011719,1.69802507837908,195.51354218900454
51,208.3699951171875,353.8290100097656,1.6980804256907134,195.32148008232642
52,208.63499450683594,354.2300109863281,1.6978456170483027,195.6222418878738
53,208.72000122070312,355.239990234375,1.7019930440626043,194.83737466027563
54,208.9199981689453,354.8800048828125,1.6986406662507967,195.72698543851598
