,noc,lmt,Ratio,Spread
0,454.1400146484375,453.3500061035156,0.9982604295604002,-32.17508020319521
1,460.5400085449219,452.32000732421875,0.9821513851822032,-25.196551459698195
2,466.54998779296875,458.67498779296875,0.9831207797534129,-25.965504469755455
3,472.3999938964844,458.6499938964844,0.9708933103775336,-20.503171544458564
4,469.9100036621094,462.1050109863281,0.9833904521824279,-26.27253170389208
5,467.689697265625,458.1099853515625,0.9795169490154031,-24.341189151144317
6,468.32000732421875,458.1499938964844,0.9782840509295311,-23.79535053262732
7,488.6050109863281,478.7598876953125,0.9798505478461188,-25.55117133394044
8,483.1000061035156,479.25,0.9920306229458199,-31.157958283656352
9,475.30999755859375,467.2799987792969,0.9831057650364129,-26.428448225967838
10,478.1000061035156,468.375,0.9796590546342515,-24.93025175019211
11,481.1400146484375,469.1000061035156,0.9749760814350074,-22.829695483902082
12,480.7099914550781,465.54998779296875,0.968463306501658,-19.679365968746776
13,477.95001220703125,465.94439697265625,0.9748810232707462,-22.639061853878797
14,469.44500732421875,461.3500061035156,0.9827562310932996,-25.949721709688003
15,472.6300048828125,467.2900085449219,0.9887015291396604,-28.92940048209722
16,460.04998779296875,458.56658935546875,0.9967755711838698,-31.89858753875195
17,453.82501220703125,453.9800109863281,1.0003415386440317,-33.09786684358569
18,457.0799865722656,455.0899963378906,0.9956462976003427,-31.18248797488918
19,449.5249938964844,450.75,1.0027251123300114,-33.86454525737527
20,449.2200012207031,448.6404113769531,0.9987097862023618,-32.038434728228324
21,452.8651123046875,448.70001220703125,0.9908027799349357,-28.71005537322692
22,453.42999267578125,453.3399963378906,0.999801520985942,-32.82500653249464
23,451.9849853515625,453.239990234375,1.0027766517107561,-34.06807504836662
24,445.54998779296875,447.864990234375,1.0051958310062439,-34.67413947061188
25,443.8973083496094,448.1700134277344,1.0096254358784258,-36.515259939851674
26,451.8900146484375,452.7250061035156,1.0018477758481292,-33.64136226313629
27,449.9200134277344,448.8999938964844,0.9977328869558859,-31.64738481651325
28,453.8328857421875,450.010009765625,0.9915764676896196,-29.120547497184543
29,445.864990234375,449.4700012207031,1.008085431835393,-35.98636869936202
30,451.6499938964844,452.07000732421875,1.000929953356383,-33.20945285831637
31,447.1400146484375,450.69000244140625,1.0079393202949192,-36.02128739423587
32,445.2049865722656,447.5,1.005154958944652,-34.62981362002098
33,443.6300048828125,444.489990234375,1.0019385193564392,-33.08368427745775
34,444.6300048828125,444.45001220703125,0.9995951854939958,-32.11424755680686
35,443.82000732421875,445.6400146484375,1.0041007780050104,-34.057109270605636
36,444.1499938964844,445.57000732421875,1.0031971483671016,-33.68039305812
37,442.875,441.80999755859375,0.9975952527430849,-31.10543745349595
38,443.95001220703125,443.1400146484375,0.9981754757600592,-31.436275102103206
39,443.6300048828125,441.8346862792969,0.9959531172739547,-30.42838032237962
40,440.760009765625,442.7300109863281,1.0044695552614917,-33.991246940829924
41,436.0,438.92999267578125,1.0067201666875716,-34.61546108717012
42,441.68499755859375,447.989990234375,1.0142748626524152,-38.391488243498955
43,438.7550048828125,444.0199890136719,1.0119998269473087,-37.14479418662701
44,436.30999755859375,443.9903869628906,1.0176030561923244,-39.387725448540564
45,438.70001220703125,444.79998779296875,1.0139046624486046,-37.975906386497016
46,435.45001220703125,440.42999267578125,1.0114363998832139,-36.626652022557735
47,437.8550109863281,441.8599853515625,1.0091468049120018,-35.82129767552841
48,441.44000244140625,444.45001220703125,1.0068186157778587,-35.07922305764295
49,441.8699951171875,446.1700134277344,1.0097314105009698,-36.39956384778277
50,437.6300048828125,443.7250061035156,1.0139272928105907,-37.89545230644133
51,441.9800109863281,447.1549987792969,1.0117086466906504,-37.2822939933708
52,442.3599853515625,445.7300109863281,1.0076182876986202,-35.50413572340109
53,445.7200012207031,448.010009765625,1.0051377738011535,-34.66113854347522
54,447.05999755859375,448.6700134277344,1.0036013418286873,-34.0756709603324
55,447.8999938964844,448.7099914550781,1.0018084339576503,-33.33490708907756
56,423.67999267578125,417.44000244140625,0.9852719261181867,-24.576408761898005
57,424.3949890136719,417.010009765625,0.9825988066795742,-23.481856524181534
58,425.5050048828125,419.2699890136719,0.9853467860598777,-24.710121872946797
59,424.4100036621094,421.1722106933594,0.9923710729228529,-27.630101956398743
60,420.3183898925781,419.0799865722656,0.9970536542057343,-29.340863823051063
61,422.1499938964844,420.3999938964844,0.9958545540085235,-28.958470883142933
62,424.42999267578125,421.32000732421875,0.992672559891548,-27.759319624730164
63,430.8299865722656,425.8699951171875,0.9884873578681456,-26.36077745349878
64,431.0799865722656,427.6449890136719,0.9920316468739198,-27.903406676656356
65,432.9700012207031,429.44000244140625,0.9918470130278206,-27.941729558922656
66,430.8630065917969,429.25,0.9962563353847524,-29.7100915921048
67,428.5400085449219,427.9200134277344,0.9985532386595766,-30.5392357490427
68,428.0,426.5899963378906,0.9967055989203052,-29.711134295736723
69,428.4599914550781,428.6000061035156,1.000326785817182,-31.293601004592357
70,430.2250061035156,431.82000732421875,1.0037073652114015,-32.87309401649078
71,427.4200134277344,426.7200012207031,0.9983622381146418,-30.380212740142905
72,426.92999267578125,425.6400146484375,0.996978478791666,-29.755680215681036
73,425.70001220703125,423.44500732421875,0.9947028310590796,-28.703888930739947
74,425.6400146484375,423.29998779296875,0.9945023334861937,-28.614634651902133
75,427.4549865722656,423.70001220703125,0.9912155092742155,-27.327717633254178
76,427.94000244140625,426.1700134277344,0.9958639318512548,-29.346916637992603
77,440.6000061035156,444.6099853515625,1.0091011783760728,-36.01993810077279
