,ibm,ma,Ratio,Spread
0,121.38018798828125,347.2752990722656,2.8610542200329565,-31.126067039034712
1,121.0562515258789,335.056884765625,2.767778454580662,-19.758392920854607
2,122.87601470947266,348.69696044921875,2.8377951650993554,-28.61930400444358
3,123.619140625,355.3977355957031,2.874940998609641,-33.36844000312376
4,124.45757293701172,358.4796142578125,2.8803358911654167,-34.248380489325335
5,125.40078735351562,358.21124267578125,2.856531049250535,-31.502886065041952
6,126.36306762695312,358.6784973144531,2.8384757037818806,-29.442946033793493
7,127.0490493774414,359.185546875,2.8271407667752007,-28.14843167232029
8,127.58259582519531,358.8872985839844,2.8129800641124003,-26.44895363968074
9,127.34439849853516,357.22698974609375,2.8052037934766556,-25.414212041337084
10,129.6119384765625,368.7892761230469,2.845334160245851,-31.021357172558186
11,131.49839782714844,373.2033996582031,2.8380832453089675,-30.481154876227
12,131.68893432617188,371.7220458984375,2.822728027988616,-28.49940342771193
13,128.9450225830078,368.3275146484375,2.8564694260402974,-32.31108779230069
14,128.45912170410156,367.97906494140625,2.8645615823921444,-33.238738349587344
15,128.649658203125,362.2650146484375,2.8159034365754563,-27.024290367869146
16,126.59172058105469,364.6342468261719,2.8803956937507795,-34.798194274917954
17,127.27770233154297,365.649658203125,2.872849301212651,-34.012041729851
18,128.3924102783203,367.8496398925781,2.865041937410309,-33.284514605733385
19,127.86842346191406,370.4578552246094,2.8971801262174095,-37.268853636944264
20,126.65843200683594,364.64422607421875,2.878957368227473,-34.63297221799066
21,125.36267852783203,359.0993957519531,2.8644840710884196,-32.49112268631287
22,124.63860321044922,362.3546142578125,2.9072422582110105,-37.6479485857998
23,123.2380599975586,353.47491455078125,2.8682284884862983,-32.446434372446525
24,122.73310089111328,347.84051513671875,2.834121460398177,-28.13818701362432
25,129.66909790039062,337.2287292480469,2.600686938588095,0.6893050017174955
26,127.91606140136719,343.10205078125,2.6822437074941305,-9.787939753024677
27,126.25827026367188,348.94549560546875,2.763743673002547,-19.98516906464501
28,128.1446990966797,380.7809753417969,2.9714922117419302,-46.866403116468824
29,127.2586669921875,384.63348388671875,3.0224541320264784,-53.04585909412989
30,129.12603759765625,390.28778076171875,3.022533549568184,-53.79596207554791
31,130.76475524902344,394.95660400390625,3.02035975406191,-54.16109269474773
32,131.2697296142578,388.3067932128906,2.9580832866339266,-46.1850897750003
33,130.6694793701172,380.47235107421875,2.91171552001476,-39.92705864618076
34,130.7552490234375,374.4298095703125,2.8635929522278456,-33.65926404637789
35,130.545654296875,372.6777648925781,2.8547695968880618,-32.457668848315414
36,131.27923583984375,379.6461181640625,2.8918976846210316,-37.49944894094826
37,128.7433319091797,372.6976623535156,2.8948890542651977,-37.21092690843752
38,127.94303131103516,368.0985412597656,2.8770503362930477,-34.71360033525897
39,125.49388885498047,372.46868896484375,2.968022525744381,-45.51582394552715
40,125.2914047241211,379.8153381347656,3.0314556610733217,-53.39424834806734
41,124.55860137939453,381.19903564453125,3.0603991328020177,-56.70247528861639
42,120.49921417236328,372.01080322265625,3.0872467159041244,-58.17523425972197
43,119.9013900756836,368.2777404785156,3.0715051780972105,-56.012210840280225
44,119.48677825927734,366.625244140625,3.068333161892404,-55.44859141427391
45,117.70296478271484,359.59716796875,3.055124130752213,-53.10526669635632
46,117.60653686523438,367.7102966308594,3.126614441952487,-61.47163978819676
47,119.73747253417969,367.421630859375,3.06856010138758,-55.58659070391294
48,118.1272201538086,359.1889953613281,3.0406962501415244,-51.58289073040239
49,117.00872039794922,342.9228820800781,2.9307463658588,-38.25424452536864
50,119.4289321899414,342.53460693359375,2.8681040737165935,-31.509872813637248
51,121.42487335205078,339.4486389160156,2.795544516911638,-23.182051662835722
52,122.0901870727539,329.264892578125,2.696898911146029,-11.251020947204001
53,121.55986022949219,311.50555419921875,2.5625692034453573,5.115543196791445
54,121.1838150024414,312.9091491699219,2.5821034695402014,2.7243570640489265
55,121.70449829101562,326.6467590332031,2.6839333271982815,-9.645805010969202
56,119.9013900756836,323.12274169921875,2.6949040498634647,-10.857212060983347
57,119.52534484863281,323.32183837890625,2.7050483626578266,-12.043899902710184
58,119.50606536865234,327.10467529296875,2.737138690692528,-15.877369673322296
59,121.14524841308594,333.4856872558594,2.7527756278044557,-17.95346677173355
60,122.49516296386719,343.1219482421875,2.8011061003559736,-24.04450610928406
61,123.38224792480469,344.8739929199219,2.795167041616111,-23.466838283363604
62,124.15361785888672,348.50750732421875,2.8070668687265576,-25.07453750703208
63,123.51724243164062,344.01788330078125,2.785181052687235,-22.256198484646877
64,124.4428939819336,347.9500427246094,2.79606196537927,-23.757359654975193
65,123.71009063720703,340.63323974609375,2.7534798333067014,-18.36508610724299
66,124.6260986328125,347.7708435058594,2.790513763337013,-23.097018060156433
67,126.65098571777344,347.4422912597656,2.743305070155547,-17.45059326740473
68,126.76667785644531,348.9056701660156,2.7523453013506254,-18.610134960865555
69,127.21985626220703,365.8885498046875,2.876033353241426,-34.40285193780809
70,127.40306091308594,360.6025695800781,2.830407425031023,-28.635729337130005
71,125.36856079101562,355.7645568847656,2.8377493897996557,-29.140835488140073
72,125.49388885498047,362.32476806640625,2.8871905347128517,-35.37190304708965
73,125.60961151123047,365.25146484375,2.9078305429763525,-37.99468246466116
74,124.27897644042969,361.6777038574219,2.9102082606126376,-37.915510270561036
75,124.7610855102539,351.95184326171875,2.8210065808764737,-26.923507673185515
76,123.95114135742188,348.452880859375,2.8112115551609684,-25.551666238060893
77,123.16048431396484,351.164306640625,2.8512741614869355,-30.339560093234656
