,ecl,lin,Ratio,Spread
0,217.13999938964844,328.44000244140625,1.5125725493442355,78.95017621502545
1,216.6750030517578,325.45001220703125,1.5020191882922924,81.06372089696781
2,216.77499389648438,327.3999938964844,1.510321776564442,79.30220635016387
3,216.31500244140625,327.0,1.5116843321515587,78.83518811750098
4,215.875,327.42999267578125,1.5167573488165895,77.57585948484017
5,215.63999938964844,328.3699951171875,1.522769412199092,76.19291755557497
6,215.9499969482422,328.6400146484375,1.5218338471530717,76.50719505928002
7,213.60000610351562,321.20001220703125,1.5037453325322945,79.51783138253323
8,213.1199951171875,320.17999267578125,1.5023460961498478,79.63310509149453
9,212.25999450683594,319.55999755859375,1.5055121352521383,78.63213322762748
10,211.85000610351562,318.8399963378906,1.5050270811986515,78.57937027072636
11,212.22000122070312,320.07501220703125,1.5082226480347711,78.0417374742177
12,212.46499633789062,319.9200134277344,1.505753978029182,78.6585138275074
13,213.44000244140625,321.17999267578125,1.5047788090423766,79.23626897302033
14,215.25,323.2900085449219,1.501928030406141,80.53781612250405
15,217.36000061035156,324.3900146484375,1.4924089700843917,83.41483198643395
16,216.44000244140625,326.260009765625,1.5073923770350575,79.81078385051505
17,215.9199981689453,326.29998779296875,1.511207811041464,78.79067889591032
18,215.60000610351562,324.9200134277344,1.5070501123814029,79.56751814005575
19,215.59500122070312,324.19000244140625,1.5036990681872775,80.2880957030985
20,214.8699951171875,322.19000244140625,1.4994648381021636,80.92157230681697
21,216.24000549316406,325.260009765625,1.5041620491260455,80.43382080477987
22,218.1699981689453,326.17999267578125,1.4950726287452032,83.15157298860173
23,217.125,327.3500061035156,1.5076569077882125,80.01190104349688
24,216.19000244140625,326.18499755859375,1.50878853728215,79.4145850602681
25,216.0500030517578,326.0400085449219,1.509095135105434,79.2956970658817
26,214.92999267578125,324.2200012207031,1.508491193733879,79.004659565197
27,213.25999450683594,321.67999267578125,1.5083935147783658,78.39698209955286
28,200.17999267578125,318.760009765625,1.5923669768631685,56.66320218086075
29,201.27000427246094,321.5,1.5973567505110333,55.97771375255074
30,198.2093048095703,319.42999267578125,1.611579198981974,52.278780091659186
31,198.61000061035156,317.760009765625,1.5999194843618731,54.704012073380724
32,196.45989990234375,317.0,1.6135608343360366,51.41141744352994
33,194.8699951171875,315.8699951171875,1.6209267872523687,49.54469984877896
34,195.0800018310547,315.9200134277344,1.6194382328401395,49.890511430537956
35,188.41000366210938,309.5899963378906,1.643171754792293,43.64862256425151
36,187.14999389648438,308.9200134277344,1.6506546807509004,41.943683641445986
37,186.8000030517578,305.2300109863281,1.6339936081358424,44.97400794292484
38,188.4499969482422,308.07000732421875,1.6347572953733196,45.243992682895666
39,188.25,308.3999938964844,1.6382469795297976,44.53704306489486
40,189.5050048828125,312.07000732421875,1.6467639338454354,43.23251804683689
41,192.66000366210938,316.3500061035156,1.6420118347881694,44.89919975235607
42,188.83999633789062,310.4599914550781,1.6440372668699557,43.58909655737283
43,188.60000610351562,309.70001220703125,1.642099693448834,43.89673165471224
44,187.28309631347656,310.8949890136719,1.6600269598986783,40.21958534611262
45,187.6999969482422,311.2699890136719,1.6583377414731861,40.63037800160792
46,189.78500366210938,314.2799987792969,1.65597909589757,41.55028060787542
47,189.25999450683594,313.79998779296875,1.6580365470825082,41.04073124365719
48,188.72999572753906,313.5799865722656,1.6615270156894766,40.26176745096545
49,188.0500030517578,314.94000244140625,1.6747673349131718,37.620071474237804
50,189.80999755859375,315.0249938964844,1.659685990982836,40.852395086241
51,189.67999267578125,314.6600036621094,1.6588992820131305,40.972346398691556
52,188.77999877929688,313.55999755859375,1.660981033934519,40.37600441618035
53,189.41000366210938,313.3299865722656,1.6542420173921675,41.793476318989335
54,184.39999389648438,307.7900085449219,1.6691432686147716,37.890367554198164
55,185.25,308.8699951171875,1.6673144135880567,38.41250987685321
56,187.5800018310547,311.5899963378906,1.661104559634915,40.084198602035414
57,186.6199951171875,311.79998779296875,1.670774814870051,38.064744262816745
58,185.13999938964844,310.7799987792969,1.6786215826069255,36.295172225523956
59,182.02000427246094,307.5799865722656,1.689814192685422,33.61448038986292
60,182.02000427246094,307.6300048828125,1.6900889883637695,33.564462079316044
61,184.25999450683594,310.1400146484375,1.683165222480952,35.27648444262421
62,183.47999572753906,311.3599853515625,1.696969656648131,32.586337728826194
63,181.93499755859375,306.6099853515625,1.6852721547035836,34.42425721689925
64,181.97999572753906,308.5799865722656,1.6956808100725116,32.53907052445378
65,181.77000427246094,309.57501220703125,1.7031138522888476,31.14824375781909
66,182.82000732421875,309.56500244140625,1.6932774862677582,33.13734546409994
67,181.86000061035156,308.29998779296875,1.6952600173664585,32.59289722839689
68,183.58999633789062,312.0199890136719,1.6995478797189503,32.133668055936695
69,186.1300048828125,314.94000244140625,1.6920431643446878,34.00117446639358
70,188.5,314.44000244140625,1.6681167238270889,38.96824551725119
71,188.92999267578125,312.5199890136719,1.6541576304932208,41.69872805529438
72,190.07000732421875,315.7149963378906,1.6610458471722391,40.65247048868365
73,188.21499633789062,315.30999755859375,1.6752650091310333,37.561062960661715
74,188.76499938964844,316.95001220703125,1.679071931935769,36.957718258323595
75,187.875,317.3500061035156,1.6891550557738688,34.88021436194627
76,189.42999267578125,318.7099914550781,1.6824684779488217,36.45114760844454
77,189.32000732421875,317.5450134277344,1.6772924209955513,37.40882040700528
78,190.41000366210938,316.3999938964844,1.6616773688947015,40.60831298388341
79,190.8800048828125,318.06500244140625,1.6663086457729126,39.82918341467955
80,191.44000244140625,319.9200134277344,1.671124160822406,39.029680460584686
