,hon,lmt,Ratio,Spread
0,180.39999389648438,391.2398986816406,2.168735653650513,19.761358826199945
1,182.33999633789062,395.7799987792969,2.1705605282885103,19.665759676778556
2,185.6199951171875,404.875,2.1812035914794103,18.08516017725416
3,187.7899932861328,408.5199890136719,2.175408720480734,19.41158703074698
4,188.85000610351562,412.20660400390625,2.1827195694024,18.1534370111979
5,188.64500427246094,412.80999755859375,2.1882901121641694,17.08038897924488
6,188.61000061035156,413.20440673828125,2.1907873675898983,16.605787215199577
7,188.30999755859375,409.5950012207031,2.175110225325425,19.527892645132262
8,188.55999755859375,409.489990234375,2.171669471448358,20.20564787824251
9,188.10000610351562,426.5,2.2674108780479654,2.1418082747577296
10,189.52999877929688,428.125,2.258877237152,3.792888586734912
11,188.35000610351562,425.6499938964844,2.2598883998047263,3.5645586250555334
12,188.2949981689453,424.1449890136719,2.2525557935060663,4.943541595657941
13,187.2899932861328,425.82000732421875,2.273586537395359,0.966080226635861
14,188.30999755859375,430.7200012207031,2.2872922670326203,-1.5971073548677373
15,189.88999938964844,433.82000732421875,2.284585858753064,-1.0773656238161697
16,187.75999450683594,450.2449951171875,2.3979815098513706,-22.382145585779732
17,186.64999389648438,453.739990234375,2.4309670778024137,-28.420126556981266
18,184.50999450683594,451.5199890136719,2.4471302501553294,-31.10281469043175
19,183.63999938964844,452.1300048828125,2.46204534080552,-33.705969351963084
20,184.64999389648438,455.79998779296875,2.46845384705776,-35.06207808983205
21,184.17999267578125,454.4150085449219,2.46723328599999,-34.75386082233833
22,183.55999755859375,456.6099853515625,2.4875244684278726,-38.369232174587545
23,185.64059448242188,442.42999267578125,2.3832610206259304,-19.422639826825694
24,187.22500610351562,442.96209716796875,2.3659344784481275,-16.32489375694845
25,187.75010681152344,447.5400085449219,2.383700420443401,-19.69981149593078
26,187.60000610351562,447.92999267578125,2.3876864504397637,-20.433672894587765
27,187.36000061035156,449.4800109863281,2.3990179842126587,-22.53353826675791
28,186.6750030517578,450.5299987792969,2.413445782317101,-25.152839702704135
29,186.3699951171875,450.1600036621094,2.4154102884375432,-25.48161074450885
30,191.28509521484375,441.010009765625,2.305511620078398,-5.071235634860918
31,188.9499969482422,446.3599853515625,2.3623180341930934,-15.770867612266294
32,188.3800048828125,452.0050048828125,2.399431962877355,-22.721725848261507
33,189.7899932861328,451.0799865722656,2.376732190997049,-18.566456553589738
34,189.19000244140625,453.7300109863281,2.3982768916494526,-22.591046185408594
35,188.14999389648438,449.2799987792969,2.3878820800094203,-20.523669621210352
36,187.50999450683594,447.80999755859375,2.388192686669127,-20.519892273968104
37,185.74000549316406,453.3500061035156,2.4407773914930817,-30.11490491668254
38,185.42889404296875,452.32000732421875,2.439317829396126,-29.79765531021527
39,186.3350067138672,458.67498779296875,2.4615610125117398,-34.07675250219145
40,187.16000366210938,458.6499938964844,2.4505769658164325,-32.16170958283296
41,187.17999267578125,462.1050109863281,2.4687735285188883,-35.57093230235906
42,187.39999389648438,458.1099853515625,2.4445570985696636,-31.0718889338224
43,187.42999267578125,458.1499938964844,2.444379297869354,-31.04317096573319
44,186.00999450683594,478.7598876953125,2.573839588376085,-54.90624789137964
45,184.77999877929688,479.25,2.5936248683085075,-58.21425210212552
46,184.57000732421875,467.2799987792969,2.531722274673073,-46.7253364725
47,183.47999572753906,468.375,2.5527306022805853,-50.31752917689945
48,183.14999389648438,469.1000061035156,2.5612886799693206,-51.798561881071656
49,183.10000610351562,465.54998779296875,2.5425995208857066,-48.36306445385352
50,182.1300048828125,465.94439697265625,2.5583066187938543,-50.97972410765848
51,183.27000427246094,461.3500061035156,2.5173241411488325,-43.77362087149273
52,184.2100067138672,467.2900085449219,2.5367243445724528,-47.56009935179261
53,186.1300048828125,458.56658935546875,2.46368977234048,-34.43800854195691
54,185.24249267578125,453.9800109863281,2.4507336541886313,-31.884700214920507
55,185.17999267578125,455.0899963378906,2.457554888959716,-33.13787162817854
56,184.08999633789062,450.75,2.4485306587364173,-31.295031816449715
57,183.24000549316406,448.6404113769531,2.4483758891487812,-31.132752657941317
58,185.76499938964844,448.70001220703125,2.4154174019932984,-25.407650578533797
59,185.5449981689453,453.3399963378906,2.443288694449788,-30.55165244316421
60,185.65780639648438,453.239990234375,2.4412654605346966,-30.193205286397834
61,185.8300018310547,447.864990234375,2.4100790282590996,-24.423709508508658
62,185.38999938964844,448.1700134277344,2.417444386985411,-25.736768169410105
63,185.9499969482422,452.7250061035156,2.434659927580038,-29.00881932560494
64,185.38999938964844,448.8999938964844,2.421381926610813,-26.466748638160105
65,183.99000549316406,450.010009765625,2.4458394278505775,-30.78411830626677
66,183.52999877929688,449.4700012207031,2.449027429903768,-31.297974556739256
67,184.0800018310547,452.07000732421875,2.455834435177377,-32.63793632582726
68,184.24000549316406,450.69000244140625,2.446211403625519,-30.891366735265898
69,184.85000610351562,447.5,2.420881716116368,-26.303866933409914
70,184.38999938964844,444.489990234375,2.4105970589819767,-24.347721963179218
71,184.35000610351562,444.45001220703125,2.4109031597073294,-24.399367634005408
72,185.20480346679688,445.6400146484375,2.40620116922794,-23.631048987476184
73,184.8000030517578,445.57000732421875,2.4110930734098845,-24.488430098491982
74,183.8144989013672,441.80999755859375,2.4035644641702834,-22.98618766213152
75,183.9600067138672,443.1400146484375,2.408893229372952,-23.982849702090412
76,184.05999755859375,441.8346862792969,2.400492731391257,-22.448444608757676
77,183.44000244140625,442.7300109863281,2.413486726417502,-24.764163861397513
78,182.2899932861328,438.92999267578125,2.4078666347132485,-23.598790060569193
