,alb,shw,Ratio,Spread
0,220.60499572753906,330.3900146484375,1.4976542736887508,-91.27842384462596
1,216.13499450683594,331.9800109863281,1.5359845440291633,-97.73547295258828
2,218.3249969482422,333.5400085449219,1.5277224926470212,-96.91093929460365
3,217.38999938964844,334.1000061035156,1.536869253606634,-98.48898634197317
4,217.08999633789062,334.2300109863281,1.5395919509165887,-98.94564229533242
5,218.16000366210938,335.69000244140625,1.5387330253318556,-99.24058214209873
6,218.1300048828125,335.7900085449219,1.5394031129523913,-99.37325169125268
7,221.10000610351562,334.0299987792969,1.5107643127920547,-94.37942789412597
8,221.1300048828125,333.05499267578125,1.506150161993092,-93.37175834497205
9,222.85000610351562,335.6449890136719,1.5061475423867032,-94.08897293350265
10,222.80999755859375,335.5899963378906,1.50617117730383,-94.07754259468155
11,222.3000030517578,334.30999755859375,1.5038686143461582,-93.35283900539957
12,223.47000122070312,335.2900085449219,1.5003803942963387,-93.05892576934272
13,224.14999389648438,334.4800109863281,1.4922151242207737,-91.50853462406243
14,225.4199981689453,336.135009765625,1.4911499090409104,-91.78071995273754
15,226.4499969482422,337.05999755859375,1.4884522062309093,-91.58421847435466
16,225.18499755859375,336.9649963378906,1.496391855546289,-92.86658125861237
17,225.0800018310547,338.1600036621094,1.502399151018013,-94.17591064256521
18,223.6199951171875,337.1300048828125,1.5076022370277773,-94.73560487904177
19,224.9250030517578,338.5,1.5049460727232147,-94.68467365430831
20,225.24000549316406,338.6600036621094,1.5035517465940906,-94.50169452305181
21,224.30999755859375,341.381591796875,1.5219187531206677,-98.2358993150959
22,225.80499267578125,340.5,1.5079383142289589,-95.72651822531182
23,226.89999389648438,339.05999755859375,1.4943147055053632,-93.09425017561637
24,227.94000244140625,338.2099914550781,1.4837676047758122,-91.11185590942728
25,228.1199951171875,339.30999755859375,1.487418923467392,-92.01588133911301
26,228.27000427246094,339.2200012207031,1.4860472023114053,-91.76255115886724
27,227.89999389648438,338.32000732421875,1.484510822224457,-91.26543411552802
28,229.1300048828125,341.4800109863281,1.4903330149230194,-93.08617004981221
29,230.89999389648438,343.2300109863281,1.486487743868035,-92.9089603004974
30,231.59500122070312,344.0799865722656,1.4856969483739748,-93.0021939627656
31,232.82000732421875,344.6300048828125,1.4802422216355755,-92.21839399114819
32,232.83050537109375,345.79998779296875,1.4852005206182932,-93.3769463567474
33,232.2899932861328,345.739990234375,1.4883981240143025,-93.90547231536928
34,233.02000427246094,345.54998779296875,1.4829198414610405,-92.92061505899451
35,233.51499938964844,347.95001220703125,1.4900542282786466,-94.78167600586124
36,231.6739959716797,349.32000732421875,1.5078084437535249,-98.15620318975965
37,232.0500030517578,348.2799987792969,1.5008834052961182,-96.70678842539766
38,232.9499969482422,348.635009765625,1.4966087758442264,-96.0818628142492
39,234.00999450683594,348.25,1.488184300563397,-94.54270033163425
40,234.0449981689453,347.8349914550781,1.4861885286007845,-94.08957889541315
41,232.6699981689453,348.4100036621094,1.4974427575708469,-96.16172661280024
42,229.22999572753906,349.4100036621094,1.524276971489435,-100.9072901115203
43,232.19000244140625,350.6700134277344,1.5102718021471526,-98.94436812280182
44,230.0,350.0299987792969,1.5218695599099865,-100.68888469094273
45,231.5800018310547,350.9649963378906,1.5155237652771558,-99.90353545120976
46,232.0800018310547,350.7699890136719,1.5114184171241904,-99.16411521413434
47,232.0050048828125,351.80999755859375,1.5163896905426486,-100.28578237315199
48,232.52000427246094,351.55999755859375,1.5119559224962202,-99.47503773747619
49,235.34500122070312,351.0249938964844,1.4915336721653936,-95.86410444055934
50,235.7550048828125,350.5199890136719,1.4867976575424389,-94.91267698180513
51,236.6999969482422,350.1700134277344,1.4793832612693443,-93.5337696299336
52,236.3000030517578,350.19000244140625,1.4819720605957953,-93.98928232822533
53,235.22999572753906,350.6300048828125,1.49058373188485,-95.59433637794342
54,235.3090057373047,351.3699951171875,1.4932279961670973,-96.24829847319575
55,234.36000061035156,350.4100036621094,1.4951783698136412,-96.32160830907853
56,235.72000122070312,351.0400085449219,1.489224532186581,-95.47080940435433
57,235.85000610351562,350.5899963378906,1.4864956000213758,-94.879244523448
58,234.35000610351562,352.0950012207031,1.502432225519883,-98.01748814483051
59,234.4219970703125,352.8949890136719,1.505383425719322,-98.73909031393276
60,233.7449951171875,351.92999267578125,1.5056150934882777,-98.511231186663
61,234.38999938964844,352.6499938964844,1.5045436870804427,-98.52893509781521
62,233.7899932861328,352.1499938964844,1.5062663245192542,-98.68223723890864
63,231.75999450683594,341.8500061035156,1.4750173205299784,-90.5925645430049
64,231.27000427246094,336.9599914550781,1.456998249795088,-86.23606391610221
65,238.16000366210938,338.4599914550781,1.4211453907066185,-80.23405464150386
66,236.50790405273438,335.7650146484375,1.4196777735325568,-79.33792655620164
67,237.00999450683594,338.45001220703125,1.427998903216166,-81.47623506152547
68,237.08999633789062,338.6690979003906,1.4284411115251516,-81.60821269512815
69,236.55999755859375,339.1199951171875,1.433547508526629,-82.63618627042001
70,247.82000732421875,336.1700134277344,1.3565087704477743,-67.42601515037
71,239.82000732421875,334.4599914550781,1.3946292270891025,-74.42659978342044
72,240.27000427246094,334.3550109863281,1.3915803264696198,-73.83165101593221
73,242.68499755859375,334.4100036621094,1.3779591117138157,-71.25713663284773
74,242.32000732421875,334.25,1.3793743392916828,-71.49454376405902
75,243.7519989013672,334.7900085449219,1.373486207513698,-70.47536289757767
76,242.4499969482422,335.7099914550781,1.384656612417879,-72.81299915942566
77,246.5800018310547,338.0799865722656,1.3710762594766406,-70.6861382998847
