,tjx,bkng,Ratio,Spread
0,63.203399658203125,2006.3599853515625,31.744494698097437,-104.37802871075293
1,62.769901275634766,1986.5999755859375,31.64892624033919,-97.87301957867068
2,62.959999084472656,1984.3399658203125,31.517471325848465,-89.80042393521036
3,62.849998474121094,1983.9200439453125,31.565952141784138,-92.74397057250668
4,62.650001525878906,1973.20751953125,31.495729792060338,-88.14671620847436
5,62.40999984741211,1986.4000244140625,31.82823312402925,-108.67770844914232
6,62.529998779296875,1985.449951171875,31.751958898634104,-104.05844984867691
7,61.130001068115234,1885.22998046875,30.83968505690189,-46.645952702260516
8,60.2400016784668,1875.1300048828125,31.127655256242974,-63.759325419375514
9,59.349998474121094,1864.0,31.40690897932839,-79.84278548091517
10,58.84000015258789,1849.43505859375,31.431595067941352,-80.87196932832127
11,58.72999954223633,1843.0,31.380895868636713,-77.80037924686759
12,58.529998779296875,1838.0,31.402700125292572,-78.9157659381972
13,58.34000015258789,1815.989990234375,31.127699442657953,-62.71530937662057
14,59.099998474121094,1830.280029296875,30.969206033031018,-53.7670189816272
15,59.127498626708984,1833.050048828125,31.001650524754353,-55.69617138480318
16,60.18000030517578,1904.0,31.63841791865605,-94.46397153635168
17,60.185001373291016,1919.875,31.899558963074227,-110.18605479271129
18,60.040000915527344,1900.3900146484375,31.65206505113435,-95.13472187633012
19,59.7599983215332,1909.5999755859375,31.954485094050867,-112.90627083821165
20,60.0,1900.6800537109375,31.67800089518229,-96.64786160535597
21,61.84000015258789,2077.425048828125,33.59354857215647,-217.13150911664982
22,61.58000183105469,2031.0400390625,32.982136711114066,-178.69642040084366
23,61.88999938964844,2051.22509765625,33.143078330670214,-189.40274043226717
24,62.15999984741211,2077.1201171875,33.415703382984745,-207.0420054264171
25,62.0099983215332,2061.760009765625,33.248831891189894,-196.26846718336427
26,61.86000061035156,2042.260009765625,33.01422550299613,-181.35491972088678
27,61.18000030517578,2035.8900146484375,33.27705139740254,-195.77716936944037
28,60.869998931884766,2048.81005859375,33.65878256193869,-218.17606851837903
29,61.241798400878906,2026.1300048828125,33.08410363164212,-184.1275705519636
30,61.709999084472656,2019.239990234375,32.72143931602248,-162.92146936845896
31,61.40999984741211,2003.5699462890625,32.62611873094632,-156.42444713949115
32,61.79999923706055,2044.6099853515625,33.08430437852562,-185.53954630661295
33,61.869998931884766,2026.18994140625,32.74915106491219,-164.97913451552998
34,62.060001373291016,2030.1199951171875,32.71221318391555,-163.09951838111968
35,61.880001068115234,2025.780029296875,32.73723326324721,-164.26338891887397
36,61.67499923706055,2035.0400390625,32.99619074562782,-179.7917021194692
37,61.810001373291016,2034.8800048828125,32.921533079954166,-175.50373235058194
38,61.959999084472656,2038.594970703125,32.901791491698106,-174.6322456333717
39,62.029998779296875,2037.1324462890625,32.84108473929191,-171.02935337353873
40,61.58000183105469,2019.3599853515625,32.79246387312062,-167.01636668990616
41,61.439998626708984,2017.9749755859375,32.844645519062404,-169.91220925712153
42,61.880001068115234,2028.3900146484375,32.77941143562134,-166.87337427043647
43,61.849998474121094,2019.219970703125,32.64704964460096,-158.62071414566802
44,61.45000076293945,2018.489990234375,32.84768047475319,-170.1213904182778
45,61.18000030517578,1995.0450439453125,32.609431742296564,-154.93219866631537
46,61.04999923706055,1990.2900390625,32.6009838482404,-154.15221262906223
47,61.349998474121094,2002.5250244140625,32.640995504812864,-157.2141762642798
48,61.2400016784668,2000.199951171875,32.661657353859695,-158.2524548930892
49,62.34000015258789,2073.5,33.261148458850684,-197.9180518808503
50,62.02000045776367,2091.60009765625,33.724606291814744,-225.80272158670803
51,61.70349884033203,2092.840087890625,33.91768906502682,-236.72032379905184
52,61.59000015258789,2079.469970703125,33.763110335302535,-226.82063519548686
53,61.5,2072.179931640625,33.69398262830285,-222.28251431202037
54,61.86000061035156,2087.18994140625,33.7405418818729,-226.28485136151178
55,61.7400016784668,2079.889892578125,33.68788202193284,-222.6539878916649
56,63.540000915527344,2224.75,35.01337689556651,-312.47584837417185
57,62.849998474121094,2190.780029296875,34.85728054868519,-299.60395592406917
58,63.07500076293945,2171.929931640625,34.434084904788,-273.8740044995859
59,62.540000915527344,2154.179931640625,34.44483370811381,-272.48259683014567
60,61.779998779296875,2140.659912109375,34.64972409204275,-282.20102339768846
61,62.375,2189.949951171875,35.10941805485972,-313.29781912984004
62,62.54999923706055,2202.409912109375,35.21039071099554,-320.40686045291386
63,62.369998931884766,2160.330078125,34.637327483111385,-283.83086282660565
64,61.97999954223633,2142.580078125,34.56889470715367,-278.00580272198386
65,62.02000045776367,2155.489990234375,34.75475611617075,-289.692614164833
66,62.025001525878906,2159.320068359375,34.81370439722495,-293.3697755461924
67,62.16999816894531,2154.72998046875,34.65867852550564,-284.34615186168526
68,62.349998474121094,2144.889892578125,34.40080104361799,-269.00222761299347
69,62.25,2161.139892578125,34.717106708082326,-288.30986263800855
70,61.720001220703125,2168.860107421875,35.14031212777035,-312.2357530686777
71,61.75,2165.510009765625,35.06898801239878,-307.9683882331831
72,62.02989959716797,2172.050048828125,35.01617869662475,-305.94998858638814
73,62.31999969482422,2205.0,35.381900044892475,-330.0296022141131
74,62.150001525878906,2190.050048828125,35.23813346836686,-320.27765391302364
75,62.33000183105469,2187.110107421875,35.0892033237867,-311.8338761487071
76,62.41999816894531,2185.219970703125,35.00833122084739,-307.191937892223
77,61.60100173950195,2156.3798828125,35.00559766757349,-303.3941537971125
78,61.41999816894531,2166.300048828125,35.27027211673595,-318.84883283257204
79,61.58000183105469,2169.43994140625,35.229618007451975,-317.09632274459364
