,cmcsa,dis,Ratio,Spread
0,50.31999969482422,153.55520629882812,3.05157407055037,-12.754720449503912
1,50.470001220703125,153.6649932861328,3.0446798012578298,-12.436277756099463
2,50.505001068115234,152.9499969482422,3.0284129039411587,-11.621362611421125
3,50.5,152.65499877929688,3.022871262956374,-11.340641669254955
4,50.44300079345703,152.77000427246094,3.0285669343501223,-11.618370520568567
5,50.40999984741211,152.47149658203125,3.024627991342052,-11.414075102348198
6,50.470001220703125,152.8300018310547,3.0281354890945162,-11.601286301021338
7,50.959999084472656,156.1123046875,3.063428325984152,-13.48472586243867
8,50.72999954223633,155.06739807128906,3.0567198791749335,-13.096430103737424
9,50.625,154.72999572753906,3.056394977334105,-13.058784180350562
10,50.650001525878906,155.5800018310547,3.0716682555589516,-13.83741504030363
11,50.52579879760742,155.25999450683594,3.0728855001138164,-13.871986073599976
12,50.48500061035156,155.20199584960938,3.0742199459889954,-13.930459529571726
13,50.540000915527344,155.2100067138672,3.0710329224822432,-13.781453570258412
14,50.44390106201172,155.11000061035156,3.0749009760302175,-13.955796739832271
15,50.38999938964844,155.57000732421875,3.0873190952285925,-14.569683861319112
16,50.421600341796875,154.9532012939453,3.0731511940032017,-13.862662311107874
17,50.51340103149414,154.82000732421875,3.0649293882962154,-13.467392473768632
18,50.6150016784668,155.2386932373047,3.0670490583693506,-13.596025253341343
19,50.619998931884766,154.9499969482422,3.0610430702842537,-13.293062627832859
20,50.59000015258789,154.88999938964844,3.0616722459473085,-13.31870664924765
21,50.88999938964844,156.7899932861328,3.0809588360503213,-14.362252074646909
22,50.790000915527344,156.33999633789062,3.0781648655197187,-14.197734319988717
23,50.61000061035156,156.1699981689453,3.085753730202543,-14.541607411761111
24,50.56999969482422,156.27000427246094,3.0901721418925576,-14.755809548843592
25,50.67499923706055,156.5,3.0883078906007286,-14.686048856019516
26,50.72370147705078,156.32000732421875,3.081794166676569,-14.367019296722338
27,50.61000061035156,155.92999267578125,3.081011475899646,-14.301601918597049
28,50.619998931884766,155.91000366210938,3.080008039350314,-14.253069341700046
29,50.42409896850586,155.6999969482422,3.087809204989267,-14.602324797181756
30,50.404998779296875,155.55099487304688,3.0860231850047617,-14.507850620142966
31,50.619998931884766,155.77000427246094,3.077242346094634,-14.113069952051609
32,50.61000061035156,155.9499969482422,3.0814067391325977,-14.321606191057986
33,50.60499954223633,155.65499877929688,3.075881833560396,-14.040885248891817
34,50.36000061035156,154.91000366210938,3.076052457995154,-13.995321779218306
35,50.8849983215332,157.3300018310547,3.0918739711243486,-14.916537846347927
36,50.529998779296875,156.19000244140625,3.0910351516849897,-14.79000375135576
37,50.54999923706055,155.71499633789062,3.08041540431377,-14.257899631056722
38,50.6349983215332,156.1199951171875,3.0832428220066794,-14.420240006773872
39,50.692298889160156,156.65989685058594,3.0904082135459334,-14.796558045702744
40,50.83769989013672,157.09559631347656,3.090139731989635,-14.817161569681053
41,50.7400016784668,156.75169372558594,3.0893119538880254,-14.752171304476013
42,50.5,158.16000366210938,3.1318812606358293,-16.845646552067457
43,50.42499923706055,157.25,3.1184928582889686,-16.14975773031265
44,50.20100021362305,157.69000244140625,3.141172521869672,-17.22924053516028
45,50.095001220703125,157.0050048828125,3.134145145362845,-16.846852664218865
46,50.3650016784668,156.3300018310547,3.103941161941676,-15.401042721384476
47,50.400001525878906,156.5800018310547,3.1067459740185823,-15.551123914596763
48,50.20000076293945,155.72999572753906,3.102191102803886,-15.272087088582287
49,50.92499923706055,158.86500549316406,3.119587783470214,-16.337345474890448
50,51.04999923706055,158.22999572753906,3.0995102466655773,-15.345481272118866
51,51.189998626708984,158.14500427246094,3.0893730907417316,-14.86081458988989
52,51.125,158.02000427246094,3.0908558292901893,-14.921374976686172
53,50.709999084472656,157.07000732421875,3.097416883454715,-15.156137373450553
54,50.51499938964844,155.77000427246094,3.083638645047305,-14.412826372414747
55,50.22999954223633,155.2100067138672,3.089986225927745,-14.666456494901842
56,50.45000076293945,155.24000549316406,3.077106107938918,-14.068387979914126
57,50.73500061035156,156.22000122070312,3.0791366776652653,-14.234756026372343
58,50.689998626708984,156.66000366210938,3.090550560393267,-14.80323172812462
59,50.810001373291016,156.8800048828125,3.087581197454536,-14.68064484812715
60,50.83639907836914,157.35000610351562,3.0952232840281555,-15.075284963329358
61,50.7400016784668,157.64999389648438,3.107015937750518,-15.65047147537445
62,50.5099983215332,156.8699951171875,3.1057216458134658,-15.527094443920452
63,50.4900016784668,158.27499389648438,3.134778939094118,-16.989180349667585
64,50.21500015258789,157.84210205078125,3.1433257307805995,-17.341372621820177
65,50.41999816894531,158.68499755859375,3.147263056751379,-17.599032515685543
66,50.34000015258789,158.77999877929688,3.154151734167889,-17.92241491318925
67,50.24100112915039,158.3813934326172,3.1524330700632186,-17.80643549280436
68,50.06999969482422,158.33999633789062,3.162372624385264,-18.253219362859575
69,50.04999923706055,157.85000610351562,3.153846323870318,-17.82032714526799
70,50.04999923706055,155.5399932861328,3.107692220921355,-15.510314327885174
71,50.60499954223633,156.3800048828125,3.0902086018653834,-14.765891352407442
72,50.45500183105469,155.64999389648438,3.0849269298942517,-14.464099156455296
73,50.505001068115234,155.7100067138672,3.0830611507930423,-14.381372377046125
74,50.38999938964844,156.19000244140625,3.099623027054297,-15.189678978506612
75,50.40999984741211,156.27000427246094,3.0999802568038164,-15.212582792777885
76,50.529998779296875,156.60000610351562,3.0991492160430787,-15.200007413465135
77,50.38999938964844,156.60000610351562,3.107759634854963,-15.599682640615987
