,amd,adbe,Ratio,Spread
294,113.54000091552734,468.29998779296875,4.1245374671203265,24.648919992439133
295,115.88999938964844,469.989990234375,4.055483585379633,33.2524058368992
296,115.30999755859375,462.989990234375,4.015176481112237,37.71187565379968
297,115.02580261230469,460.45001220703125,4.003014990984078,39.00701995774155
298,114.75,459.9549865722656,4.008322323069853,38.29397205959505
299,113.40390014648438,457.9700012207031,4.038397274072064,34.38275653002644
300,112.36499786376953,457.70001220703125,4.073332629454088,30.10213472626596
301,111.37010192871094,446.760009765625,4.01148963706256,36.684283421825924
302,111.2301025390625,445.177490234375,4.002311245537463,37.653576138997394
303,112.27999877929688,447.1199951171875,3.9821873884775214,40.30983792315881
304,111.46119689941406,445.6317138671875,3.998088359569106,38.21159447885181
305,114.98999786376953,448.25,3.8981651302494056,51.05019982480168
306,113.97000122070312,443.8999938964844,3.8948845234885203,50.93240579455177
307,113.87000274658203,442.55999755859375,3.8865371641687942,51.83438775357986
308,118.75,450.239990234375,3.791494654605263,65.52981089882577
309,115.93160247802734,441.2699890136719,3.806295950211732,62.154637347366375
310,114.83999633789062,439.7749938964844,3.829458445840997,58.86816765084605
311,115.20500183105469,437.3999938964844,3.7967100989063023,62.84196859030892
312,115.31999969482422,438.5,3.802462722514911,62.24567735156741
313,117.24009704589844,442.69000244140625,3.7759266121052177,66.4661057290141
314,115.66000366210938,438.4100036621094,3.790506569089225,63.82496267961655
315,114.80999755859375,442.3843994140625,3.8531870814498523,56.127361161444654
316,113.51000213623047,441.3800048828125,3.888467946226313,51.437501930772115
317,114.93710327148438,443.0400085449219,3.85463001880646,56.02850182472959
318,111.87940216064453,437.45001220703125,3.910013852048556,48.22512326782079
319,110.67729949951172,435.30499267578125,3.9331009578680742,45.104679950033315
320,110.2300033569336,434.0400085449219,3.9375850070462715,44.410412764500634
321,109.7300033569336,429.17999267578125,3.9112364854280517,47.08032332097373
322,110.08999633789062,447.1700134277344,4.061858736512901,30.66714764925463
323,110.2300033569336,451.43499755859375,4.095391307363124,27.01542375082876
324,109.5199966430664,448.62689208984375,4.096301185544693,26.713550267438464
325,109.31999969482422,449.6050109863281,4.112742519588708,24.85940261322908
326,112.83000183105469,456.9100036621094,4.049543527848743,32.928958589513186
327,115.56999969482422,460.69000244140625,3.9862421360033817,41.15072756649495
328,116.62000274658203,463.82000732421875,3.9771908454856613,42.61995720762623
329,118.34629821777344,462.04998779296875,3.904220028434969,51.95151450425659
330,120.5,465.2449951171875,3.8609543163252074,58.19017461034959
331,119.86289978027344,466.5069885253906,3.892004860391059,54.13754805029693
332,120.0999984741211,463.3399963378906,3.8579517254342863,58.34308245584147
333,119.91999816894531,464.860595703125,3.8764226384345135,56.034043841312624
334,120.70999908447266,465.489990234375,3.856267034751826,58.86501971427994
335,121.06999969482422,465.5,3.8448831351562336,60.43188844724388
336,122.02999877929688,462.3380126953125,3.7887242261756944,67.79887394205049
337,124.04000091552734,467.6300048828125,3.769993562006452,71.31111446861327
338,122.55000305175781,463.2900085449219,3.7804161322562826,69.12460633189404
339,122.20249938964844,463.44500732421875,3.792434767201467,67.44746831948284
340,121.04000091552734,459.9049987792969,3.799611659787248,65.89548869612373
341,122.12409973144531,463.0400085449219,3.791553096916671,67.50906008289577
342,123.37000274658203,467.67999267578125,3.7908728399435683,68.32639357707525
