,acn,adbe,Ratio,Spread
0,390.9070739746094,556.6400146484375,1.423970175286705,-40.284076762180824
1,380.5878601074219,549.77001953125,1.444528523258929,-47.079869496248044
2,387.6022033691406,557.52001953125,1.4383819665758835,-45.54073873839777
3,398.2568054199219,563.97998046875,1.4161213889969555,-37.89075553291402
4,397.8819274902344,569.6199951171875,1.4316307320371275,-44.02722294637433
5,409.7401123046875,577.6799926757812,1.409869269148371,-36.383365534913786
6,409.6809387207031,569.3599853515625,1.3897644033170882,-28.14172209146502
7,409.8289489746094,569.2899780273438,1.3890916672716882,-27.875704028858102
8,408.26031494140625,570.530029296875,1.3974662939716729,-31.19310539403707
9,408.9706115722656,567.0599975585938,1.3865543917167102,-26.78242418441871
10,401.7294006347656,564.3699951171875,1.404851111781802,-33.68199452749732
11,398.8586120605469,554.0,1.3889633650831203,-27.11379944333614
12,391.8343811035156,514.4299926757812,1.312876096342036,3.153982797416325
13,372.91253662109375,514.1199951171875,1.3786610656095233,-21.59431534163368
14,365.76019287109375,510.70001220703125,1.396270075751571,-27.64621794375889
15,367.9798583984375,525.8300170898438,1.4289641269454776,-39.83670838411219
16,370.0614318847656,529.8900146484375,1.4318974337575425,-41.14006749843369
17,373.0782165527344,532.3699951171875,1.4269661735716412,-39.6249045583946
18,357.4306335449219,516.9000244140625,1.4461547945332964,-44.87710828849938
19,349.5079650878906,520.5999755859375,1.4895224933000382,-59.06908993314962
20,344.4833679199219,513.3400268554688,1.4901736184105092,-58.46324100322996
21,339.99285888671875,516.5800170898438,1.5193849034986984,-67.65003538196194
22,338.95428466796875,510.8500061035156,1.5071354138624673,-63.29541356034044
23,331.97125244140625,499.9100036621094,1.5058834160658074,-61.603076512333665
24,335.3045349121094,519.6599731445312,1.5498149265435537,-76.9387629224976
25,331.2986755371094,502.7200012207031,1.517422309055964,-65.3037711149145
26,326.2938537597656,500.80999755859375,1.5348434908838826,-70.0216786021222
27,329.72601318359375,493.04998779296875,1.495332391376822,-57.71644250807892
28,339.112548828125,518.1599731445312,1.5279882001864644,-70.39579056232904
29,349.7255554199219,534.2999877929688,1.5277693594665251,-72.48094614745762
30,349.5673522949219,535.97998046875,1.5332666993929,-74.37044803309547
31,355.5513610839844,533.0900268554688,1.4993333880939586,-63.55584088865722
32,341.7830810546875,510.8299865722656,1.4946029071887543,-59.529204465347014
33,343.7118225097656,513.5399780273438,1.4941004190007252,-59.68495371900817
34,340.21044921875,507.1000061035156,1.4905480042368078,-57.88186840291055
35,341.3083801269531,511.30999755859375,1.4980880263426488,-60.6378643250006
36,351.6543273925781,521.75,1.4837013491875255,-57.37667573848662
37,338.6575927734375,495.0199890136719,1.4617123595538017,-47.85830706814826
38,325.591552734375,473.9700012207031,1.4557195886693617,-44.11174311423721
39,322.5748291015625,474.010009765625,1.4694575242768964,-48.14681423877769
40,325.8190612792969,479.5,1.4716757150956419,-49.34045116060954
41,330.0820617675781,477.70001220703125,1.4472159124581447,-41.89494995620836
42,319.3899230957031,457.7099914550781,1.4330758685768814,-36.064583287077674
43,317.6788024902344,442.55999755859375,1.3931052185082393,-23.18063518470185
44,317.6095275878906,438.3999938964844,1.3803112180731667,-19.112372631075196
45,309.7461853027344,429.45001220703125,1.3864577921671668,-20.575855460701085
46,312.723388671875,463.82000732421875,1.4831637930697978,-51.00312488614892
47,318.9942932128906,465.5400085449219,1.4593991756279774,-44.41853505990385
48,312.57501220703125,467.67999267578125,1.4962168260782716,-55.05960595112244
49,307.9559631347656,466.67999267578125,1.5154114501480067,-60.17663632848788
50,314.8598327636719,471.17999267578125,1.4964753952259147,-55.5338063691872
51,315.4731140136719,459.0799865722656,1.4552111295049066,-42.62162876079545
52,310.73529052734375,452.1300048828125,1.4550326875184023,-41.945971014441135
53,301.6949462890625,437.9700012207031,1.4516981693192554,-39.75814159474188
54,298.3320007324219,431.5299987792969,1.4464757307961145,-37.77170520244166
55,306.0469665527344,450.8699951171875,1.4732052409985215,-46.894732734664295
56,306.1458740234375,438.95001220703125,1.4337936567240057,-34.84376615376245
57,308.1833801269531,416.3800048828125,1.3510787139504046,-9.57547904635029
58,304.325927734375,411.5,1.3521687194499241,-9.80391815178657
59,312.7827453613281,421.6600036621094,1.3480922778365083,-8.764514855758103
60,321.3681335449219,442.3599853515625,1.3764898855154473,-18.09482293947965
61,316.0170593261719,444.3599853515625,1.4061265752521404,-27.18127797286936
62,320.4185791015625,453.3299865722656,1.4148055579154617,-30.322323979759823
63,320.96258544921875,453.5899963378906,1.413217667420789,-29.861903348991426
64,323.90020751953125,466.45001220703125,1.4401040856971485,-38.831611243441806
65,317.00616455078125,422.8999938964844,1.3340434388579216,-4.411409395750035
66,321.74395751953125,432.1400146484375,1.3431177324354404,-7.377146619189568
67,324.1375732421875,431.6199951171875,1.3315950718082652,-3.6872495096427196
68,327.13458251953125,450.010009765625,1.3756112432373535,-18.108309400523204
69,336.9761047363281,466.3299865722656,1.383866630356928,-21.39510785858763
70,334.7704162597656,460.05999755859375,1.3742552364651286,-18.046123407337483
71,333.5538024902344,455.6199951171875,1.3659565314969746,-15.217288820896977
72,336.9266662597656,458.19000244140625,1.3599101772732596,-13.320595355808416
73,340.71490478515625,468.80999755859375,1.3759597568947273,-18.923806764059428
74,339.0828857421875,458.5799865722656,1.3524126573611106,-10.855086966911495
75,336.5508117675781,444.3299865722656,1.320246367074936,0.04167448158185638
76,338.0443115234375,452.7200012207031,1.339232715322041,-6.3704907800556265
77,335.22540283203125,445.3399963378906,1.3284792637300034,-2.7235811353704884
