,csco,ibm,Ratio,Spread
0,63.63999938964844,134.71499633789062,2.116829001098374,39.69901127395899
1,63.50389862060547,134.3800048828125,2.116090630681523,39.65504550044297
2,63.48500061035156,134.60000610351562,2.1201859464354857,39.3824249033607
3,63.53499984741211,134.47500610351562,2.1165500342563237,39.64664213513332
4,63.584999084472656,134.39999389648438,2.113705997194936,39.86087157393719
5,63.619998931884766,134.16000366210938,2.1087709197503886,40.19831493271239
6,63.380001068115234,133.64999389648438,2.108709240204164,40.04007773719128
7,63.060001373291016,134.62100219726562,2.134808107604707,38.1780664071526
8,62.7400016784668,135.32000732421875,2.1568378021045285,36.58805825094204
9,62.84120178222656,135.32000732421875,2.153364408802434,36.86983851657838
10,62.8650016784668,135.8249969482422,2.1605820937210987,36.43111701714709
11,62.93000030517578,135.85000610351562,2.1587479015528053,36.58708920101866
12,63.07849884033203,136.22500610351562,2.1596107803442863,36.62556660991804
13,63.15999984741211,136.02999877929688,2.1537365279913074,37.04750428866656
14,62.619998931884766,139.22000122070312,2.2232514148098343,32.35393025229068
15,62.25,139.3800048828125,2.2390362230170684,31.16370632915125
16,61.83000183105469,139.05999755859375,2.2490699246389085,30.314276160567328
17,61.630001068115234,138.80999755859375,2.2523121069749292,30.00739661188295
18,61.49980163574219,138.69000244140625,2.2551292646902295,29.76486610630162
19,61.22999954223633,138.7100067138672,2.265392907902691,28.993628359240727
20,61.25,138.05999755859375,2.254040776466837,29.69932653154201
21,61.58000183105469,139.91000366210938,2.2720038892813577,28.768173276594705
22,61.150001525878906,140.12989807128906,2.2915763626266727,27.350991555301487
23,60.81999969482422,141.8350067138672,2.3320455018998847,24.727030064155013
24,60.619998931884766,141.32969665527344,2.331403813023447,24.675460574064385
25,60.74409866333008,140.6750030517578,2.315862876350165,25.675695871638663
26,60.59000015258789,139.1199951171875,2.296088377072656,26.801633897405548
27,60.290000915527344,138.22000122070312,2.292585820563578,26.866313781660335
28,60.724998474121094,134.1269989013672,2.2087608443255458,32.170517701171306
29,60.779998779296875,132.85000610351562,2.1857520363881204,33.60065264045092
30,60.775001525878906,134.76010131835938,2.217360722911319,31.676643137545664
31,60.71500015258789,135.32000732421875,2.2287738941634663,30.94967008060281
32,60.89500045776367,135.50999450683594,2.225305747404086,31.260873429642157
33,60.900001525878906,135.56500244140625,2.2260262568926064,31.219790404727302
34,60.93000030517578,135.33999633789062,2.221237414410352,31.5283247229877
35,60.790000915527344,134.41000366210938,2.2110544766874245,32.068504901168055
36,60.869998931884766,134.17999267578125,2.2043698871414867,32.52126133401357
37,61.18000030517578,134.77499389648438,2.202925681990925,32.78942394485095
38,61.189998626708984,134.55999755859375,2.1990521421561087,33.03225948045851
39,61.209999084472656,134.5850067138672,2.1987421781878087,33.062939342212914
40,61.415000915527344,134.97999572753906,2.1978343029449103,33.238754786880875
41,61.150001525878906,134.80999755859375,2.2045788093977667,32.6708920679968
42,60.619998931884766,133.91000366210938,2.2090070277397467,32.09515356722845
43,60.994998931884766,134.5749969482422,2.206328376176,32.47430545178115
44,60.915000915527344,135.59500122070312,2.225970601375132,31.231555732802814
45,61.42499923706055,135.60899353027344,2.2077166498107865,32.63759618186343
46,61.5099983215332,135.6909942626953,2.2059989914711653,32.792265805614406
47,61.34000015258789,135.00999450683594,2.2010106646721286,32.99992484912811
48,61.84000015258789,135.0,2.183053034716891,34.40211291687804
49,61.790000915527344,129.5,2.0958083521804522,39.76289568510542
50,61.97999954223633,130.61000061035156,2.1072927004677897,39.18192480412735
51,62.099998474121094,131.07000732421875,2.110628189126921,39.056041570833216
52,62.185001373291016,131.49819946289062,2.114628874469563,38.86453040992812
53,62.23500061035156,131.8300018310547,2.1182614371040493,38.67194527353668
54,62.310001373291016,132.59500122070312,2.1279890595146025,38.11577704234411
55,62.380001068115234,132.8300018310547,2.129368380196279,38.07568268079301
56,62.43000030517578,131.8800048828125,2.1124460073385416,39.16489686080779
57,62.14500045776367,132.07000732421875,2.1251911875675185,38.181344514544335
58,62.20500183105469,132.83999633789062,2.1355195310286565,37.57842255195594
59,62.13999938964844,133.35000610351562,2.14596085312691,36.887420825592
60,62.04499816894531,133.16419982910156,2.1462519745185964,36.808706924522355
61,61.9900016784668,133.27999877929688,2.150024119544326,36.53977645449292
62,62.119998931884766,133.61000061035156,2.1508371363118717,36.57173730172825
63,61.72999954223633,134.6699981689453,2.181597264986251,34.4258304650766
64,61.8849983215332,135.19000244140625,2.184535931293161,34.33740279758895
65,61.630001068115234,134.69000244140625,2.1854616275690635,34.12739172907045
66,61.88999938964844,134.94000244140625,2.1803199833925992,34.60132770724438
67,61.71419906616211,135.47999572753906,2.195280790767367,33.57183826438306
68,61.720001220703125,134.80999755859375,2.184218971035496,34.257991877711234
69,61.5099983215332,134.77000427246094,2.191025978703061,33.71325579584878
70,61.25,134.2261962890625,2.1914481026785713,33.53312780107326
71,61.224998474121094,134.61000061035156,2.1986117429998666,33.079709553100926
72,61.39500045776367,133.9600067138672,2.1819367328781794,34.203054783524905
73,61.26499938964844,134.0,2.187219478249781,33.80108819750815
74,61.290000915527344,133.67999267578125,2.1811060642669116,34.190709448410175
75,61.30500030517578,133.92999267578125,2.1846503875553194,33.98247355578256
76,61.34000015258789,134.2100067138672,2.1879688030650413,33.79991264209686
77,59.96500015258789,132.6699981689453,2.212457230573687,31.511388894505256
78,60.060001373291016,133.6699981689453,2.2256076442314074,30.775909069988966
79,59.685001373291016,133.07000732421875,2.2295384814009145,30.331754744030047
80,59.72999954223633,133.27000427246094,2.2312071872396873,30.25705011790502
