,bmy,unh,Ratio,Spread
0,62.900001525878906,463.0150146484375,7.361128830147,-30.92749039469652
1,62.650001525878906,460.83990478515625,7.3557844143833995,-30.497483575043987
2,62.5,462.0799865722656,7.39327978515625,-32.784637839594325
3,62.029998779296875,456.5799865722656,7.360631880661163,-30.565440082627333
4,62.22999954223633,458.42999267578125,7.366704098473257,-31.019358425608118
5,63.720001220703125,461.739990234375,7.246390166175202,-23.928530127784484
6,64.0199966430664,465.9549865722656,7.278272586768875,-26.049434767111677
7,64.33999633789062,464.8299865722656,7.224588328092917,-22.690705001519632
8,63.72999954223633,459.42999267578125,7.209006684070338,-21.548740163835646
9,63.724998474121094,460.1400146484375,7.220714408260076,-22.29367165324902
10,64.05000305175781,463.04998779296875,7.229507661674664,-22.934978887271825
11,63.86000061035156,461.3800048828125,7.224866903744186,-22.591291332295327
12,64.29000091552734,457.7799987792969,7.12054739866606,-15.98970586348554
13,64.25,461.45001220703125,7.18210135730788,-19.93894216895876
14,64.43499755859375,460.3999938964844,7.14518524622929,-17.597564648148477
15,64.44400024414062,459.7650146484375,7.134333885336987,-16.899742944306865
16,64.14720153808594,458.3999938964844,7.1460637861859,-17.606499493478168
17,64.59500122070312,461.4200134277344,7.143277416331191,-17.500692668443207
18,64.91000366210938,466.05999755859375,7.180095074168853,-19.9418299223085
19,64.66999816894531,468.2300109863281,7.240297266796171,-23.787180616475723
20,64.7699966430664,467.1099853515625,7.211826610486113,-21.969124415522344
21,64.84500122070312,469.19000244140625,7.235561625552218,-23.525578638486365
22,64.91500091552734,469.7099914550781,7.235769619202545,-23.556940930194912
23,64.80999755859375,471.760009765625,7.279124016925225,-26.339925951846
24,64.91000366210938,471.54998779296875,7.264673566306263,-25.4318201566835
25,64.87999725341797,472.44000244140625,7.281751270674067,-26.53129190566392
26,64.84500122070312,467.2699890136719,7.205952351258283,-21.60556521075199
27,64.83999633789062,464.8299865722656,7.168877434075862,-19.20049891426214
28,64.82499694824219,463.9800109863281,7.157424339823429,-18.455225250436854
29,64.95919799804688,463.9100036621094,7.1415599015871125,-17.4484392843288
30,65.04499816894531,464.1099853515625,7.135214058214,-17.049500416266994
31,65.18000030517578,465.36151123046875,7.139636530402341,-17.35865573984455
32,65.18000030517578,468.0,7.180116566566467,-19.9971445093758
33,64.22000122070312,473.11151123046875,7.367043012106763,-31.809845036620743
34,64.3949966430664,473.67999267578125,7.3558508792434845,-31.1567863051842
35,64.51000213623047,475.68499755859375,7.373817730683919,-32.35900544337818
36,64.44999694824219,478.7200012207031,7.4277738384557015,-35.812870050255015
37,64.58000183105469,480.2398986816406,7.436356225848029,-36.42527984446173
38,64.88600158691406,481.30499267578125,7.417701521199125,-35.35436941740295
39,64.80000305175781,479.7099914550781,7.402931618258082,-34.35967341849499
40,63.880001068115234,486.8599853515625,7.621477414072423,-47.93166036217593
41,63.92499923706055,485.92498779296875,7.6014860163072715,-46.68255703724543
42,64.11000061035156,487.2900085449219,7.600842363215347,-46.756191950775985
43,64.06950378417969,487.20001220703125,7.604242009555453,-46.948880151324715
44,64.08000183105469,488.54998779296875,7.624063262061361,-48.22557504304734
45,63.96500015258789,489.30999755859375,7.64965209710544,-49.78834392513164
46,64.05999755859375,488.69000244140625,7.6286297387760005,-48.50522775851351
47,64.76000213623047,483.5400085449219,7.4666459634719775,-38.46891338607753
48,64.7300033569336,483.1650085449219,7.464313046311118,-38.303317230302014
49,64.8499984741211,484.9778137207031,7.478455283452896,-39.278507029185334
50,64.86000061035156,486.6499938964844,7.503083399891547,-40.88086817145222
51,64.9800033569336,486.82000732421875,7.491843369876856,-40.21321296597017
52,65.15499877929688,487.44000244140625,7.481237227745774,-39.61166790640863
53,65.0,483.1400146484375,7.432923302283654,-36.393635479478746
54,65.72000122070312,484.45001220703125,7.371424272804482,-32.67772775141077
55,66.05000305175781,485.25,7.346706700675707,-31.174166745273112
56,66.01000213623047,482.3900146484375,7.30783213205914,-28.593404271449458
57,66.05500030517578,484.6400146484375,7.336916394056291,-30.529298505112706
58,66.16500091552734,487.1720886230469,7.3629877107538775,-32.293522880019964
59,66.22000122070312,485.2799987792969,7.3282994538450446,-30.017508236418905
60,66.18000030517578,483.7300109863281,7.309308080321915,-28.746743321188944
61,65.7500991821289,487.5199890136719,7.414741499677941,-35.537608381686766
62,65.80999755859375,490.07000732421875,7.446741004478632,-37.66951133592477
63,65.8499984741211,490.5799865722656,7.44996200364473,-37.90026770623285
64,65.7699966430664,491.8299865722656,7.478029674251401,-39.70871346171049
65,65.69499969482422,491.2300109863281,7.47743379660948,-39.63224748633422
66,65.7249984741211,493.55999755859375,7.509471419051165,-41.75283021437531
67,65.88999938964844,493.4100036621094,7.488389865422064,-40.45106191833776
68,66.71499633789062,496.8399963378906,7.447201133333669,-38.122235852671565
69,66.96499633789062,498.8550109863281,7.44948911023926,-38.39214745748029
70,67.08999633789062,496.9599914550781,7.40736352037045,-35.624576404415905
71,67.11499786376953,499.3949890136719,7.440885121196713,-37.885053007383135
72,67.15499877929688,500.3550109863281,7.450748567961882,-38.56585210230054
73,67.01000213623047,499.07000732421875,7.4476942458472974,-38.29298477271573
74,67.13999938964844,498.20001220703125,7.420316007388036,-36.515555245115934
75,66.75,491.3999938964844,7.361797661370552,-32.43789342212443
76,66.4000015258789,490.2049865722656,7.3826050498088,-33.68601970772221
77,66.55999755859375,493.239990234375,7.410456855864043,-35.60418511519481
78,66.38999938964844,489.79998779296875,7.377616994967748,-33.35083996193964
79,66.25,486.0799865722656,7.337056401090802,-30.608092185163173
