,meta,tsla,Ratio,Spread
0,226.4207000732422,361.8833312988281,1.5982784753415509,-31.311119720272245
1,228.7899932861328,365.933349609375,1.5994289975424139,-31.901990978407582
2,228.41000366210938,365.8033447265625,1.6015206815008913,-32.326767572508174
3,228.86270141601562,364.6666564941406,1.593386140414672,-30.52914463916443
4,230.1999969482422,366.4100036621094,1.591702904081673,-30.320052204750255
5,230.875,366.6700134277344,1.5881754777595425,-29.594563508575277
6,229.8800048828125,366.6086730957031,1.5947827793138936,-30.985907212465406
7,229.6199951171875,370.2613525390625,1.612496125827797,-35.018198604850966
8,227.9149932861328,366.0902099609375,1.606257687054991,-33.33634356030797
9,230.11500549316406,367.9466247558594,1.5989684113267868,-31.98076006822305
10,229.58999633789062,368.5013122558594,1.6050408037531876,-33.301956273043686
11,228.80999755859375,364.7033386230469,1.5939134763097644,-30.64277393191668
12,227.41000366210938,362.5699768066406,1.5943448879467712,-30.553390772972477
13,227.8300018310547,364.663330078125,1.6005939830020186,-32.03355044721826
14,226.77639770507812,364.5566711425781,1.6075600231408682,-33.46514417999941
15,224.61000061035156,365.2492980957031,1.6261488673842688,-37.320691654655604
16,224.45469665527344,364.6600036621094,1.6246485776244144,-36.95813961643677
17,225.0399932861328,363.4466552734375,1.615031399380305,-34.890263343918264
18,224.79690551757812,363.6666564941406,1.6177565062865311,-35.46517054818571
19,224.7949981689453,362.4066467285156,1.6121650823215732,-34.20794549462806
20,222.3000030517578,359.1999816894531,1.615834353388745,-34.64395117206624
21,225.05999755859375,361.2866516113281,1.6052903915866619,-32.70105362164611
22,224.39999389648438,362.123291015625,1.613740199933661,-34.50129251204504
23,224.41050720214844,360.7408752441406,1.6075043889062919,-33.10352740764523
24,223.2299041748047,359.1766662597656,1.608998882060645,-33.26298835989314
25,224.5500030517578,361.1433410644531,1.608298090208492,-33.302330526197295
26,223.55160522460938,358.5533447265625,1.6038951917447097,-32.16998615055627
27,224.8699951171875,361.52001953125,1.6076845616635045,-33.211823418872825
28,231.63499450683594,369.3333435058594,1.594462634163681,-31.148308355177562
29,232.31500244140625,377.7933349609375,1.6262115274118956,-38.615494263990854
30,233.48989868164062,377.484619140625,1.6167064240124522,-36.591440365561084
31,233.45010375976562,381.3974304199219,1.6337428181758404,-40.56235187743192
32,232.8350067138672,382.0658264160156,1.6409294796702945,-42.12878409871314
33,233.59539794921875,380.3433532714844,1.6282142397093249,-39.29614650254916
34,233.92999267578125,381.8466796875,1.6323117669512608,-40.310967588855476
35,232.43409729003906,375.6166687011719,1.6160136274346393,-36.26495058273758
36,232.97999572753906,372.0,1.5967036089872684,-31.85127501018303
37,231.63999938964844,364.6000061035156,1.573994159317067,-26.407663868368957
38,234.47000122070312,367.64501953125,1.5679831859820361,-25.32089975208686
39,233.82000732421875,367.6666564941406,1.572434543568925,-26.291522032149885
40,231.90269470214844,363.6433410644531,1.5680858798622843,-25.06746600568937
41,231.86000061035156,363.7200012207031,1.5687052543053628,-25.20645915685577
42,223.15310668945312,346.489990234375,1.5527007236182526,-20.688435981183773
43,223.4499969482422,347.5233154296875,1.555262117592172,-21.288304034935095
44,222.86180114746094,344.3666687011719,1.545202753132713,-18.99041795260854
45,223.19900512695312,344.6666564941406,1.5442123332857063,-18.79809092975978
46,222.10000610351562,346.67333984375,1.5608884750870906,-22.40930309490102
47,223.2100067138672,348.8783874511719,1.5630051384676447,-22.993759667586346
48,223.27000427246094,348.5133361816406,1.5609501030704631,-22.541112495263405
49,223.11000061035156,354.933349609375,1.590844644517953,-29.194729848906718
50,220.625,346.1438903808594,1.5689241490350567,-24.033349445658644
51,220.55999755859375,344.7787780761719,1.5631972338255866,-22.76314012822769
52,221.61000061035156,347.5777282714844,1.5684207721411323,-24.02909519159539
53,221.44000244140625,349.1583251953125,1.5767626505861376,-25.857887932565575
54,223.3800048828125,352.3500061035156,1.577356963029713,-26.217182502788035
55,222.89999389648438,352.336669921875,1.5806939415417909,-26.90465809887428
56,224.42999267578125,343.8883361816406,1.5322744169868272,-16.22253972666482
57,223.39999389648438,344.8000183105469,1.5434199987951431,-18.638010927353093
58,224.80999755859375,347.806640625,1.547113760073543,-19.586040415414516
59,223.75999450683594,344.2975769042969,1.5386913896879744,-17.609971826656192
60,222.60000610351562,343.5057678222656,1.5431525534753365,-18.511735513223528
61,223.94000244140625,344.5433349609375,1.5385519835880461,-17.5929198972251
62,222.3699951171875,341.8299865722656,1.5372127268884612,-17.171768260853867
63,218.22000122070312,331.4949951171875,1.5190862123674924,-12.895731044299794
64,217.15499877929688,328.42333984375,1.5123913411615244,-11.378969878505018
65,217.73500061035156,328.0566711425781,1.5066786241209473,-10.165503654185557
66,219.2899932861328,330.0367126464844,1.5050240446487113,-9.87526965918562
67,217.970703125,327.2699890136719,1.5014402592718703,-9.034697946839913
68,218.36000061035156,326.93927001953125,1.4972488968019924,-8.135608080897327
69,216.4600067138672,325.2433166503906,1.5025561607799507,-9.213628929411811
70,220.2100067138672,336.6666564941406,1.5288435867112657,-15.16200207171363
71,218.6699981689453,333.6000061035156,1.5255865408924316,-14.343750481993425
72,216.89500427246094,330.96502685546875,1.5259227752415838,-14.300246561553422
73,216.61000061035156,332.8512268066406,1.5366383171079407,-16.602549328682528
74,214.11000061035156,327.7433166503906,1.5307240003554754,-15.144616973397945
75,213.61810302734375,326.1333312988281,1.5267120467645108,-14.252797725166317
76,214.13999938964844,328.9866638183594,1.5363157969368268,-16.34416618997085
77,215.42990112304688,331.0274353027344,1.536590016414025,-16.50169259741341
78,215.9600067138672,335.47332763671875,1.5534048768631445,-20.173635475933054
79,215.69000244140625,335.8800048828125,1.5572349254994178,-20.974516562286112
80,214.88999938964844,338.3166809082031,1.574371454554066,-24.57918993952495
81,214.55499267578125,338.7866516113281,1.5790201261980235,-25.538267470165806
82,215.8300018310547,341.1766662597656,1.5807657108154434,-26.06678007349302
83,214.94000244140625,340.85333251953125,1.5858068700471408,-27.042837539294453
84,213.22999572753906,330.3333435058594,1.549187966630889,-19.019443143669434
85,213.97000122070312,330.4366760253906,1.544313100622717,-18.04237421414416
86,212.1038055419922,328.3331604003906,1.5479833544777555,-18.663487708965192
87,211.83999633789062,328.2799987792969,1.5496601418727427,-18.99548518333586
88,212.4199981689453,330.75,1.557056787736824,-20.618688880891455
89,211.25999450683594,330.3666687011719,1.5637919023541482,-21.928952628358445
90,210.13999938964844,328.32000732421875,1.562387019500448,-21.517474177374936
91,212.27499389648438,334.8333435058594,1.5773565098729454,-24.913737336961844
92,210.50999450683594,332.6231994628906,1.5800826950859537,-25.280476730366843
93,208.55889892578125,329.3333435058594,1.5790903442727586,-24.839202996700124
