,cmcsa,tmus,Ratio,Spread
0,47.491939544677734,119.80999755859375,2.5227438320535063,38.30271263199537
1,47.15097427368164,118.98999786376953,2.5235957410573895,37.96313620231194
2,47.59910202026367,121.0999984741211,2.5441656109933954,37.377156598991
3,47.764713287353516,120.55999755859375,2.5240389664500293,38.480378720906366
4,48.73891067504883,119.91000366210938,2.4602520245388977,42.44348432530466
5,49.16755676269531,118.58000183105469,2.4117529858840654,45.23125271318903
6,49.206520080566406,118.16000366210938,2.4013078646619315,45.78375978253623
7,49.28445816040039,117.63999938964844,2.386959373820835,46.56882077558762
8,49.28445816040039,116.51000213623047,2.3640313089582707,47.69881802900559
9,49.03117370605469,115.9800033569336,2.36543395946917,47.36743111611687
10,49.43059158325195,114.43000030517578,2.314963196676507,50.275799589509596
11,49.13688278198242,114.05999755859375,2.321270522281023,49.64693898407062
12,49.166255950927734,115.36000061035156,2.346324697277967,48.446830051472254
13,49.450164794921875,115.56999969482422,2.3371003954003466,49.20236600835559
14,48.999820709228516,109.73999786376953,2.2395999878240644,53.50080936702491
15,49.4599609375,105.73999786376953,2.137890848668233,59.065683176813046
16,50.066951751708984,110.97000122070312,2.216432144122201,55.89997233241589
17,49.88093566894531,110.8499984741211,2.2222918834125576,55.387359892949654
18,50.20401382446289,110.12000274658203,2.1934501717654276,57.21610011840695
19,50.59562301635742,108.5199966430664,2.144849498305065,60.14791537577576
20,49.12709426879883,106.91000366210938,2.1761922876437887,56.76364348967666
21,49.273948669433594,105.37999725341797,2.1386554172953662,58.79308157437858
22,49.166255950927734,104.05999755859375,2.1164922068187337,59.74683310323007
23,48.6865348815918,101.62000274658203,2.0872301344453286,60.55536235043473
24,49.0193977355957,106.6500015258789,2.17566935646854,56.65738448667218
25,48.62779235839844,105.66999816894531,2.173037126385097,56.3055916630148
26,47.44318389892578,104.22000122070312,2.196732863518102,53.72689770534355
27,47.00262451171875,106.02999877929688,2.2558314536853437,50.41861809198053
28,48.6767463684082,108.6500015258789,2.2320719775221884,53.49207418025954
29,48.94108200073242,108.16999816894531,2.2102085558166964,54.8710467700547
30,48.892127990722656,109.55000305175781,2.2406470643401954,53.32455601306386
31,48.94108200073242,109.58000183105469,2.2390187824089134,53.46104310794532
32,48.598426818847656,120.77999877929688,2.4852656080722233,41.095722880028255
33,48.29492950439453,120.94000244140625,2.5041966865362437,39.903566475019566
34,47.83478927612305,122.05000305175781,2.5514903462254748,37.228692054879836
35,48.17744445800781,125.44000244140625,2.6037081014278716,35.00401594490625
36,48.7256965637207,128.0800018310547,2.6285925264004986,34.22854677599985
37,47.893531799316406,125.12999725341797,2.612670073648734,34.348473118276324
38,46.62080764770508,124.4800033569336,2.670052485953901,30.67010672463117
39,46.405426025390625,125.51000213623047,2.7046406613648575,28.907624586651043
40,47.041786193847656,127.02999877929688,2.7003651233785515,29.551801602018305
41,47.08094787597656,127.45999908447266,2.707252186600732,29.254984806880277
42,45.78864669799805,124.55000305175781,2.720106664720522,27.77004176770895
43,45.661373138427734,123.9800033569336,2.7152053220360646,27.907201541541543
44,45.955074310302734,123.51000213623047,2.6876249030140418,29.376040167741213
45,44.18305587768555,121.44000244140625,2.7485650331112335,25.419648199134446
46,45.04458999633789,123.66000366210938,2.7452798143387005,26.12960635968877
47,46.08234786987305,125.45999908447266,2.7225175123182863,27.85888314049065
48,45.77885055541992,123.20999908447266,2.6914174906011348,29.07673039759131
49,45.41661834716797,123.12999725341797,2.7111220899848427,27.9248301672145
50,45.406829833984375,125.61000061035156,2.766323944428725,25.411537419402567
51,46.13129806518555,123.91999816894531,2.6862456372643346,29.565356956934085
52,46.21941375732422,123.2300033569336,2.666195724678697,30.555021153161892
53,45.3285026550293,122.30999755859375,2.69830218062637,28.44516047782263
54,45.16207504272461,119.27999877929688,2.6411540804193474,30.909161772614556
55,45.15228271484375,121.95999908447266,2.7010815788584366,28.195859103298222
56,44.437599182128906,123.54000091552734,2.780078203802027,24.18531659373436
57,44.07536315917969,124.56999969482422,2.826295480423732,21.923402779743743
58,44.02641677856445,124.06999969482422,2.8180807972369744,22.256942852089868
59,44.58445358276367,126.27999877929688,2.832377401348632,21.944750405975345
60,45.25997543334961,127.76000213623047,2.8228031701955163,22.762104217513144
61,45.50472640991211,128.9499969482422,2.833771502912575,22.40447391008188
62,45.92570877075195,127.18000030517578,2.7692550362155997,25.606173826160916
63,45.690738677978516,125.97000122070312,2.757013890900754,26.017071850406996
64,46.22920227050781,125.69000244140625,2.7188442860410533,28.128311459567573
65,45.54389190673828,124.83000183105469,2.740872521098398,26.657665510569377
66,45.818016052246094,125.69000244140625,2.7432441050717356,26.729923523957712
67,46.14109420776367,124.29000091552734,2.6936942664574777,29.22866954775485
68,46.53269577026367,126.48999786376953,2.718303673792351,28.36045580684139
69,46.77745056152344,128.42999267578125,2.7455534907116275,27.25283847267234
70,46.689334869384766,128.61000061035156,2.754590549857758,26.77316115388594
71,45.83759689331055,128.35000610351562,2.800103295167439,24.136511616867228
72,46.699134826660156,130.75999450683594,2.8000517566802143,24.65649556806658
73,47.100528717041016,132.58999633789062,2.815042632205516,24.1915793084812
74,47.130062103271484,131.9600067138672,2.7999115813748805,24.922007928677647
75,46.992225646972656,133.7100067138672,2.845364416624116,22.70324504457533
76,46.42119598388672,133.27999877929688,2.871102218597723,21.191259409637258
77,46.68701934814453,132.83999633789062,2.845330419303584,22.535290656174187
78,46.87408447265625,130.4199981689453,2.7823476369981184,25.591471658280614
79,46.51964569091797,131.44000244140625,2.8254729908028358,23.36606969912096
