,mrk,abt,Ratio,Spread
0,81.5250015258789,128.1999969482422,1.5725236988501865,-28.286565391762213
1,81.48999786376953,127.33000183105469,1.5625230723888095,-27.46000195333436
2,81.1449966430664,127.79499816894531,1.5748968322850379,-28.35306727847666
3,81.08999633789062,127.19999694824219,1.5686274841870465,-27.82630907699286
4,81.13999938964844,127.8499984741211,1.5756716716272463,-28.41426805217633
5,81.19000244140625,128.22999572753906,1.5793815971379106,-28.73222275489886
6,81.37999725341797,128.13999938964844,1.5745883965886536,-28.406485550366728
7,81.0999984741211,126.37999725341797,1.558323053406045,-26.99389897875672
8,81.75,126.02999877929688,1.5416513612146407,-25.837394677415762
9,81.81999969482422,126.1343994140625,1.5416084072906875,-25.854941421026272
10,81.82499694824219,126.04499816894531,1.5404216666048172,-25.759339707385212
11,81.85240173339844,126.43499755859375,1.5446705885357566,-26.11533591697597
12,81.61000061035156,126.58999633789062,1.5511578898558875,-26.571100018319743
13,81.55000305175781,126.5999984741211,1.5524217502943702,-26.655545642293408
14,81.0,126.83000183105469,1.565802491741416,-27.567979191420154
15,81.67009735107422,127.0999984741211,1.5562611359180574,-27.006535604072955
16,81.7300033569336,127.43499755859375,1.5592192869741606,-27.267204797172315
17,81.86499786376953,126.98999786376953,1.5512123761988232,-26.654707254925913
18,81.69999694824219,126.41000366210938,1.5472461246503038,-26.2794421109237
19,81.7510986328125,126.47000122070312,1.5470128638728993,-26.27603396238317
20,81.29000091552734,126.08000183105469,1.5509902867644318,-26.45815322338777
21,81.1500015258789,127.5,1.5711644806234537,-28.051859174643315
22,81.73999786376953,127.4800033569336,1.5595792352404487,-27.2998096584644
23,81.375,127.51000213623047,1.5669431906141993,-27.782688765472646
24,81.2750015258789,127.05999755859375,1.5633342992695776,-27.45675982286264
25,81.19999694824219,127.03500366210938,1.5644705472474703,-27.524829752421414
26,81.21499633789062,126.1332015991211,1.5530777231627357,-26.60441681749734
27,80.7300033569336,124.69000244140625,1.5445311192433773,-25.762984962980244
28,80.33529663085938,125.58999633789062,1.5633227436126433,-27.152721209209563
29,80.11000061035156,126.0999984741211,1.5740856012155222,-27.942265079043356
30,79.97000122070312,125.40499877929688,1.5681505172571044,-27.420973166529368
31,79.98500061035156,125.41999816894531,1.5680439733936016,-27.417361684242
32,79.97000122070312,125.58000183105469,1.570338876005216,-27.59597621828718
33,79.72000122070312,125.41000366210938,1.573130980203004,-27.736171870090732
34,79.97000122070312,125.79000091552734,1.5729648492610258,-27.805975302759837
35,78.25,122.36000061035156,1.56370607808756,-26.510109998954466
36,77.82499694824219,121.45999908447266,1.5606810645331615,-26.137441754894272
37,77.51000213623047,121.3844985961914,1.5660494807218268,-26.45277904362897
38,77.55999755859375,121.6500015258789,1.5684631943673897,-26.656248888985193
39,77.13790130615234,121.49500274658203,1.5750364047938112,-27.024976706762605
40,77.77629852294922,122.30000305175781,1.572458517239299,-27.037869524603753
41,78.8499984741211,123.87000274658203,1.5709575795012436,-27.275648858660507
42,78.2750015258789,122.44999694824219,1.5643563661606363,-26.569085061497365
43,78.30000305175781,122.69000244140625,1.566922064617364,-26.778069279313716
44,78.69999694824219,122.91000366210938,1.561753601374881,-26.50176795991
45,78.83619689941406,123.30999755859375,1.564129199635583,-26.732768323435128
46,79.36000061035156,124.12000274658203,1.564012119354647,-26.892850813750872
47,79.13999938964844,123.44000244140625,1.5597675435103968,-26.485822585452343
48,79.44999694824219,123.22000122070312,1.550912598536347,-25.881184056257172
49,79.37999725341797,120.26000213623047,1.51499126098864,-23.00803886293963
50,79.69000244140625,120.77999877929688,1.5156229775259815,-23.14338873114983
51,79.44999694824219,120.86000061035156,1.5212083732248094,-23.52118344590561
52,79.12000274658203,120.96890258789062,1.5289294538493485,-24.039534072396396
53,79.44999694824219,121.05999755859375,1.5237256413925158,-23.721180394147797
54,78.93000030517578,119.7699966430664,1.5174204507789995,-23.076378460577846
55,79.12999725341797,120.04000091552734,1.5169974103637707,-23.098231462985357
56,80.44000244140625,122.26000213623047,1.519890582117853,-23.692810625836845
57,81.30999755859375,121.72000122070312,1.4969869004483618,-22.07334127257653
58,81.47000122070312,121.04010009765625,1.4857014641469968,-21.1949115603956
59,81.16999816894531,119.87000274658203,1.4767772015602052,-20.39705058076567
60,80.79000091552734,119.91999816894531,1.4843420820644826,-20.91853720277611
61,80.95999908447266,120.55999755859375,1.4891304214665684,-21.347607066242734
62,80.56999969482422,120.44000244140625,1.4948492354176248,-21.711513552114315
63,80.45999908447266,120.88999938964844,1.5024857166941983,-22.297996538795136
64,80.61000061035156,122.6500015258789,1.5215233916042021,-23.871880489303454
65,80.38500213623047,123.29000091552734,1.5337438283149474,-24.79105242435303
66,80.45500183105469,123.52999877929688,1.5353924052937593,-24.944196396967445
67,80.44999694824219,123.55999755859375,1.535860811008937,-24.98040511115237
68,80.70999908447266,124.27999877929688,1.539833975827741,-25.37780210769471
69,80.91999816894531,125.36000061035156,1.549184422231747,-26.197242265284064
70,81.18000030517578,126.25489807128906,1.5552463364950178,-26.76953550206078
71,80.98999786376953,127.08999633789062,1.5692060709973632,-27.84038410166801
72,81.16999816894531,127.48500061035156,1.570592626416072,-28.0120484445352
73,81.4000015258789,127.5999984741211,1.567567519437382,-27.84166382801556
74,81.41000366210938,127.8499984741211,1.570445801780823,-28.07925342460364
75,81.42500305175781,127.41999816894531,1.5648755713027211,-27.63064224749205
76,81.45999908447266,127.45999908447266,1.5646943348513762,-27.627220950623926
77,81.61000061035156,126.7699966430664,1.553363505636179,-26.751100323495525
