,vz,tmus,Ratio,Spread
0,53.3849983215332,124.97000122070312,2.340919830474091,39.91432349968162
1,53.44499969482422,124.43000030517578,2.3281878756793404,40.64318164980617
2,53.58000183105469,124.55000305175781,2.3245613810257333,40.9481046793317
3,53.755001068115234,125.08999633789062,2.3270392308128467,40.95892998542647
4,53.564998626708984,123.7249984741211,2.3098105413266716,41.72588594311052
5,53.33000183105469,123.44999694824219,2.3148320403086093,41.26122364910942
6,53.4463005065918,123.47000122070312,2.3101692736520643,41.60727510245213
7,53.79499816894531,123.97000122070312,2.3044893659326924,42.20481791873397
8,53.80500030517578,123.97000122070312,2.3040609704964132,42.23630012797259
9,53.83000183105469,124.02999877929688,2.304105416317181,42.25499608553054
10,53.83000183105469,123.86000061035156,2.300947360155882,42.424994254475855
11,53.88999938964844,123.0999984741211,2.284282795849632,43.373841618358746
12,53.814998626708984,123.3499984741211,2.292111894859384,42.887773076848426
13,53.790000915527344,122.73999786376953,2.2818366940822763,43.41909217799307
14,53.83000183105469,122.72000122070312,2.279769590308756,43.56499364412429
15,53.90999984741211,124.25,2.3047672111237167,42.28679250401226
16,53.89500045776367,123.52999877929688,2.2920493131103066,42.959582417802274
17,53.540000915527344,120.04000091552734,2.242061988473259,45.33220199249735
18,53.504600524902344,120.41000366210938,2.2504607544180733,44.85077479826689
19,53.54999923706055,121.90850067138672,2.2765359926843294,43.49517243893178
20,53.39500045776367,121.58000183105469,2.276992242508294,43.33580509856865
21,53.51499938964844,121.7699966430664,2.2754367566454787,43.52351274880659
22,53.45500183105469,122.25,2.286970270553407,42.854664164220544
23,53.41999816894531,121.44999694824219,2.27349309455508,43.544491490588065
24,52.025001525878906,119.29499816894531,2.2930320936099187,41.30867062973886
25,51.900001525878906,119.70680236816406,2.3064893805152327,40.503422863651146
26,52.013099670410156,120.53500366210938,2.317397048549306,40.03120346883092
27,51.92499923706055,121.12999725341797,2.3327876559112894,39.158909487604156
28,52.26499938964844,122.28500366210938,2.3397111851173014,39.07407006107409
29,52.29499816894531,122.7655029296875,2.3475572660520747,38.68799340732219
30,52.59000015258789,123.66000366210938,2.3513976669198433,38.722025736322315
31,54.0,124.18000030517578,2.299629635281033,42.64007204725991
32,54.334999084472656,125.5,2.309745138762029,42.374498229977725
33,54.42499923706055,125.71499633789062,2.3098759412069105,42.44278174051053
34,54.38999938964844,125.43499755859375,2.306214358635692,42.6126168013619
35,54.31999969482422,125.6050033569336,2.312315980533808,42.22228356613102
36,54.26499938964844,125.1500015258789,2.3062748167975187,42.50416926720781
37,54.11000061035156,125.5,2.319349447133274,41.66630461239152
38,53.619998931884766,122.48999786376953,2.284408808351014,43.13400268344001
39,53.80500030517578,123.19999694824219,2.289749953525991,43.00630440043353
40,53.505001068115234,122.42500305175781,2.288103926881584,42.83703613782138
41,53.494998931884766,122.08000183105469,2.2820825174050245,43.150555149285886
42,53.439998626708984,121.23999786376953,2.268712593176874,43.817442986593115
43,53.65999984741211,122.5999984741211,2.284755848355333,43.14990689615326
44,53.63999938964844,123.2699966430664,2.2980983975711102,42.41695631567553
45,53.5099983215332,122.25,2.2846197689153134,43.027768287253686
46,53.5099983215332,122.5,2.289291792982625,42.777768287253686
47,53.29499816894531,122.66000366210938,2.3015293719173564,41.94104120985194
48,53.36389923095703,122.5999984741211,2.2974332880645156,42.21791583463179
49,53.529998779296875,123.45999908447266,2.30637029515909,41.88072161431345
50,53.54499816894531,122.79499816894531,2.2933047412104157,42.59293383675388
51,53.599998474121094,123.19000244140625,2.298321006499362,42.37104569427087
52,53.869998931884766,125.56999969482422,2.330982034241352,40.84088798612323
53,54.14500045776367,125.5199966430664,2.318219513932399,41.75647168777065
54,54.275001525878906,125.5999984741211,2.3141408556982475,42.08565452820421
55,54.30500030517578,125.4000015258789,2.309179648672741,42.38007409027262
56,54.28499984741211,125.43000030517578,2.310583046103763,42.287122899443325
57,54.119998931884766,125.5,2.318920962248241,41.69777481468535
58,54.130001068115234,125.56999969482422,2.3197856496771814,41.659257329099724
59,54.619998931884766,125.7750015258789,2.302728011451076,42.99654755628223
60,54.30500030517578,125.44999694824219,2.310100289904346,42.33007866790934
61,54.78499984741211,125.5999984741211,2.29259831749464,43.690898997973825
62,54.915000915527344,125.83499908447266,2.2914503685074603,43.86508305911051
63,55.05500030517578,125.91000366210938,2.2869857953714776,44.23073335525584
64,54.880001068115234,125.00499725341797,2.2777878064955925,44.58492117171969
65,54.665000915527344,123.91000366210938,2.26671547767071,45.003191347735886
66,54.72999954223633,124.16999816894531,2.268773966883019,44.94778317317168
67,54.57500076293945,124.16000366210938,2.2750343916884264,44.46991149931245
68,55.02000045776367,124.0199966430664,2.254089342261472,46.010576655853306
69,55.064998626708984,124.19000244140625,2.255334705141871,45.9822047782528
70,55.30500030517578,124.44499969482422,2.250158195608542,46.482624456278906
71,55.095001220703125,123.44000244140625,2.2404936873841295,46.82663939902378
72,55.09000015258789,123.19999694824219,2.236340472082115,47.050903787568565
73,54.92499923706055,122.66500091552734,2.2333182088195525,47.06655143034963
74,54.90999984741211,122.9800033569336,2.239664973569101,46.704337682030264
75,54.63999938964844,122.45500183105469,2.241123777432798,46.37949966263887
76,54.869998931884766,122.79000091552734,2.2378349426971558,46.7684353003717
77,54.92499923706055,123.13999938964844,2.241966337735694,46.59155295622853
78,54.88999938964844,122.83000183105469,2.23774828196152,46.79138679637678
79,54.68000030517578,122.30999755859375,2.236832422749939,46.65040875816462
80,53.72200012207031,118.68000030517578,2.2091508141078897,47.2650539387656
