,unp,lmt,Ratio,Spread
0,238.72999572753906,338.9599914550781,1.419846678345066,111.00820940541249
1,239.60000610351562,338.489990234375,1.412729472503166,113.12494015391488
2,240.1300048828125,334.45001220703125,1.392787262758973,118.16808396371968
3,239.3800048828125,335.44000244140625,1.4012866388135448,115.75851623929097
4,239.6300048828125,336.45001220703125,1.4040395833216592,115.22169897035056
5,240.4600067138672,336.78900146484375,1.4006029778814828,116.45371226729614
6,240.66000366210938,337.4599914550781,1.402227151666122,116.1612704981338
7,240.8000030517578,341.3500061035156,1.4175664525641452,112.53624249258453
8,242.875,342.5325012207031,1.4103242458906973,115.28123932160324
9,243.49000549316406,342.8399963378906,1.408024923419355,116.13780814355582
10,243.5050048828125,341.8599853515625,1.403913589029037,117.1462095244299
11,242.3000030517578,339.9599914550781,1.4030540122711395,116.76541212112934
12,242.35499572753906,340.6700134277344,1.4056653233206848,116.1594786346823
13,242.25999450683594,340.760009765625,1.4065880355495908,115.88966683754128
14,242.61000061035156,343.7099914550781,1.4167181509021969,113.60216619599774
15,242.9600067138672,343.4200134277344,1.4134837172283192,114.55462527125107
16,242.1699981689453,343.0899963378906,1.4167320433249555,113.38933789799992
17,242.52000427246094,343.17999267578125,1.415058496742533,113.96182260801888
18,242.34500122070312,342.94000244140625,1.4150900605087846,113.87057231843912
19,242.88999938964844,342.5899963378906,1.410473865530798,115.2521345989617
20,242.88999938964844,343.03851318359375,1.4123204497739954,114.80361775325858
21,246.5800018310547,347.4100036621094,1.4089139471259262,117.41645314682742
22,246.25,347.8450012207031,1.4125685328759519,116.35683802684471
23,245.6300048828125,347.6167907714844,1.4152049174013928,115.41154032632673
24,245.75,347.260009765625,1.4130620946719228,115.99544448855372
25,246.35000610351562,347.6050109863281,1.4110209148534196,116.7861168124447
26,246.0,346.94000244140625,1.410325213176448,116.78864430945706
27,245.6199951171875,346.8999938964844,1.4123442748664468,116.10939101737742
28,246.5500030517578,349.00390625,1.415550200487056,115.76576976984492
29,247.39010620117188,349.1099853515625,1.4111719773776012,117.24981269525759
30,247.61000061035156,350.7178039550781,1.416412112154472,116.05820362968879
31,247.83999633789062,350.0,1.4122014411379766,117.21133659493088
32,248.1544952392578,349.97918701171875,1.4103278148327991,117.82742366458208
33,247.85000610351562,349.69000244140625,1.4108936608028837,117.54028033747394
34,247.9600067138672,350.2799987792969,1.4126471579890767,117.15848985337962
35,249.67210388183594,355.1382141113281,1.4224184784352476,115.54088065525914
36,249.69000244140625,354.57000732421875,1.4200408661032564,116.14296529872902
37,249.77999877929688,353.4599914550781,1.4150852477479265,117.42332353514539
38,249.6699981689453,353.3900146484375,1.4154284344941899,117.28509448798971
39,249.68499755859375,352.8500061035156,1.4131806458283984,117.8534934274575
40,249.38499450683594,353.54998779296875,1.4176874935563837,116.58567496570734
41,249.22999572753906,353.760009765625,1.4194118518236436,116.0822759556169
42,250.625,353.1099853515625,1.4089176472880298,119.37272258796506
43,251.36000061035156,353.69000244140625,1.407105353208853,120.183892593629
44,250.97999572753906,353.8299865722656,1.409793579550377,119.32464662576817
45,250.9949951171875,353.94000244140625,1.4101476496619167,119.24302115117351
46,250.99000549316406,354.4200134277344,1.4120881535953722,118.75356595424867
47,251.6300048828125,355.3999938964844,1.4123911576522798,118.98495712175603
48,251.1300048828125,354.2699890136719,1.4107035484628319,119.1685770111994
49,249.5,355.760009765625,1.4258918227079158,114.59333193882205
50,249.68499755859375,354.3500061035156,1.4191882154247577,116.3534934274575
51,249.53500366210938,354.1400146484375,1.4191997493384607,116.27958093707608
52,249.78500366210938,354.48150634765625,1.4191464705670342,116.41128173454192
53,250.54930114746094,355.25,1.4178846174107562,117.08942742341108
54,250.0500030517578,354.9549865722656,1.4195360217563906,116.43938440116304
55,249.5399932861328,353.6000061035156,1.4170073560035057,116.82903369259466
56,250.23989868164062,353.2799987792969,1.4117652726064502,118.47380094298674
57,250.5800018310547,352.260009765625,1.4057786223623892,120.13752699026466
58,250.72999572753906,352.5899963378906,1.406253748438778,120.09144436345858
59,252.11000061035156,354.3999938964844,1.4057355639938578,120.89347862860453
60,251.80999755859375,355.7449951171875,1.4127516721587239,118.98064063560437
61,252.5,356.5899963378906,1.4122376092589728,119.4416553267711
62,251.9600067138672,355.3399963378906,1.4103031706195526,119.66957224173873
63,250.32000732421875,356.3399963378906,1.4235378152428422,115.56543061874319
64,247.35000610351562,354.1401062011719,1.4317367999294277,112.1437915843392
65,248.3000030517578,353.8290100097656,1.4250060638783417,114.25301348687114
66,247.76499938964844,354.2300109863281,1.4297015795570347,112.83937363587299
67,247.82000732421875,355.239990234375,1.4334596874158771,111.93351175541326
68,247.78509521484375,354.8800048828125,1.4322088444226695,112.22741651417707
69,247.77999877929688,354.2799987792969,1.4298167750612587,112.8177762374502
70,253.52999877929688,360.489990234375,1.4218829801998658,117.49121220611684
71,253.69009399414062,361.57000732421875,1.4252429081151659,116.71421853394972
72,253.3800048828125,362.6099853515625,1.431091555623217,115.0873131434698
73,252.4499969482422,362.44000244140625,1.4356902627165191,113.49700494764292
74,251.6199951171875,362.3299865722656,1.439988846687311,112.03601826202552
75,251.8782958984375,361.5299987792969,1.435336051840978,113.32491002129527
76,252.07000732421875,361.92999267578125,1.4358312459215263,113.28778175764447
77,253.39500427246094,361.7699890136719,1.42769187597985,115.95569987590639
78,253.97999572753906,361.3349914550781,1.4226907533406914,117.49795170317029
79,254.14999389648438,362.17999267578125,1.4250639440239279,116.97471791444733
80,254.05999755859375,361.4200134277344,1.4225774104574658,117.56435479521846
