,cl,wmt,Ratio,Spread
0,81.38999938964844,137.8000030517578,1.6930827384830263,6.210608451066959
1,81.37000274658203,137.42999267578125,1.6889515550809544,6.544796848963399
2,81.56999969482422,136.94000244140625,1.6788035178832466,7.3930615333163825
3,81.11000061035156,135.5500030517578,1.6711873015873016,7.95901875418012
4,81.37999725341797,135.74000549316406,1.6679775138166764,8.252688186973542
5,83.01000213623047,137.97999572753906,1.6622092781192261,8.932688022366404
6,83.19999694824219,138.49000549316406,1.6645433963094636,8.763034884032221
7,82.86000061035156,137.58999633789062,1.6605116500651067,9.05397474088427
8,82.5,135.77999877929688,1.6458181670217804,10.219067355682297
9,82.38999938964844,135.67999267578125,1.6468017196372042,10.122018411521777
10,82.87999725341797,135.8000030517578,1.6385136046340472,10.879790005097204
11,82.68000030517578,135.83999633789062,1.6429607624153215,10.481522268986408
12,81.94000244140625,134.91000366210938,1.6464486165787091,10.085883079096119
13,81.875,135.33999633789062,1.6530075888597329,9.53944505678963
14,82.16999816894531,136.02699279785156,1.6554338058785614,9.380908194099176
15,82.62999725341797,136.41000366210938,1.6508533002095291,9.821939498626064
16,82.01000213623047,135.67869567871094,1.6544164387818088,9.442588486716273
17,82.48999786376953,136.4499969482422,1.6541399015864497,9.531151364049846
18,83.09500122070312,137.52000427246094,1.6549732505232555,9.54494680204989
19,82.0199966430664,137.7449951171875,1.6794074707979378,7.394193203632666
20,81.75,138.3000030517578,1.6917431565964258,6.355513394862653
21,82.08999633789062,139.10000610351562,1.6944818164075206,6.164579641526258
22,82.31999969482422,139.35000610351562,1.6927843369790136,6.326607559565714
23,82.33000183105469,139.6300048828125,1.6959796159040577,6.0645266029559775
24,82.31999969482422,139.72000122070312,1.6972789326855144,5.956612442378214
25,82.41999816894531,139.8000030517578,1.6961903197958632,6.055747836312504
26,81.83999633789062,139.1699981689453,1.7005132502005234,5.646737679976992
27,81.71499633789062,139.67999267578125,1.7093556744248755,4.912818225081265
28,81.94999694824219,139.75,1.705308178208512,5.263790896598449
29,81.73999786376953,139.94650268554688,1.7120933000119005,4.691095938386452
30,82.16000366210938,140.6999969482422,1.7125120578972215,4.6899998883155956
31,82.1500015258789,140.97999572753906,1.7161289483741218,4.3920832863315535
32,81.9000015258789,140.8800048828125,1.7201465477176698,4.044224234938566
33,82.37000274658203,140.47999572753906,1.7054751856660382,5.286193381683843
34,82.58989715576172,140.3800048828125,1.6997236916043208,5.7801029796440115
35,82.69000244140625,140.97999572753906,1.7049218958172947,5.359440702025138
36,82.70500183105469,141.0,1.7048545659672094,5.366306329947845
37,82.82499694824219,141.13999938964844,1.7040749120443388,5.441266143368507
38,82.68000030517578,141.3800048828125,1.7099661872396255,4.941513724064533
39,82.80000305175781,140.83999633789062,1.700966076654035,5.69649513934972
40,82.83000183105469,140.1999969482422,1.6926233713504313,6.390234329765418
41,82.9800033569336,141.10000610351562,1.7004097420505306,5.758937845622581
42,83.11499786376953,141.63999938964844,1.7041448959886265,5.460773662942513
43,83.11000061035156,141.52999877929688,1.7029238086862553,5.561822195597598
44,83.15499877929688,141.66000366210938,1.7035656994968114,5.512427013936003
45,83.01499938964844,141.4499969482422,1.7039089078868355,5.471638879359757
46,82.73999786376953,140.91000366210938,1.703045773509882,5.518994546302208
47,81.12999725341797,139.4199981689453,1.7184765547748322,4.124845615072742
48,81.58999633789062,139.24000549316406,1.706581832857622,5.128880459638692
49,81.74500274658203,139.32000732421875,1.7043244558462514,5.326557044705238
50,81.62000274658203,139.47999572753906,1.7088947688546852,4.942643693325165
51,81.54000091552734,139.47999572753906,1.7105714270476349,4.799328446416281
52,81.73999786376953,139.8927001953125,1.7114350850419902,4.744898428620827
53,81.12000274658203,139.2899932861328,1.717085657914401,4.236946342492258
54,80.93000030517578,138.3594970703125,1.7096193815467449,4.827072263727571
55,81.06999969482422,138.36000061035156,1.7066732592967424,5.0773635721319135
56,81.05999755859375,137.94000244140625,1.701702524006334,5.479443918390087
57,81.26000213623047,138.42999267578125,1.703544044260627,5.347741801287254
58,81.33999633789062,138.9499969482422,1.708261657291409,4.971039108440989
59,81.26000213623047,138.3800048828125,1.7029288856136344,5.397729594256004
60,81.12000274658203,137.97000122070312,1.7008135669289834,5.556938407921946
61,81.38999938964844,138.4600067138672,1.7011918878509928,5.550604788957584
62,81.18000030517578,138.77139282226562,1.709428335804256,4.8630264078939955
63,81.26499938964844,139.07000732421875,1.711314937165108,4.716679230546232
64,81.12999725341797,138.49000549316406,1.7070135607249703,5.054838290853992
65,81.04000091552734,138.00999450683594,1.7029860926419744,5.373629874880278
66,81.08000183105469,138.22999572753906,1.7048593069295566,5.2252862776315805
67,80.9000015258789,137.99000549316406,1.7056860678676597,5.142824040108719
68,80.38999938964844,137.97000122070312,1.7162582692900117,4.2492106976433615
69,80.55999755859375,137.72999572753906,1.709657396989912,4.793750840018118
70,80.80500030517578,137.85000610351562,1.705958858769857,5.112638282464657
71,80.92400360107422,137.8699951171875,1.7036971600767088,5.305831723616775
72,80.98999786376953,137.96389770507812,1.7034683460190037,5.3301512304964955
73,81.0,137.69000244140625,1.6998765733506944,5.6219643168555375
74,80.88999938964844,137.69000244140625,1.7021881997816724,5.424909269179393
75,80.16000366210938,136.2899932861328,1.700224389467629,5.51720438146843
76,80.18000030517578,136.4199981689453,1.7014217716352282,5.423021476736052
77,80.33999633789062,136.97999572753906,1.705003758668774,5.149640744665829
78,79.8322982788086,135.55999755859375,1.6980595633757174,5.660148821531164
79,79.6500015258789,136.05999755859375,1.7082234143383763,4.833582494081197
