,mu,qcom,Ratio,Spread
3,89.75514221191406,177.54598999023438,1.978114964945897,8.546095643208243
4,93.80873107910156,178.87725830078125,1.906829526880052,15.713949612183395
5,93.81867218017578,182.39137268066406,1.9440839274551576,12.220678646961314
6,92.33831787109375,180.9132843017578,1.9592438813355535,10.59492184024688
7,95.54739379882812,182.26409912109375,1.9075779241540045,15.972546832570682
8,93.28216552734375,178.86746215820312,1.9174883124445883,14.619700633461715
9,92.64563751220703,179.00450134277344,1.9321417192384016,13.148059047848673
10,95.2315444946289,182.27389526367188,1.914007551079382,15.300512375687699
11,95.81835174560547,183.2723388671875,1.9127060268555804,15.532422106949323
12,93.88886260986328,182.55776977539062,1.944402825859906,12.201449176853796
13,95.13209533691406,182.01939392089844,1.9133331740068331,15.346499589449248
14,93.93858337402344,176.59649658203125,1.8799144104494232,18.266971436478652
15,93.38162231445312,175.8819122314453,1.8834745838874039,17.81378068571234
16,93.68994140625,181.4810028076172,1.9370382784283682,12.861139897160651
17,94.59501647949219,182.47946166992188,1.9290599913313897,13.760343568394998
18,95.10225677490234,180.0029296875,1.8927303703586043,17.30040158590364
19,96.83282470703125,184.7014617919922,1.9074261475982803,16.230335255837243
20,92.36714935302734,175.07925415039062,1.8954710129814392,16.48940269307442
21,89.51268768310547,168.8243408203125,1.8860381158254087,16.759392645437824
22,84.609375,162.9805145263672,1.9262701624538319,12.322488595518902
23,81.48638153076172,161.44371032714844,1.9812354812466697,7.311341277488448
24,82.5008544921875,166.4750518798828,2.017858516794482,4.407035798446681
25,80.2829360961914,161.9527130126953,2.0172744158067517,4.279085681924012
26,81.52616882324219,163.46995544433594,2.0051224999761366,5.368517808386652
27,78.29376220703125,157.7925567626953,2.0153911667374773,4.26855943966262
28,78.84078216552734,163.28396606445312,2.0710596924525193,-0.07591817540364776
29,81.82453918457031,172.04478454589844,2.102606213984533,-2.5807209166973495
30,81.00897216796875,173.38583374023438,2.140328769765478,-5.631761930221164
31,84.05241394042969,184.2218475341797,2.191749634516659,-10.086619513645847
32,81.52616882324219,175.31419372558594,2.150403928653714,-6.475720472863348
33,80.7304916381836,175.67636108398438,2.1760843705910697,-8.506176824647273
34,80.43212127685547,171.38894653320312,2.130852000574063,-4.844352650344551
35,83.6645278930664,174.81495666503906,2.0894752061288644,-1.493005731815832
36,87.64286804199219,180.06166076660156,2.0544930213868504,1.6016391546634976
37,90.52716827392578,170.39051818847656,1.8822031157861097,17.320267347447295
38,89.27398681640625,161.1598358154297,1.8052272735041859,23.923415751249248
39,89.37344360351562,161.63949584960938,1.8085852948296945,23.652285842562403
40,95.4802017211914,169.3431396484375,1.7735942802355071,28.752625297616046
41,95.53987121582031,168.95159912109375,1.7683883908472058,29.269274302366934
42,93.22249603271484,163.27420043945312,1.7514463502688753,30.087853874804548
43,90.30835723876953,164.096435546875,1.8170681049264854,23.155570915779858
44,90.07959747314453,162.38340759277344,1.8026657772442296,24.388960385470792
45,86.83724975585938,158.20367431640625,1.8218411426109382,21.77049319681262
46,88.3490219116211,164.42922973632812,1.8611324288435585,18.714656471009388
47,89.61213684082031,167.31687927246094,1.8671229720776439,18.475368322301275
48,88.37886047363281,168.3544921875,1.904918113735211,14.851956256781559
49,85.79293823242188,160.22991943359375,1.86763529417205,17.554649768988465
50,92.7948226928711,166.36349487304688,1.7928100948440915,26.101860705814484
51,88.69712829589844,162.530029296875,1.8324159126625386,21.343728346168373
52,81.46649169921875,159.49270629882812,1.957770648669748,9.220642480006372
53,75.29011535644531,147.54010009765625,1.9596211189099457,8.223297538747683
54,76.7422103881836,148.1888427734375,1.9309952374821735,10.61914908319704
55,79.0098648071289,154.43055725097656,1.9545731109394657,9.13200464859548
56,75.31000518798828,152.0714874267578,2.0192733627777355,3.733613035448509
57,72.42570495605469,149.74188232421875,2.067523987720613,0.01573252332880326
58,69.02423095703125,138.88035583496094,2.0120522012250497,3.7454199446612746
59,72.7141342163086,141.75054931640625,1.9494222250481519,8.611812492959071
60,79.2386245727539,147.88412475585938,1.8663136261291078,16.158075628123324
61,80.08401489257812,150.22354125976562,1.8758243010327365,15.59118118738709
