,crm,v,Ratio,Spread
0,250.57000732421875,216.44000244140625,0.863790542023448,77.19464957480189
1,253.05999755859375,218.4407958984375,0.8631976527537092,78.12348465700695
2,252.1699981689453,218.49000549316406,0.8664393348917868,77.02713536838861
3,251.72999572753906,218.3800048828125,0.867516817976579,76.61944571157296
4,251.10000610351562,217.5825958251953,0.8665176843344926,76.67563275294187
5,252.2100067138672,217.8000030517578,0.8635660650009513,77.76421035385484
6,252.8000030517578,217.9499969482422,0.8621439648622927,78.30838388247408
7,250.6199951171875,218.27000427246094,0.8709201521227385,75.42346149444906
8,251.8925018310547,217.64999389648438,0.8640590423071152,77.5406552464283
9,252.22000122070312,217.24000549316406,0.8613115710164077,78.33596707200589
10,252.7480926513672,217.39100646972656,0.8601093847603785,78.80629854295314
11,253.74290466308594,217.19000244140625,0.8559451257554815,80.17776084073644
12,253.60499572753906,217.58999633789062,0.857987815711875,79.61550849527659
13,253.14999389648438,216.63999938964844,0.8557772254114087,80.0301674605579
14,256.8500061035156,216.1699981689453,0.8416195952194159,84.85346340812266
15,255.96279907226562,216.49000549316406,0.8457869904448214,83.48960177352201
16,256.8399963378906,217.17999267578125,0.8455847834153761,83.83169178881407
17,257.5799865722656,217.5399932861328,0.8445531664980527,84.34233576150253
18,257.9800109863281,217.97000122070312,0.8449104269254979,84.38298145587022
19,258.1400146484375,217.38999938964844,0.8421398739196372,85.15123755733397
20,258.3800048828125,217.652099609375,0.8423720701920819,85.17150079030564
21,257.3800048828125,219.18460083007812,0.8515991789256314,82.46243730891895
22,256.0450134277344,219.30999755859375,0.8565290712857072,80.76634001602328
23,256.010009765625,218.47000122070312,0.8533650751418297,81.56515236609029
24,255.39999389648438,218.3800048828125,0.8550509401003495,80.93742705393193
25,255.77999877929688,218.13999938964844,0.8528422880237535,81.62453195108868
26,255.77999877929688,218.1999969482422,0.8530768550691835,81.56453439249493
27,255.52000427246094,218.07000732421875,0.8534361446381737,81.38862429179018
28,254.19000244140625,217.69580078125,0.856429437390762,80.19800087369988
29,254.45399475097656,217.97500610351562,0.8566381766450104,80.22939893998536
30,254.56500244140625,217.88479614257812,0.8559102549563117,80.4502163601281
31,254.4600067138672,217.8000030517578,0.8559301945498552,80.41147544039292
32,254.63499450683594,218.67999267578125,0.8587978769348239,79.73736984965684
33,254.55499267578125,218.8000946044922,0.8595395922293736,79.52314078574138
34,254.5500030517578,218.1699981689453,0.857081106082661,80.14736661796725
35,256.760009765625,218.97000122070312,0.8528197261738023,81.94757406160302
36,257.1499938964844,218.8300018310547,0.8509819444877942,82.5464140618861
37,257.2699890136719,218.2554931640625,0.8483519356486774,83.26210445522737
38,257.64898681640625,218.47000122070312,0.8479365819372656,83.49351091016605
39,256.9599914550781,218.74020385742188,0.851261718288398,82.41266233352253
40,256.239990234375,218.4199981689453,0.8524040215938313,81.88574175807368
41,255.27000427246094,217.92999267578125,0.8537234654612023,81.23449837505679
42,255.21499633789062,217.14999389648438,0.8508512313633393,81.94977689450003
43,255.82000732421875,216.8000030517578,0.8474708656269869,83.01160083303928
44,255.86000061035156,216.5050048828125,0.8461854309635812,83.35365359312915
45,256.135009765625,217.30999755859375,0.8484197367530589,82.87222631078511
46,255.02499389648438,217.8300018310547,0.8541515813915586,81.0462192579334
47,255.39999389648438,217.91000366210938,0.8532106846894837,81.40742827463505
48,254.11000061035156,216.69000244140625,0.8527409465229014,81.1096720783391
49,251.4600067138672,221.19000244140625,0.8796229878936385,73.49178926869367
50,251.91639709472656,220.74000549316406,0.876243103025011,74.47875791519404
51,252.4600067138672,220.60000610351562,0.8738017913211061,75.25834786726791
52,253.3000030517578,221.52000427246094,0.8745361295048893,75.32665768859717
53,254.8800048828125,221.5500030517578,0.8692325753588281,77.15562943553023
54,256.29998779296875,221.48500061035156,0.8641631336684273,78.891330179842
55,255.4600067138672,221.47999572753906,0.8669850070724061,77.9080450252953
56,249.7899932861328,223.39999389648438,0.8943512546580724,69.31692303970841
57,247.25999450683594,222.97000122070312,0.9017633510241736,66.77021463219337
58,246.1300048828125,223.41000366210938,0.9076910544428722,65.00070904419705
59,244.5399932861328,223.91000366210938,0.9156375636279479,62.629961405494456
60,245.4600067138672,223.6999969482422,0.9113500807852961,63.922421197756094
61,247.67999267578125,223.6199951171875,0.9028585341162827,66.61437473084625
62,248.1699981689453,222.4600067138672,0.8964016938196708,68.35088510495105
63,233.57000732421875,224.17999267578125,0.9597978577985691,49.453100908805496
64,236.97000122070312,223.50999450683594,0.9431995330863372,54.12340358290892
65,233.6199951171875,223.8000030517578,0.9579659606597294,49.89190428353079
66,232.11000061035156,223.05999755859375,0.9610098529664378,48.855307226112146
67,230.0,222.29200744628906,0.966486988896909,47.140750250257796
68,227.42999267578125,220.96499633789062,0.9715736862063441,45.44398773130003
69,227.66000366210938,220.0399932861328,0.9665289894869452,46.639613029114074
70,231.05999755859375,220.19000244140625,0.9529559628146754,50.489908378998805
71,232.14999389648438,220.27999877929688,0.9488692852497755,51.682360596553636
72,231.3350067138672,220.02000427246094,0.9510882395097189,50.983471941381325
73,229.87989807128906,219.9600067138672,0.9568475041069247,49.33144358592308
74,230.6300048828125,220.52000427246094,0.956163550291348,49.65399339324951
75,230.24000549316406,220.4600067138672,0.9575225914438781,49.25513238829326
76,229.14999389648438,219.74000549316406,0.958935244800525,48.692667100635575
77,228.35000610351562,216.88999938964844,0.949813854138142,50.60143775793661
78,228.61000061035156,218.55999755859375,0.9560386552428768,49.237339313719545
79,228.38499450683594,219.5399932861328,0.9612715308210041,47.99260989636049
